GENERATION_PROJECT,gen_dbid,gen_tech,gen_energy_source,gen_load_zone,gen_max_age,gen_is_variable,gen_is_flexible_baseload,gen_is_baseload,gen_can_provide_spinning_reserves,gen_can_provide_quickstart_reserves,gen_full_load_heat_rate,gen_variable_om,gen_connect_cost_per_mw,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_capacity_limit_mw,gen_min_build_capacity,gen_is_cogen,gen_storage_efficiency,gen_min_load_fraction,gen_is_pumped_hydro,gen_storage_energy_to_power_ratio,gen_can_suspend,gen_ccs_capture_efficiency,gen_ccs_energy_load
Anhui-EP_Coal_1000_RC-ep-3096,existing.3096,EP_Coal_1000_RC,Coal,Anhui,40.0,False,True,False,False,False,7.66,3.9687714481811938,0.0,0.32,0.05,1000.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_300_OT-ep-1206,existing.1206,EP_Coal_300_OT,Coal,Anhui,35.0,False,True,False,False,False,8.53,3.9687714481811938,0.0,0.37,0.05,330.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_300_OT-ep-1207,existing.1207,EP_Coal_300_OT,Coal,Anhui,35.0,False,True,False,False,False,8.53,3.9687714481811938,0.0,0.37,0.05,330.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_300_OT-ep-1208,existing.1208,EP_Coal_300_OT,Coal,Anhui,35.0,False,True,False,False,False,8.53,3.9687714481811938,0.0,0.37,0.05,330.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_300_OT-ep-1209,existing.1209,EP_Coal_300_OT,Coal,Anhui,35.0,False,True,False,False,False,8.53,3.9687714481811938,0.0,0.37,0.05,330.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_300_OT-ep-1218,existing.1218,EP_Coal_300_OT,Coal,Anhui,35.0,False,True,False,False,False,8.53,3.9687714481811938,0.0,0.37,0.05,320.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_300_OT-ep-1219,existing.1219,EP_Coal_300_OT,Coal,Anhui,35.0,False,True,False,False,False,8.53,3.9687714481811938,0.0,0.37,0.05,320.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_300_OT-ep-1220,existing.1220,EP_Coal_300_OT,Coal,Anhui,35.0,False,True,False,False,False,8.53,3.9687714481811938,0.0,0.37,0.05,320.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_300_OT-ep-1221,existing.1221,EP_Coal_300_OT,Coal,Anhui,35.0,False,True,False,False,False,8.53,3.9687714481811938,0.0,0.37,0.05,320.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_300_RC-ep-1200,existing.1200,EP_Coal_300_RC,Coal,Anhui,35.0,False,True,False,False,False,8.53,3.9687714481811938,0.0,0.37,0.05,350.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_300_RC-ep-1201,existing.1201,EP_Coal_300_RC,Coal,Anhui,35.0,False,True,False,False,False,8.53,3.9687714481811938,0.0,0.37,0.05,350.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_300_RC-ep-1202,existing.1202,EP_Coal_300_RC,Coal,Anhui,35.0,False,True,False,False,False,8.53,3.9687714481811938,0.0,0.37,0.05,350.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_300_RC-ep-1203,existing.1203,EP_Coal_300_RC,Coal,Anhui,35.0,False,True,False,False,False,8.53,3.9687714481811938,0.0,0.37,0.05,350.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_300_RC-ep-1204,existing.1204,EP_Coal_300_RC,Coal,Anhui,35.0,False,True,False,False,False,8.53,3.9687714481811938,0.0,0.37,0.05,330.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_300_RC-ep-1205,existing.1205,EP_Coal_300_RC,Coal,Anhui,35.0,False,True,False,False,False,8.53,3.9687714481811938,0.0,0.37,0.05,330.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_300_RC-ep-1210,existing.1210,EP_Coal_300_RC,Coal,Anhui,35.0,False,True,False,False,False,8.53,3.9687714481811938,0.0,0.37,0.05,320.0,.,False,.,0.4,False,.,1.0,.,.
