GENERATION_PROJECT,timepoint,gen_max_capacity_factor
Zhejiang-Central_PV-550,2040.06.26.00,0.0
Zhejiang-Central_PV-551,2040.06.26.00,0.0
Zhejiang-Central_PV_EP-ep-50011,2040.06.26.00,0.0
Zhejiang-Central_PV_EP-ep-50025,2040.06.26.00,0.0
Zhejiang-Central_PV_EP-ep-50052,2040.06.26.00,0.0
Zhejiang-Central_PV_EP-ep-50082,2040.06.26.00,0.0
Zhejiang-Central_PV_EP-ep-50111,2040.06.26.00,0.0
Zhejiang-Central_PV_EP-ep-50142,2040.06.26.00,0.0
Zhejiang-Central_PV_EP-ep-50171,2040.06.26.00,0.0
Zhejiang-Commercial_PV-147,2040.06.26.00,0.0
Zhejiang-Commercial_PV-148,2040.06.26.00,0.0
Zhejiang-Commercial_PV-149,2040.06.26.00,0.0
Zhejiang-Commercial_PV-150,2040.06.26.00,0.0
Zhejiang-Commercial_PV-151,2040.06.26.00,0.0
Zhejiang-Offshore_Wind-13169,2040.06.26.00,0.488508
Zhejiang-Residential_PV-347,2040.06.26.00,0.0
Zhejiang-Residential_PV-348,2040.06.26.00,0.0
Zhejiang-Residential_PV-349,2040.06.26.00,0.0
Zhejiang-Residential_PV-350,2040.06.26.00,0.0
Zhejiang-Residential_PV-351,2040.06.26.00,0.0
Zhejiang-Wind-1048,2040.06.26.00,0.382901
Zhejiang-Wind-1051,2040.06.26.00,0.382901
Zhejiang-Wind-1053,2040.06.26.00,0.382901
Zhejiang-Wind-1054,2040.06.26.00,0.382901
Zhejiang-Wind-1056,2040.06.26.00,0.382901
Zhejiang-Wind-1059,2040.06.26.00,0.382901
Zhejiang-Wind-1061,2040.06.26.00,0.382901
Zhejiang-Wind-1065,2040.06.26.00,0.382901
Zhejiang-Wind-1067,2040.06.26.00,0.382901
Zhejiang-Wind-1157,2040.06.26.00,0.382901
Zhejiang-Wind_EP-ep-40023,2040.06.26.00,0.382901
Zhejiang-Wind_EP-ep-40041,2040.06.26.00,0.382901
Zhejiang-Wind_EP-ep-40062,2040.06.26.00,0.382901
Zhejiang-Wind_EP-ep-40068,2040.06.26.00,0.382901
Zhejiang-Wind_EP-ep-40077,2040.06.26.00,0.382901
Zhejiang-Wind_EP-ep-40102,2040.06.26.00,0.382901
Zhejiang-Wind_EP-ep-40130,2040.06.26.00,0.382901
Zhejiang-Wind_EP-ep-40159,2040.06.26.00,0.382901
Zhejiang-Wind_EP-ep-40185,2040.06.26.00,0.382901
Zhejiang-Wind_EP-ep-40213,2040.06.26.00,0.382901
Zhejiang-Wind_EP-ep-40237,2040.06.26.00,0.382901
Anhui-Central_PV-401,2040.06.26.04,0.0
Anhui-Central_PV-402,2040.06.26.04,0.0
Anhui-Central_PV-403,2040.06.26.04,0.0
Anhui-Central_PV-404,2040.06.26.04,0.0
Anhui-Central_PV_EP-ep-50012,2040.06.26.04,0.0
Anhui-Central_PV_EP-ep-50026,2040.06.26.04,0.0
Anhui-Central_PV_EP-ep-50053,2040.06.26.04,0.0
Anhui-Central_PV_EP-ep-50083,2040.06.26.04,0.0
Anhui-Central_PV_EP-ep-50112,2040.06.26.04,0.0
Anhui-Central_PV_EP-ep-50143,2040.06.26.04,0.0
Anhui-Central_PV_EP-ep-50173,2040.06.26.04,0.0
Anhui-Commercial_PV-2,2040.06.26.04,0.0
Anhui-Commercial_PV-3,2040.06.26.04,0.0
Anhui-Commercial_PV-4,2040.06.26.04,0.0
Anhui-Residential_PV-201,2040.06.26.04,0.0
Anhui-Residential_PV-202,2040.06.26.04,0.0
Anhui-Residential_PV-203,2040.06.26.04,0.0
Anhui-Residential_PV-204,2040.06.26.04,0.0
Anhui-Wind-1081,2040.06.26.04,0.114907
Anhui-Wind-1082,2040.06.26.04,0.114907
Anhui-Wind-1083,2040.06.26.04,0.114907
Anhui-Wind-1155,2040.06.26.04,0.114907
Anhui-Wind-1158,2040.06.26.04,0.114907
Anhui-Wind_EP-ep-40078,2040.06.26.04,0.114907
Anhui-Wind_EP-ep-40103,2040.06.26.04,0.114907
Anhui-Wind_EP-ep-40131,2040.06.26.04,0.114907
Anhui-Wind_EP-ep-40160,2040.06.26.04,0.114907
Anhui-Wind_EP-ep-40186,2040.06.26.04,0.114907
Anhui-Wind_EP-ep-40214,2040.06.26.04,0.114907
Anhui-Wind_EP-ep-40256,2040.06.26.04,0.114907
Fujian-Central_PV-407,2040.06.26.04,0.0
Fujian-Central_PV-408,2040.06.26.04,0.0
Fujian-Central_PV-409,2040.06.26.04,0.0
Fujian-Central_PV-410,2040.06.26.04,0.0
Fujian-Central_PV-411,2040.06.26.04,0.0
Fujian-Central_PV-600,2040.06.26.04,0.0
Fujian-Central_PV_EP-ep-50028,2040.06.26.04,0.0
Fujian-Central_PV_EP-ep-50057,2040.06.26.04,0.0
Fujian-Central_PV_EP-ep-50086,2040.06.26.04,0.0
Fujian-Central_PV_EP-ep-50116,2040.06.26.04,0.0
Fujian-Central_PV_EP-ep-50147,2040.06.26.04,0.0
Fujian-Central_PV_EP-ep-50175,2040.06.26.04,0.0
Fujian-Commercial_PV-10,2040.06.26.04,0.0
Fujian-Commercial_PV-11,2040.06.26.04,0.0
Fujian-Commercial_PV-200,2040.06.26.04,0.0
Fujian-Commercial_PV-7,2040.06.26.04,0.0
Fujian-Commercial_PV-8,2040.06.26.04,0.0
Fujian-Commercial_PV-9,2040.06.26.04,0.0
Fujian-Offshore_Wind-13118,2040.06.26.04,0.19674
Fujian-Residential_PV-207,2040.06.26.04,0.0
Fujian-Residential_PV-208,2040.06.26.04,0.0
Fujian-Residential_PV-209,2040.06.26.04,0.0
Fujian-Residential_PV-210,2040.06.26.04,0.0
Fujian-Residential_PV-211,2040.06.26.04,0.0
Fujian-Residential_PV-400,2040.06.26.04,0.0
Fujian-Wind-1021,2040.06.26.04,0.267384
Fujian-Wind-1022,2040.06.26.04,0.267384
Fujian-Wind-1024,2040.06.26.04,0.267384
Fujian-Wind-1029,2040.06.26.04,0.267384
Fujian-Wind-1035,2040.06.26.04,0.267384
Fujian-Wind-1042,2040.06.26.04,0.267384
Fujian-Wind-1044,2040.06.26.04,0.267384
Fujian-Wind_EP-ep-40001,2040.06.26.04,0.267384
Fujian-Wind_EP-ep-40008,2040.06.26.04,0.267384
Fujian-Wind_EP-ep-40025,2040.06.26.04,0.267384
Fujian-Wind_EP-ep-40045,2040.06.26.04,0.267384
Fujian-Wind_EP-ep-40106,2040.06.26.04,0.267384
Fujian-Wind_EP-ep-40133,2040.06.26.04,0.267384
Fujian-Wind_EP-ep-40162,2040.06.26.04,0.267384
Fujian-Wind_EP-ep-40190,2040.06.26.04,0.267384
Fujian-Wind_EP-ep-40218,2040.06.26.04,0.267384
Fujian-Wind_EP-ep-40241,2040.06.26.04,0.267384
Fujian-Wind_EP-ep-40259,2040.06.26.04,0.267384
Jiangsu-Central_PV-474,2040.06.26.04,0.0
Jiangsu-Central_PV-475,2040.06.26.04,0.0
Jiangsu-Central_PV-476,2040.06.26.04,0.0
Jiangsu-Central_PV-477,2040.06.26.04,0.0
Jiangsu-Central_PV-478,2040.06.26.04,0.0
Jiangsu-Central_PV-570,2040.06.26.04,0.0
Jiangsu-Central_PV-571,2040.06.26.04,0.0
Jiangsu-Central_PV_EP-ep-50016,2040.06.26.04,0.0
Jiangsu-Central_PV_EP-ep-50037,2040.06.26.04,0.0
Jiangsu-Central_PV_EP-ep-50066,2040.06.26.04,0.0
Jiangsu-Central_PV_EP-ep-50096,2040.06.26.04,0.0
Jiangsu-Central_PV_EP-ep-50127,2040.06.26.04,0.0
Jiangsu-Central_PV_EP-ep-50156,2040.06.26.04,0.0
Jiangsu-Central_PV_EP-ep-50180,2040.06.26.04,0.0
Jiangsu-Commercial_PV-129,2040.06.26.04,0.0
Jiangsu-Commercial_PV-170,2040.06.26.04,0.0
Jiangsu-Commercial_PV-74,2040.06.26.04,0.0
Jiangsu-Commercial_PV-75,2040.06.26.04,0.0
Jiangsu-Commercial_PV-76,2040.06.26.04,0.0
Jiangsu-Commercial_PV-77,2040.06.26.04,0.0
Jiangsu-Commercial_PV-78,2040.06.26.04,0.0
Jiangsu-Offshore_Wind-13135,2040.06.26.04,0.118001
Jiangsu-Residential_PV-274,2040.06.26.04,0.0
Jiangsu-Residential_PV-275,2040.06.26.04,0.0
Jiangsu-Residential_PV-276,2040.06.26.04,0.0
Jiangsu-Residential_PV-277,2040.06.26.04,0.0
Jiangsu-Residential_PV-278,2040.06.26.04,0.0
Jiangsu-Residential_PV-357,2040.06.26.04,0.0
Jiangsu-Residential_PV-370,2040.06.26.04,0.0
Jiangsu-Wind-1078,2040.06.26.04,0.0709527
Jiangsu-Wind-1079,2040.06.26.04,0.0709527
Jiangsu-Wind-1080,2040.06.26.04,0.0709527
Jiangsu-Wind-1084,2040.06.26.04,0.0709527
Jiangsu-Wind-1085,2040.06.26.04,0.0709527
Jiangsu-Wind-1088,2040.06.26.04,0.0709527
Jiangsu-Wind-1089,2040.06.26.04,0.0709527
Jiangsu-Wind-1092,2040.06.26.04,0.0709527
Jiangsu-Wind-1093,2040.06.26.04,0.0709527
Jiangsu-Wind-1094,2040.06.26.04,0.0709527
Jiangsu-Wind-1096,2040.06.26.04,0.0709527
Jiangsu-Wind-1159,2040.06.26.04,0.0709527
Jiangsu-Wind_EP-ep-40015,2040.06.26.04,0.0709527
Jiangsu-Wind_EP-ep-40031,2040.06.26.04,0.0709527
Jiangsu-Wind_EP-ep-40053,2040.06.26.04,0.0709527
Jiangsu-Wind_EP-ep-40089,2040.06.26.04,0.0709527
Jiangsu-Wind_EP-ep-40116,2040.06.26.04,0.0709527
Jiangsu-Wind_EP-ep-40143,2040.06.26.04,0.0709527
Jiangsu-Wind_EP-ep-40172,2040.06.26.04,0.0709527
Jiangsu-Wind_EP-ep-40200,2040.06.26.04,0.0709527
Jiangsu-Wind_EP-ep-40227,2040.06.26.04,0.0709527
Jiangsu-Wind_EP-ep-40249,2040.06.26.04,0.0709527
Jiangsu-Wind_EP-ep-40270,2040.06.26.04,0.0709527
Shanghai-Central_PV-509,2040.06.26.04,0.0
Shanghai-Central_PV_EP-ep-50003,2040.06.26.04,0.0
Shanghai-Central_PV_EP-ep-50005,2040.06.26.04,0.0
Shanghai-Central_PV_EP-ep-50044,2040.06.26.04,0.0
Shanghai-Central_PV_EP-ep-50074,2040.06.26.04,0.0
Shanghai-Central_PV_EP-ep-50103,2040.06.26.04,0.0
Shanghai-Central_PV_EP-ep-50164,2040.06.26.04,0.0
Shanghai-Commercial_PV-109,2040.06.26.04,0.0
Shanghai-Offshore_Wind-13152,2040.06.26.04,0.196105
Shanghai-Residential_PV-309,2040.06.26.04,0.0
Shanghai-Wind-1068,2040.06.26.04,0.00808987
Shanghai-Wind-1069,2040.06.26.04,0.00808987
Shanghai-Wind-1072,2040.06.26.04,0.00808987
Shanghai-Wind_EP-ep-40003,2040.06.26.04,0.00808987
Shanghai-Wind_EP-ep-40020,2040.06.26.04,0.00808987
Shanghai-Wind_EP-ep-40037,2040.06.26.04,0.00808987
Shanghai-Wind_EP-ep-40070,2040.06.26.04,0.00808987
Shanghai-Wind_EP-ep-40096,2040.06.26.04,0.00808987
Shanghai-Wind_EP-ep-40124,2040.06.26.04,0.00808987
Shanghai-Wind_EP-ep-40151,2040.06.26.04,0.00808987
Shanghai-Wind_EP-ep-40179,2040.06.26.04,0.00808987
Shanghai-Wind_EP-ep-40255,2040.06.26.04,0.00808987
Zhejiang-Central_PV-547,2040.06.26.04,0.0
Zhejiang-Central_PV-548,2040.06.26.04,0.0
Zhejiang-Central_PV-549,2040.06.26.04,0.0
Zhejiang-Central_PV-550,2040.06.26.04,0.0
Zhejiang-Central_PV-551,2040.06.26.04,0.0
Zhejiang-Central_PV_EP-ep-50011,2040.06.26.04,0.0
Zhejiang-Central_PV_EP-ep-50025,2040.06.26.04,0.0
Zhejiang-Central_PV_EP-ep-50052,2040.06.26.04,0.0
Zhejiang-Central_PV_EP-ep-50082,2040.06.26.04,0.0
Zhejiang-Central_PV_EP-ep-50111,2040.06.26.04,0.0
Zhejiang-Central_PV_EP-ep-50142,2040.06.26.04,0.0
Zhejiang-Central_PV_EP-ep-50171,2040.06.26.04,0.0
Zhejiang-Commercial_PV-147,2040.06.26.04,0.0
Zhejiang-Commercial_PV-148,2040.06.26.04,0.0
Zhejiang-Commercial_PV-149,2040.06.26.04,0.0
Zhejiang-Commercial_PV-150,2040.06.26.04,0.0
Zhejiang-Commercial_PV-151,2040.06.26.04,0.0
Zhejiang-Offshore_Wind-13169,2040.06.26.04,0.536811
Zhejiang-Residential_PV-347,2040.06.26.04,0.0
Zhejiang-Residential_PV-348,2040.06.26.04,0.0
Zhejiang-Residential_PV-349,2040.06.26.04,0.0
Zhejiang-Residential_PV-350,2040.06.26.04,0.0
Zhejiang-Residential_PV-351,2040.06.26.04,0.0
Zhejiang-Wind-1048,2040.06.26.04,0.435702
Zhejiang-Wind-1051,2040.06.26.04,0.435702
Zhejiang-Wind-1053,2040.06.26.04,0.435702
Zhejiang-Wind-1054,2040.06.26.04,0.435702
Zhejiang-Wind-1056,2040.06.26.04,0.435702
Zhejiang-Wind-1059,2040.06.26.04,0.435702
Zhejiang-Wind-1061,2040.06.26.04,0.435702
Zhejiang-Wind-1065,2040.06.26.04,0.435702
Zhejiang-Wind-1067,2040.06.26.04,0.435702
Zhejiang-Wind-1157,2040.06.26.04,0.435702
Zhejiang-Wind_EP-ep-40023,2040.06.26.04,0.435702
Zhejiang-Wind_EP-ep-40041,2040.06.26.04,0.435702
Zhejiang-Wind_EP-ep-40062,2040.06.26.04,0.435702
Zhejiang-Wind_EP-ep-40068,2040.06.26.04,0.435702
Zhejiang-Wind_EP-ep-40077,2040.06.26.04,0.435702
Zhejiang-Wind_EP-ep-40102,2040.06.26.04,0.435702
Zhejiang-Wind_EP-ep-40130,2040.06.26.04,0.435702
Zhejiang-Wind_EP-ep-40159,2040.06.26.04,0.435702
Zhejiang-Wind_EP-ep-40185,2040.06.26.04,0.435702
Zhejiang-Wind_EP-ep-40213,2040.06.26.04,0.435702
Zhejiang-Wind_EP-ep-40237,2040.06.26.04,0.435702
Anhui-Central_PV-401,2040.06.26.08,0.0462675
Anhui-Central_PV-402,2040.06.26.08,0.161503
Anhui-Central_PV-403,2040.06.26.08,0.189528
Anhui-Central_PV-404,2040.06.26.08,0.159062
Anhui-Central_PV_EP-ep-50012,2040.06.26.08,0.13909
Anhui-Central_PV_EP-ep-50026,2040.06.26.08,0.13909
Anhui-Central_PV_EP-ep-50053,2040.06.26.08,0.13909
Anhui-Central_PV_EP-ep-50083,2040.06.26.08,0.13909
Anhui-Central_PV_EP-ep-50112,2040.06.26.08,0.13909
Anhui-Central_PV_EP-ep-50143,2040.06.26.08,0.13909
Anhui-Central_PV_EP-ep-50173,2040.06.26.08,0.13909
Anhui-Commercial_PV-2,2040.06.26.08,0.154039
Anhui-Commercial_PV-3,2040.06.26.08,0.178356
Anhui-Commercial_PV-4,2040.06.26.08,0.149253
Anhui-Residential_PV-201,2040.06.26.08,0.0458094
Anhui-Residential_PV-202,2040.06.26.08,0.149863
Anhui-Residential_PV-203,2040.06.26.08,0.173384
Anhui-Residential_PV-204,2040.06.26.08,0.145577
Anhui-Wind-1081,2040.06.26.08,0.26934
Anhui-Wind-1082,2040.06.26.08,0.26934
Anhui-Wind-1083,2040.06.26.08,0.26934
Anhui-Wind-1155,2040.06.26.08,0.26934
Anhui-Wind-1158,2040.06.26.08,0.26934
Anhui-Wind_EP-ep-40078,2040.06.26.08,0.26934
Anhui-Wind_EP-ep-40103,2040.06.26.08,0.26934
Anhui-Wind_EP-ep-40131,2040.06.26.08,0.26934
Anhui-Wind_EP-ep-40160,2040.06.26.08,0.26934
Anhui-Wind_EP-ep-40186,2040.06.26.08,0.26934
Anhui-Wind_EP-ep-40214,2040.06.26.08,0.26934
Anhui-Wind_EP-ep-40256,2040.06.26.08,0.26934
Fujian-Central_PV-407,2040.06.26.08,0.685679
Fujian-Central_PV-408,2040.06.26.08,0.700884
Fujian-Central_PV-409,2040.06.26.08,0.344248
Fujian-Central_PV-410,2040.06.26.08,0.654543
Fujian-Central_PV-411,2040.06.26.08,0.632251
Fujian-Central_PV-600,2040.06.26.08,0.659988
Fujian-Central_PV_EP-ep-50028,2040.06.26.08,0.612932
Fujian-Central_PV_EP-ep-50057,2040.06.26.08,0.612932
Fujian-Central_PV_EP-ep-50086,2040.06.26.08,0.612932
Fujian-Central_PV_EP-ep-50116,2040.06.26.08,0.612932
Fujian-Central_PV_EP-ep-50147,2040.06.26.08,0.612932
Fujian-Central_PV_EP-ep-50175,2040.06.26.08,0.612932
Fujian-Commercial_PV-10,2040.06.26.08,0.399182
Fujian-Commercial_PV-11,2040.06.26.08,0.39551
Fujian-Commercial_PV-200,2040.06.26.08,0.405163
Fujian-Commercial_PV-7,2040.06.26.08,0.42608
Fujian-Commercial_PV-8,2040.06.26.08,0.426125
Fujian-Commercial_PV-9,2040.06.26.08,0.266994
Fujian-Offshore_Wind-13118,2040.06.26.08,0.0962822
Fujian-Residential_PV-207,2040.06.26.08,0.40772
Fujian-Residential_PV-208,2040.06.26.08,0.409885
Fujian-Residential_PV-209,2040.06.26.08,0.257811
Fujian-Residential_PV-210,2040.06.26.08,0.382695
Fujian-Residential_PV-211,2040.06.26.08,0.37957
Fujian-Residential_PV-400,2040.06.26.08,0.388328
Fujian-Wind-1021,2040.06.26.08,0.130972
Fujian-Wind-1022,2040.06.26.08,0.130972
Fujian-Wind-1024,2040.06.26.08,0.130972
Fujian-Wind-1029,2040.06.26.08,0.130972
Fujian-Wind-1035,2040.06.26.08,0.130972
Fujian-Wind-1042,2040.06.26.08,0.130972
Fujian-Wind-1044,2040.06.26.08,0.130972
Fujian-Wind_EP-ep-40001,2040.06.26.08,0.130972
Fujian-Wind_EP-ep-40008,2040.06.26.08,0.130972
Fujian-Wind_EP-ep-40025,2040.06.26.08,0.130972
Fujian-Wind_EP-ep-40045,2040.06.26.08,0.130972
Fujian-Wind_EP-ep-40106,2040.06.26.08,0.130972
Fujian-Wind_EP-ep-40133,2040.06.26.08,0.130972
Fujian-Wind_EP-ep-40162,2040.06.26.08,0.130972
Fujian-Wind_EP-ep-40190,2040.06.26.08,0.130972
Fujian-Wind_EP-ep-40218,2040.06.26.08,0.130972
Fujian-Wind_EP-ep-40241,2040.06.26.08,0.130972
Fujian-Wind_EP-ep-40259,2040.06.26.08,0.130972
Jiangsu-Central_PV-474,2040.06.26.08,0.0899082
Jiangsu-Central_PV-475,2040.06.26.08,0.300092
Jiangsu-Central_PV-476,2040.06.26.08,0.343362
