generation_project,timepoint,load_zone,ChargeMW,DischargeMW,StateOfCharge
Fujian-Battery_Storage-11178,2040-12-19_04:00,Fujian,0,0,0
Fujian-Battery_Storage-11178,2040-12-19_08:00,Fujian,0,0,0
Fujian-Battery_Storage-11178,2040-12-19_12:00,Fujian,0,0,0
Fujian-Battery_Storage-11178,2040-12-19_16:00,Fujian,0,0,0
Fujian-Battery_Storage-11178,2040-12-19_20:00,Fujian,0,0,0
Fujian-Battery_Storage-11178,2050-06-12_00:00,Fujian,0,496.796,5597.13
Fujian-Battery_Storage-11178,2050-06-12_04:00,Fujian,0,1399.28,0
Fujian-Battery_Storage-11178,2050-06-12_08:00,Fujian,9411.95,0,28875.9
Fujian-Battery_Storage-11178,2050-06-12_12:00,Fujian,9453.71,0,57879.9
Fujian-Battery_Storage-11178,2050-06-12_16:00,Fujian,0,9453.71,20065
Fujian-Battery_Storage-11178,2050-06-12_20:00,Fujian,0,3120.18,7584.31
Fujian-Battery_Storage-11178,2050-12-12_00:00,Fujian,0,0,0
Fujian-Battery_Storage-11178,2050-12-12_04:00,Fujian,0,0,0
Fujian-Battery_Storage-11178,2050-12-12_08:00,Fujian,0,0,0
Fujian-Battery_Storage-11178,2050-12-12_12:00,Fujian,9453.71,0,29004
Fujian-Battery_Storage-11178,2050-12-12_16:00,Fujian,0,0,29004
Fujian-Battery_Storage-11178,2050-12-12_20:00,Fujian,0,7251,0
Fujian-Hydro_Pumped-ep-35041,2040-06-26_00:00,Fujian,0,300.211,1200.84
Fujian-Hydro_Pumped-ep-35041,2040-06-26_04:00,Fujian,0,300.211,0
Fujian-Hydro_Pumped-ep-35041,2040-06-26_08:00,Fujian,1328.6,531.44,1806.9
Fujian-Hydro_Pumped-ep-35041,2040-06-26_12:00,Fujian,750.526,300.211,2827.61
Fujian-Hydro_Pumped-ep-35041,2040-06-26_16:00,Fujian,667.485,300.211,3602.53
Fujian-Hydro_Pumped-ep-35041,2040-06-26_20:00,Fujian,0,300.211,2401.68
Fujian-Hydro_Pumped-ep-35041,2040-12-19_00:00,Fujian,0,70.1437,0
Fujian-Hydro_Pumped-ep-35041,2040-12-19_04:00,Fujian,175.359,70.1437,238.488
Fujian-Hydro_Pumped-ep-35041,2040-12-19_08:00,Fujian,175.359,70.1437,476.977
Fujian-Hydro_Pumped-ep-35041,2040-12-19_12:00,Fujian,175.359,70.1437,715.465
Fujian-Hydro_Pumped-ep-35041,2040-12-19_16:00,Fujian,42.6549,70.1437,561.149
Fujian-Hydro_Pumped-ep-35041,2040-12-19_20:00,Fujian,0,70.1437,280.575
Fujian-Hydro_Pumped-ep-35041,2050-06-12_00:00,Fujian,750.526,300.211,1020.72
Fujian-Hydro_Pumped-ep-35041,2050-06-12_04:00,Fujian,750.526,300.211,2041.43
Fujian-Hydro_Pumped-ep-35041,2050-06-12_08:00,Fujian,1328.6,531.44,3848.33
Fujian-Hydro_Pumped-ep-35041,2050-06-12_12:00,Fujian,1328.6,531.44,5655.22
Fujian-Hydro_Pumped-ep-35041,2050-06-12_16:00,Fujian,0,1328.6,340.824
Fujian-Hydro_Pumped-ep-35041,2050-06-12_20:00,Fujian,290.547,300.211,0
Fujian-Hydro_Pumped-ep-35041,2050-12-12_00:00,Fujian,0,70.1437,280.575
Fujian-Hydro_Pumped-ep-35041,2050-12-12_04:00,Fujian,0,70.1437,0
Fujian-Hydro_Pumped-ep-35041,2050-12-12_08:00,Fujian,175.359,70.1437,238.488
Fujian-Hydro_Pumped-ep-35041,2050-12-12_12:00,Fujian,649.861,259.944,1122.3
Fujian-Hydro_Pumped-ep-35041,2050-12-12_16:00,Fujian,0,70.1437,841.724
Fujian-Hydro_Pumped-ep-35041,2050-12-12_20:00,Fujian,0,70.1437,561.149
Jiangsu-Battery_Storage-11179,2040-06-26_00:00,Jiangsu,0,0,0
Jiangsu-Battery_Storage-11179,2040-06-26_04:00,Jiangsu,0,0,0
