TRANS_TIMEPOINTS_1,TRANS_TIMEPOINTS_2,TRANS_TIMEPOINTS_3,DispatchTx
Jiangsu,Zhejiang,2050.12.12.00,0.0
Jiangsu,Zhejiang,2050.12.12.04,0.0
Jiangsu,Zhejiang,2050.12.12.08,0.0
Jiangsu,Zhejiang,2050.12.12.12,0.0
Jiangsu,Zhejiang,2050.12.12.16,10030.86046010769
Jiangsu,Zhejiang,2050.12.12.20,0.0
Zhejiang,Jiangsu,2040.06.26.00,0.0
Zhejiang,Jiangsu,2040.06.26.04,0.0
Zhejiang,Jiangsu,2040.06.26.08,10030.86046010769
Zhejiang,Jiangsu,2040.06.26.12,10030.86046010769
Zhejiang,Jiangsu,2040.06.26.16,0.0
Zhejiang,Jiangsu,2040.06.26.20,0.0
Zhejiang,Jiangsu,2040.12.19.00,0.0
Zhejiang,Jiangsu,2040.12.19.04,0.0
Zhejiang,Jiangsu,2040.12.19.08,0.0
Zhejiang,Jiangsu,2040.12.19.12,0.0
Zhejiang,Jiangsu,2040.12.19.16,0.0
Zhejiang,Jiangsu,2040.12.19.20,0.0
Zhejiang,Jiangsu,2050.06.12.00,0.0
Zhejiang,Jiangsu,2050.06.12.04,0.0
Zhejiang,Jiangsu,2050.06.12.08,0.0
Zhejiang,Jiangsu,2050.06.12.12,0.0
Zhejiang,Jiangsu,2050.06.12.16,0.0
Zhejiang,Jiangsu,2050.06.12.20,0.0
Zhejiang,Jiangsu,2050.12.12.00,0.0
Zhejiang,Jiangsu,2050.12.12.04,0.0
Zhejiang,Jiangsu,2050.12.12.08,0.0
Zhejiang,Jiangsu,2050.12.12.12,0.0
Zhejiang,Jiangsu,2050.12.12.16,0.0
Zhejiang,Jiangsu,2050.12.12.20,0.0
Zhejiang,Shanghai,2040.06.26.00,0.0
Zhejiang,Shanghai,2040.06.26.04,0.0
Zhejiang,Shanghai,2040.06.26.08,8264.011100132686
Zhejiang,Shanghai,2040.06.26.12,8264.011100132686
Zhejiang,Shanghai,2040.06.26.16,5162.160962518938
Zhejiang,Shanghai,2040.06.26.20,950.6843801585075
Zhejiang,Shanghai,2040.12.19.00,0.0
Zhejiang,Shanghai,2040.12.19.04,0.0
