GEN_BLD_YRS_1,GEN_BLD_YRS_2,BuildGen
Fujian-Central_PV-409,2048,32655.83188447506
Fujian-Central_PV-410,2038,-0.0
Fujian-Central_PV-410,2048,0.0
Fujian-Central_PV-411,2038,46666.66667
Fujian-Central_PV-411,2048,0.0
Fujian-Central_PV-600,2038,22713.63016703761
Fujian-Central_PV-600,2048,0.0
Fujian-Central_PV_EP-ep-50028,2013,26.3
Fujian-Central_PV_EP-ep-50057,2014,57.1
Fujian-Central_PV_EP-ep-50086,2015,46.0
Fujian-Central_PV_EP-ep-50116,2016,145.4
Fujian-Central_PV_EP-ep-50147,2017,649.5
Fujian-Central_PV_EP-ep-50175,2011,3.7
Fujian-Coal_1000_OT-12153,2038,0.0
Fujian-Coal_1000_OT-12153,2048,3057.354636722886
Fujian-Coal_1000_OT-12153_CCS,2038,0.0
Fujian-Coal_1000_OT-12153_CCS,2048,-0.0
Fujian-Coal_1000_OT-12153_H2,2038,-0.0
Fujian-Coal_1000_OT-12153_H2,2048,-0.0
Fujian-Coal_1000_RC-12135,2038,0.0
Fujian-Coal_1000_RC-12135,2048,-0.0
Fujian-Coal_1000_RC-12135_CCS,2038,0.0
Fujian-Coal_1000_RC-12135_CCS,2048,-0.0
Fujian-Coal_1000_RC-12135_H2,2038,0.0
Fujian-Coal_1000_RC-12135_H2,2048,-0.0
Fujian-Coal_1000_RC-12161,2038,0.0
Fujian-Coal_1000_RC-12161,2048,-0.0
Fujian-Coal_1000_RC-12161_CCS,2038,0.0
Fujian-Coal_1000_RC-12161_CCS,2048,-0.0
Fujian-Coal_1000_RC-12161_H2,2038,0.0
Fujian-Coal_1000_RC-12161_H2,2048,-0.0
Fujian-Coal_1000_RC-12171,2038,0.0
Fujian-Coal_1000_RC-12171,2048,-0.0
Fujian-Coal_1000_RC-12171_CCS,2038,0.0
Fujian-Coal_1000_RC-12171_CCS,2048,-0.0
Fujian-Coal_1000_RC-12171_H2,2038,0.0
Fujian-Coal_1000_RC-12171_H2,2048,-0.0
Fujian-Coal_1000_SEA-12145,2038,0.0
Fujian-Coal_1000_SEA-12145,2048,-0.0
Fujian-Coal_1000_SEA-12145_CCS,2038,0.0
Fujian-Coal_1000_SEA-12145_CCS,2048,-0.0
Fujian-Coal_1000_SEA-12145_H2,2038,0.0
Fujian-Coal_1000_SEA-12145_H2,2048,-0.0
Fujian-Coal_1000_SEA-12181,2038,0.0
Fujian-Coal_1000_SEA-12181,2048,0.0
Fujian-Coal_1000_SEA-12181_CCS,2038,0.0
Fujian-Coal_1000_SEA-12181_CCS,2048,-0.0
Fujian-Coal_1000_SEA-12181_H2,2038,-0.0
Fujian-Coal_1000_SEA-12181_H2,2048,-0.0
Fujian-Coal_100_RC-ep-1302,2006,135.0
Fujian-Coal_100_RC-ep-1303,2006,135.0
Fujian-Coal_100_RC-ep-1304,2006,135.0
Fujian-Coal_100_RC-ep-1305,2005,135.0
Fujian-Coal_100_RC-ep-1306,1990,110.0
Fujian-Coal_100_RC-ep-1307,2005,100.0
Fujian-Coal_300_OT-12157,2038,0.0
Fujian-Coal_300_OT-12157,2048,0.0
Fujian-Coal_300_OT-12157_CCS,2038,0.0
Fujian-Coal_300_OT-12157_CCS,2048,-0.0
Fujian-Coal_300_OT-12157_H2,2038,0.0
Fujian-Coal_300_OT-12157_H2,2048,-0.0
Fujian-Coal_300_RC-12139,2038,0.0
Fujian-Coal_300_RC-12139,2048,-0.0
Fujian-Coal_300_RC-12139_CCS,2038,0.0
Fujian-Coal_300_RC-12139_CCS,2048,-0.0
Fujian-Coal_300_RC-12139_H2,2038,0.0
Fujian-Coal_300_RC-12139_H2,2048,-0.0
Fujian-Coal_300_RC-12165,2038,0.0
Fujian-Coal_300_RC-12165,2048,-0.0
Fujian-Coal_300_RC-12165_CCS,2038,0.0
Fujian-Coal_300_RC-12165_CCS,2048,-0.0
Fujian-Coal_300_RC-12165_H2,2038,0.0
Fujian-Coal_300_RC-12165_H2,2048,-0.0
Fujian-Coal_300_RC-12175,2038,0.0
Fujian-Coal_300_RC-12175,2048,-0.0
Fujian-Coal_300_RC-12175_CCS,2038,0.0
Fujian-Coal_300_RC-12175_CCS,2048,-0.0
Fujian-Coal_300_RC-12175_H2,2038,0.0
Fujian-Coal_300_RC-12175_H2,2048,-0.0
Fujian-Coal_300_SEA-12149,2038,0.0
Fujian-Coal_300_SEA-12149,2048,-0.0
Fujian-Coal_300_SEA-12149_CCS,2038,0.0
Fujian-Coal_300_SEA-12149_CCS,2048,-0.0
Fujian-Coal_300_SEA-12149_H2,2038,0.0
Fujian-Coal_300_SEA-12149_H2,2048,-0.0
Fujian-Coal_300_SEA-12185,2038,0.0
Fujian-Coal_300_SEA-12185,2048,-0.0
Fujian-Coal_300_SEA-12185_CCS,2038,0.0
Fujian-Coal_300_SEA-12185_CCS,2048,-0.0
Fujian-Coal_300_SEA-12185_H2,2038,0.0
Fujian-Coal_300_SEA-12185_H2,2048,-0.0
Fujian-Coal_600_OT-12155,2038,0.0
Fujian-Coal_600_OT-12155,2048,-0.0
Fujian-Coal_600_OT-12155_CCS,2038,0.0
Fujian-Coal_600_OT-12155_CCS,2048,-0.0
Fujian-Coal_600_OT-12155_H2,2038,0.0
Fujian-Coal_600_OT-12155_H2,2048,-0.0
Fujian-Coal_600_RC-12137,2038,0.0
Fujian-Coal_600_RC-12137,2048,0.0
Fujian-Coal_600_RC-12137_CCS,2038,0.0
Fujian-Coal_600_RC-12137_CCS,2048,-0.0
Fujian-Coal_600_RC-12137_H2,2038,0.0
Fujian-Coal_600_RC-12137_H2,2048,-0.0
Fujian-Coal_600_RC-12163,2038,0.0
Fujian-Coal_600_RC-12163,2048,0.0
Fujian-Coal_600_RC-12163_CCS,2038,0.0
Fujian-Coal_600_RC-12163_CCS,2048,-0.0
Fujian-Coal_600_RC-12163_H2,2038,0.0
Fujian-Coal_600_RC-12163_H2,2048,-0.0
Fujian-Coal_600_RC-12173,2038,0.0
Fujian-Coal_600_RC-12173,2048,-0.0
Fujian-Coal_600_RC-12173_CCS,2038,0.0
Fujian-Coal_600_RC-12173_CCS,2048,-0.0
Fujian-Coal_600_RC-12173_H2,2038,0.0
Fujian-Coal_600_RC-12173_H2,2048,-0.0
Fujian-Coal_600_SEA-12147,2038,0.0
Fujian-Coal_600_SEA-12147,2048,0.0
Fujian-Coal_600_SEA-12147_CCS,2038,0.0
Fujian-Coal_600_SEA-12147_CCS,2048,-0.0
Fujian-Coal_600_SEA-12147_H2,2038,0.0
Fujian-Coal_600_SEA-12147_H2,2048,-0.0
Fujian-Coal_600_SEA-12183,2038,0.0
Fujian-Coal_600_SEA-12183,2048,-0.0
Fujian-Coal_600_SEA-12183_CCS,2038,0.0
Fujian-Coal_600_SEA-12183_CCS,2048,-0.0
Fujian-Coal_600_SEA-12183_H2,2038,0.0
Fujian-Coal_600_SEA-12183_H2,2048,-0.0
Fujian-Coal_IGCC_RC-12141,2038,0.0
Fujian-Coal_IGCC_RC-12141,2048,0.0
Fujian-Coal_IGCC_RC-12141_CCS,2038,0.0
Fujian-Coal_IGCC_RC-12141_CCS,2048,-0.0
Fujian-Coal_IGCC_RC-12141_H2,2038,0.0
Fujian-Coal_IGCC_RC-12141_H2,2048,-0.0
Fujian-Coal_IGCC_RC-12167,2038,0.0
Fujian-Coal_IGCC_RC-12167,2048,0.0
Fujian-Coal_IGCC_RC-12167_CCS,2038,0.0
Fujian-Coal_IGCC_RC-12167_CCS,2048,-0.0
Fujian-Coal_IGCC_RC-12167_H2,2038,0.0
Fujian-Coal_IGCC_RC-12167_H2,2048,-0.0
Fujian-Coal_IGCC_RC-12177,2038,0.0
Fujian-Coal_IGCC_RC-12177,2048,0.0
Fujian-Coal_IGCC_RC-12177_CCS,2038,0.0
Fujian-Coal_IGCC_RC-12177_CCS,2048,-0.0
Fujian-Coal_IGCC_RC-12177_H2,2038,0.0
Fujian-Coal_IGCC_RC-12177_H2,2048,-0.0
Fujian-Coal_Small_RC-ep-1248,1990,692.0
Fujian-Coal_Small_RC-ep-1289,1990,312.0
Fujian-Coal_Small_SEA-ep-1309,1990,50.0
Fujian-Commercial_PV-10,2038,0.0
Fujian-Commercial_PV-10,2048,0.0
Fujian-Commercial_PV-11,2038,0.0
Fujian-Commercial_PV-11,2048,0.0
Fujian-Commercial_PV-200,2038,0.0
Fujian-Commercial_PV-200,2048,0.0
Fujian-Commercial_PV-7,2038,0.0
Fujian-Commercial_PV-7,2048,0.0
Fujian-Commercial_PV-8,2038,0.0
Fujian-Commercial_PV-8,2048,0.0
Fujian-Commercial_PV-9,2038,0.0
Fujian-Commercial_PV-9,2048,0.0
Fujian-EP_Coal_1000_SEA-ep-1246,2015,1000.0
Fujian-EP_Coal_1000_SEA-ep-1247,2015,1000.0
Fujian-EP_Coal_1000_SEA-ep-3101,2017,1000.0
Fujian-EP_Coal_1000_SEA-ep-3102,2017,1000.0
Fujian-EP_Coal_300_OT-ep-1285,1999,350.0
Fujian-EP_Coal_300_OT-ep-1286,1999,350.0
Fujian-EP_Coal_300_OT-ep-1287,1988,350.0
