load_zone,technology,period,capacity
Fujian,EP_Gas_CCGT_SEA,2048,0
Fujian,Fuel_Cell,2038,0.0
Fujian,Fuel_Cell,2048,0.0
Fujian,Gas_CCGT_OT,2038,0.0
Fujian,Gas_CCGT_OT,2048,0.0
Fujian,Gas_CCGT_RC,2038,0.0
Fujian,Gas_CCGT_RC,2048,0.0
Fujian,Gas_CCGT_SEA,2038,0.0
Fujian,Gas_CCGT_SEA,2048,0.0
Fujian,Gas_Combustion_Turbine_RC,2038,0.0
Fujian,Gas_Combustion_Turbine_RC,2048,0.0
Fujian,Hydro_NonPumped,2038,6545.06265338009
Fujian,Hydro_NonPumped,2048,11586.23
Fujian,Hydro_Pumped,2038,1400.0
Fujian,Hydro_Pumped,2048,1400.0
Fujian,Hydro_Pumped_MWh,2038,33600.0
Fujian,Hydro_Pumped_MWh,2048,33600.0
Fujian,Nuclear_EP_SEA,2038,7543.0
Fujian,Nuclear_EP_SEA,2048,7543.0
Fujian,Nuclear_SEA,2038,6561.0
Fujian,Nuclear_SEA,2048,6561.0
Fujian,Nuclear_SMR,2038,0.0
Fujian,Nuclear_SMR,2048,0.0
Fujian,Offshore_Wind,2038,0.0
Fujian,Offshore_Wind,2048,20028.97393725573
Fujian,Residential_PV,2038,0.0
Fujian,Residential_PV,2048,0.0
Fujian,Wind,2038,12200.000000999999
Fujian,Wind,2048,12200.000000999999
Fujian,Wind_EP,2038,2258.6
Fujian,Wind_EP,2048,0
Fujian,hydro,2038,0.0
Fujian,hydro,2048,0.0
Fujian,fuel cells,2038,0.0
Fujian,fuel cells,2048,0.0
Jiangsu,Battery_Storage,2038,0.0
Jiangsu,Battery_Storage,2048,45370.12959305624
Jiangsu,Battery_Storage_MWh,2038,-0.0
Jiangsu,Battery_Storage_MWh,2048,272220.7775583374
Jiangsu,Central_PV,2038,0.0
Jiangsu,Central_PV,2048,6857.142858
Jiangsu,Central_PV_EP,2038,9073.1
Jiangsu,Central_PV_EP,2048,0
Jiangsu,Coal_1000_OT,2038,79611.50154861918
Jiangsu,Coal_1000_OT,2048,81236.87495712709
Jiangsu,Coal_1000_OT_CCS,2038,0.0
Jiangsu,Coal_1000_OT_CCS,2048,0.0
Jiangsu,Coal_1000_OT_H2,2038,0.0
Jiangsu,Coal_1000_OT_H2,2048,0.0
Jiangsu,Coal_1000_RC,2038,0.0
Jiangsu,Coal_1000_RC,2048,0.0
Jiangsu,Coal_1000_RC_CCS,2038,0.0
Jiangsu,Coal_1000_RC_CCS,2048,0.0
Jiangsu,Coal_1000_RC_H2,2038,0.0
Jiangsu,Coal_1000_RC_H2,2048,0.0
Jiangsu,Coal_1000_SEA,2038,0.0
Jiangsu,Coal_1000_SEA,2048,0.0
Jiangsu,Coal_1000_SEA_CCS,2038,0.0
Jiangsu,Coal_1000_SEA_CCS,2048,0.0
Jiangsu,Coal_1000_SEA_H2,2038,0.0
Jiangsu,Coal_1000_SEA_H2,2048,0.0
