load_zone,period,timepoint_label,Coal,Gas,Uranium,Hydrogen,Solar,Storage,Water,Wind,Battery_Storage,Central_PV,Central_PV_EP,Commercial_PV,Hydro_NonPumped,Hydro_Pumped,Offshore_Wind,Residential_PV,Wind,Wind_EP,curtail_Solar,curtail_Storage,curtail_Water,curtail_Wind,ZoneTotalCentralDispatch,TXPowerNet,WithdrawFromCentralGrid,StorageNetCharge,RunElectrolyzerMW,LiquefyHydrogenMW,zone_demand_mw,spinning_reserve_provision,spinning_reserve_requirement,marginal_cost,peak_day
Anhui,2038,2040-12-19_16:00,186920.3060938326,0.0,2031.867904,0.0,828.2676294899999,-0.0,388.88731939375907,421.84722103999997,-0.0,0.0,828.2676294899999,0.0,205.07623202518093,183.81108736857817,0,0.0,0.0,421.84722103999997,-5.551115123125783e-17,0.0,0.0,0.0,190591.17616775638,-149411.2526399415,41179.92352781489,0.0,0.0,0.0,38997.3875808407,42.65493784107591,42.65493784107591,58.954680713858814,typical
Anhui,2038,2040-12-19_20:00,186920.3060938326,0.0,2031.867904,0.0,0.0,-0.0,1157.6991697254573,142.311705284,-0.0,0.0,0.0,0.0,973.8880823568793,183.81108736857817,0,0.0,0.0,142.311705284,0.0,0.0,0.0,1.4210854715202004e-14,190252.18487284204,-147058.443631181,43193.74124166104,0.0,0.0,0.0,40904.472955853,2178.175755881499,2178.175755881499,58.954680713858814,typical
Anhui,2048,2050-06-12_00:00,215520.72062537773,0.0,2031.867904,0.0,0.0,-0.0,2688.958800269363,312.57319716,-0.0,0.0,0.0,0.0,1899.3078788188484,789.6509214505149,0,0.0,312.57319716,0.0,0.0,0.0,0.0,3.552713678800501e-14,220554.12052680698,-179143.52780847013,41410.59271833675,0.0,0.0,0.0,39215.8313042649,10157.756771432414,10157.75677143241,62.70838794443881,peak
Anhui,2048,2050-06-12_04:00,215520.72062537773,0.0,2031.867904,0.0,0.0,0.0,2688.958800269363,211.85463599999997,0.0,0.0,0.0,0.0,1899.3078788188482,789.6509214505149,0,0.0,211.85463599999997,0.0,0.0,0.0,0.0,3.552713678800501e-14,220453.4019656471,-184939.89387478633,35513.50809086061,0.0,0.0,0.0,33631.292162045,14187.233086880216,14187.23308688022,62.70838794443881,peak
Anhui,2048,2050-06-12_08:00,0.0,0.0,2031.867904,0.0,329807.3613299324,-0.0,2030.0306262729503,101.18226972000001,-0.0,329807.3613299324,0.0,0.0,633.1026262729503,1396.9279999999999,0,0.0,101.18226972000001,0.0,-1.1641532182693481e-10,0.0,2095.392,0.0,333970.44212992553,-293110.48426834523,37367.63786158004,3492.32,-0.0,0.0,35387.1530549163,141647.74696967937,141647.7469696794,8.791054029109844,peak
Anhui,2048,2050-06-12_12:00,0.0,0.0,2031.867904,0.0,336906.6919160309,0.0,2030.0306262729503,3.10258548096,0.0,336906.6919160309,0.0,0.0,633.1026262729503,1396.9279999999999,0,0.0,3.10258548096,0.0,0.0,0.0,2095.392,0.0,340971.693031785,-293319.0490086433,44160.3240231415,3492.32,-0.0,0.0,41819.826849915,141907.6739178062,141907.6739178062,-0.0,peak
Anhui,2048,2050-06-12_16:00,20482.0,0.0,2031.867904,0.0,289377.9443813445,-0.0,1422.7535477234653,288.6895515,-0.0,289377.9443813445,0.0,0.0,633.1026262729503,789.6509214505149,0,0.0,288.6895515,0.0,5.820766091346741e-11,0.0,269.5735188225397,0.0,313603.2553845681,-267454.66904944665,45089.36189484826,1059.2244402730546,0.0,0.0,42699.6257144213,54634.07496206556,54634.07496206555,53.71149103720117,peak
Anhui,2048,2050-06-12_20:00,215520.72062537773,0.0,2031.867904,0.0,0.0,-0.0,2688.958800269363,472.5968973599999,-0.0,0.0,0.0,0.0,1899.3078788188482,789.6509214505149,0,0.0,472.5968973599999,0.0,0.0,0.0,0.0,7.105427357601002e-14,220714.14422700708,-173419.7817417974,47294.36248520962,0.0,0.0,0.0,44787.7612734935,6624.081234620301,6624.081234620301,64.12458064934016,peak
Anhui,2048,2050-12-12_00:00,215520.72062537773,0.0,2031.867904,0.0,0.0,-0.0,331.18162666633566,4141.07673,-0.0,0.0,0.0,0.0,147.37053929775746,183.81108736857817,0,0.0,4141.07673,0.0,0.0,0.0,0.0,0.0,222024.84688604408,-177260.4824775051,44764.36440853886,0.0,0.0,0.0,42391.8530948863,56094.61335993562,56094.61335993562,64.91996079043238,typical
Anhui,2048,2050-12-12_04:00,215520.72062537773,0.0,2031.867904,0.0,0.0,-0.0,331.18162666633566,4398.912848399999,-0.0,0.0,0.0,0.0,147.37053929775746,183.81108736857817,0,0.0,4398.912848399999,0.0,0.0,0.0,275.71663105286706,5.684341886080801e-13,222282.6830044441,-183433.4701052805,38389.68518074203,459.5277184214454,0.0,0.0,36355.0318661627,61761.820656258926,61761.82065625893,61.7476212334135,typical
Anhui,2048,2050-12-12_08:00,159408.7592311262,0.0,2031.867904,0.0,121836.0704723309,-0.0,331.18162666633566,4130.094624599999,-0.0,121836.0704723309,0.0,0.0,147.37053929775746,183.81108736857817,0,0.0,4130.094624599999,0.0,-1.4551915228366852e-11,0.0,275.71663105286706,5.684341886080801e-13,287737.9738587234,-246884.46845204275,40393.97768825914,459.5277184214454,0.0,-0.0,38253.0968707814,93836.38872798196,93836.38872798195,54.71369792246508,typical
Anhui,2048,2050-12-12_12:00,91368.91815251856,0.0,2031.867904,0.0,211350.2545345415,-0.0,331.18162666633566,4124.4487074,-0.0,211350.2545345415,0.0,0.0,147.37053929775746,183.81108736857817,0,0.0,4124.4487074,0.0,-2.9103830456733704e-11,0.0,275.71663105286706,5.684341886080801e-13,309206.6709251264,-261010.3515501171,47736.79165658785,459.5277184214454,0.0,-0.0,45206.7416987887,92038.22078927651,92038.2207892765,54.71369792246508,typical
