GEN_BLD_SUSPEND_YRS_1,GEN_BLD_SUSPEND_YRS_2,GEN_BLD_SUSPEND_YRS_3,SuspendGen
Anhui-Hydro_NonPumped-ep-30651,2003,2038,10.87559165175997
Anhui-Hydro_NonPumped-ep-30651,2003,2048,10.87559165175997
Anhui-Hydro_NonPumped-ep-30674,2004,2038,12.86671594411117
Anhui-Hydro_NonPumped-ep-30674,2004,2048,12.86671594411117
Anhui-Hydro_NonPumped-ep-30722,2005,2038,16.08339493013889
Anhui-Hydro_NonPumped-ep-30722,2005,2048,16.08339493013889
Anhui-Hydro_NonPumped-ep-30745,2006,2038,83.63365363672155
Anhui-Hydro_NonPumped-ep-30745,2006,2048,83.63365363672155
Anhui-Hydro_NonPumped-ep-30768,2007,2038,164.0506282874183
Anhui-Hydro_NonPumped-ep-30768,2007,2048,164.0506282874183
Anhui-Hydro_NonPumped-ep-30792,2008,2038,16.08339493013889
Anhui-Hydro_NonPumped-ep-30792,2008,2048,16.08339493013889
Anhui-Hydro_NonPumped-ep-30812,2009,2038,19.30007391616681
Anhui-Hydro_NonPumped-ep-30812,2009,2048,19.30007391616681
Anhui-Hydro_NonPumped-ep-30837,2010,2038,22.5167529021944
Anhui-Hydro_NonPumped-ep-30837,2010,2048,22.5167529021944
Anhui-Hydro_NonPumped-ep-30866,2012,2038,248.7457859895289
Anhui-Hydro_NonPumped-ep-30866,2012,2048,248.7457859895289
Anhui-Hydro_NonPumped-ep-30903,2015,2038,10.67937423361221
Anhui-Hydro_NonPumped-ep-30903,2015,2048,10.67937423361221
Anhui-Hydro_NonPumped-ep-30915,2016,2038,13.05971668327281
Anhui-Hydro_NonPumped-ep-30915,2016,2048,13.05971668327281
Anhui-Hydro_NonPumped-ep-30934,2013,2038,13.28488421229472
Anhui-Hydro_NonPumped-ep-30934,2013,2048,13.28488421229472
Anhui-Hydro_NonPumped-ep-30947,2017,2038,47.89635010195384
Anhui-Hydro_NonPumped-ep-30947,2017,2048,47.89635010195384
Anhui-Hydro_NonPumped-ep-30975,2014,2038,20.10424366267377
Anhui-Hydro_NonPumped-ep-30975,2014,2048,20.10424366267377
Anhui-Hydro_NonPumped-ep-30994,2011,2038,100.2960507843475
Anhui-Hydro_NonPumped-ep-30994,2011,2048,100.2960507843475
Anhui-Hydro_Pumped-ep-35020,2000,2038,34.77785990685195
Anhui-Hydro_Pumped-ep-35020,2000,2048,0.0
Anhui-Hydro_Pumped-ep-35027,2007,2038,260.8339493013883
Anhui-Hydro_Pumped-ep-35027,2007,2048,0.0
Anhui-Hydro_Pumped-ep-35039,2020,2038,782.5018479041674
Anhui-Hydro_Pumped-ep-35039,2020,2048,0.0
Anhui-Hydro_Pumped-ep-35040,2020,2038,521.6678986027794
Anhui-Hydro_Pumped-ep-35040,2020,2048,0.0
Anhui-Nuclear_SMR-13106,2038,2038,0.0
Anhui-Nuclear_SMR-13106,2038,2048,0.0
Anhui-Nuclear_SMR-13106,2048,2048,0.0
Anhui-Residential_PV-201,2038,2038,0.0
Anhui-Residential_PV-201,2038,2048,0.0
Anhui-Residential_PV-201,2048,2048,0.0
Anhui-Residential_PV-202,2038,2038,0.0
Anhui-Residential_PV-202,2038,2048,0.0
Anhui-Residential_PV-202,2048,2048,0.0
Anhui-Residential_PV-203,2038,2038,0.0
Anhui-Residential_PV-203,2038,2048,0.0
Anhui-Residential_PV-203,2048,2048,0.0
Anhui-Residential_PV-204,2038,2038,0.0
Anhui-Residential_PV-204,2038,2048,0.0
Anhui-Residential_PV-204,2048,2048,0.0
Anhui-Wind-1081,2038,2038,0.0
Anhui-Wind-1081,2038,2048,0.0
Anhui-Wind-1081,2048,2048,0.0
Anhui-Wind-1082,2038,2038,0.0
Anhui-Wind-1082,2038,2048,0.0
Anhui-Wind-1082,2048,2048,0.0
Anhui-Wind-1083,2038,2038,0.0
Anhui-Wind-1083,2038,2048,0.0
Anhui-Wind-1083,2048,2048,0.0
Anhui-Wind-1155,2038,2038,0.0
Anhui-Wind-1155,2038,2048,0.0
Anhui-Wind-1155,2048,2048,0.0
Anhui-Wind-1158,2038,2038,0.0
Anhui-Wind-1158,2038,2048,0.0
Anhui-Wind-1158,2048,2048,0.0
Anhui-Wind_EP-ep-40078,2012,2038,0.0
Anhui-Wind_EP-ep-40103,2013,2038,0.0
Anhui-Wind_EP-ep-40131,2014,2038,0.0
Anhui-Wind_EP-ep-40160,2015,2038,0.0
Anhui-Wind_EP-ep-40186,2016,2038,0.0
Anhui-Wind_EP-ep-40214,2017,2038,0.0
Anhui-Wind_EP-ep-40256,2011,2038,0.0
Anhui_Fuel_Cell,2038,2038,-0.0
Anhui_Fuel_Cell,2038,2048,0.0
Anhui_Fuel_Cell,2048,2048,-0.0
Fujian-Battery_Storage-11178,2038,2038,0.0
Fujian-Battery_Storage-11178,2038,2048,0.0
Fujian-Battery_Storage-11178,2048,2048,0.0
Fujian-Central_PV-407,2038,2038,0.0
Fujian-Central_PV-407,2038,2048,0.0
Fujian-Central_PV-407,2048,2048,0.0
Fujian-Central_PV-408,2038,2038,0.0
Fujian-Central_PV-408,2038,2048,0.0
Fujian-Central_PV-408,2048,2048,0.0
Fujian-Central_PV-409,2038,2038,0.0
Fujian-Central_PV-409,2038,2048,0.0
Fujian-Central_PV-409,2048,2048,0.0
Fujian-Central_PV-410,2038,2038,0.0
Fujian-Central_PV-410,2038,2048,0.0
Fujian-Central_PV-410,2048,2048,0.0
Fujian-Central_PV-411,2038,2038,0.0
Fujian-Central_PV-411,2038,2048,0.0
Fujian-Central_PV-411,2048,2048,0.0
Fujian-Central_PV-600,2038,2038,0.0
Fujian-Central_PV-600,2038,2048,0.0
Fujian-Central_PV-600,2048,2048,0.0
Fujian-Central_PV_EP-ep-50028,2013,2038,0.0
Fujian-Central_PV_EP-ep-50057,2014,2038,0.0
Fujian-Central_PV_EP-ep-50086,2015,2038,0.0
Fujian-Central_PV_EP-ep-50116,2016,2038,0.0
Fujian-Central_PV_EP-ep-50147,2017,2038,0.0
Fujian-Central_PV_EP-ep-50175,2011,2038,0.0
Fujian-Coal_1000_OT-12153,2038,2038,-0.0
Fujian-Coal_1000_OT-12153,2038,2048,-0.0
Fujian-Coal_1000_OT-12153,2048,2048,0.0
Fujian-Coal_1000_OT-12153_CCS,2038,2038,-0.0
Fujian-Coal_1000_OT-12153_CCS,2038,2048,0.0
Fujian-Coal_1000_OT-12153_CCS,2048,2048,0.0
Fujian-Coal_1000_OT-12153_H2,2038,2038,0.0
Fujian-Coal_1000_OT-12153_H2,2038,2048,0.0
Fujian-Coal_1000_OT-12153_H2,2048,2048,0.0
Fujian-Coal_1000_RC-12135,2038,2038,-0.0
Fujian-Coal_1000_RC-12135,2038,2048,0.0
Fujian-Coal_1000_RC-12135,2048,2048,0.0
Fujian-Coal_1000_RC-12135_CCS,2038,2038,-0.0
Fujian-Coal_1000_RC-12135_CCS,2038,2048,0.0
Fujian-Coal_1000_RC-12135_CCS,2048,2048,0.0
Fujian-Coal_1000_RC-12135_H2,2038,2038,-0.0
Fujian-Coal_1000_RC-12135_H2,2038,2048,0.0
Fujian-Coal_1000_RC-12135_H2,2048,2048,0.0
Fujian-Coal_1000_RC-12161,2038,2038,-0.0
Fujian-Coal_1000_RC-12161,2038,2048,0.0
Fujian-Coal_1000_RC-12161,2048,2048,0.0
Fujian-Coal_1000_RC-12161_CCS,2038,2038,-0.0
Fujian-Coal_1000_RC-12161_CCS,2038,2048,0.0
Fujian-Coal_1000_RC-12161_CCS,2048,2048,0.0
Fujian-Coal_1000_RC-12161_H2,2038,2038,-0.0
Fujian-Coal_1000_RC-12161_H2,2038,2048,0.0
Fujian-Coal_1000_RC-12161_H2,2048,2048,0.0
Fujian-Coal_1000_RC-12171,2038,2038,-0.0
Fujian-Coal_1000_RC-12171,2038,2048,0.0
Fujian-Coal_1000_RC-12171,2048,2048,0.0
Fujian-Coal_1000_RC-12171_CCS,2038,2038,-0.0
Fujian-Coal_1000_RC-12171_CCS,2038,2048,0.0
Fujian-Coal_1000_RC-12171_CCS,2048,2048,0.0
Fujian-Coal_1000_RC-12171_H2,2038,2038,-0.0
Fujian-Coal_1000_RC-12171_H2,2038,2048,0.0
Fujian-Coal_1000_RC-12171_H2,2048,2048,0.0
Fujian-Coal_1000_SEA-12145,2038,2038,-0.0
Fujian-Coal_1000_SEA-12145,2038,2048,0.0
Fujian-Coal_1000_SEA-12145,2048,2048,0.0
Fujian-Coal_1000_SEA-12145_CCS,2038,2038,-0.0
Fujian-Coal_1000_SEA-12145_CCS,2038,2048,0.0
Fujian-Coal_1000_SEA-12145_CCS,2048,2048,0.0
Fujian-Coal_1000_SEA-12145_H2,2038,2038,-0.0
Fujian-Coal_1000_SEA-12145_H2,2038,2048,0.0
Fujian-Coal_1000_SEA-12145_H2,2048,2048,0.0
Fujian-Coal_1000_SEA-12181,2038,2038,-0.0
Fujian-Coal_1000_SEA-12181,2038,2048,-0.0
Fujian-Coal_1000_SEA-12181,2048,2048,0.0
Fujian-Coal_1000_SEA-12181_CCS,2038,2038,-0.0
Fujian-Coal_1000_SEA-12181_CCS,2038,2048,0.0
Fujian-Coal_1000_SEA-12181_CCS,2048,2048,0.0
Fujian-Coal_1000_SEA-12181_H2,2038,2038,0.0
Fujian-Coal_1000_SEA-12181_H2,2038,2048,0.0
Fujian-Coal_1000_SEA-12181_H2,2048,2048,0.0
Fujian-Coal_300_OT-12157,2038,2038,-0.0
Fujian-Coal_300_OT-12157,2038,2048,0.0
Fujian-Coal_300_OT-12157,2048,2048,0.0
Fujian-Coal_300_OT-12157_CCS,2038,2038,-0.0
Fujian-Coal_300_OT-12157_CCS,2038,2048,0.0
Fujian-Coal_300_OT-12157_CCS,2048,2048,0.0
