STORAGE_GEN_TPS_1,STORAGE_GEN_TPS_2,ChargeStorage
Fujian-Hydro_Pumped-ep-35041,2040.12.19.12,1137.465009095359
Fujian-Hydro_Pumped-ep-35041,2040.12.19.16,0.0
Fujian-Hydro_Pumped-ep-35041,2040.12.19.20,0.0
Fujian-Hydro_Pumped-ep-35041,2050.06.12.00,750.5262920968074
Fujian-Hydro_Pumped-ep-35041,2050.06.12.04,0.0
Fujian-Hydro_Pumped-ep-35041,2050.06.12.08,750.5262920968074
Fujian-Hydro_Pumped-ep-35041,2050.06.12.12,750.5262920968075
Fujian-Hydro_Pumped-ep-35041,2050.06.12.16,182.5604494289533
Fujian-Hydro_Pumped-ep-35041,2050.06.12.20,0.0
Fujian-Hydro_Pumped-ep-35041,2050.12.12.00,0.0
Fujian-Hydro_Pumped-ep-35041,2050.12.12.04,0.0
Fujian-Hydro_Pumped-ep-35041,2050.12.12.08,0.0
Fujian-Hydro_Pumped-ep-35041,2050.12.12.12,1137.465009095359
Fujian-Hydro_Pumped-ep-35041,2050.12.12.16,0.0
Fujian-Hydro_Pumped-ep-35041,2050.12.12.20,0.0
Jiangsu-Battery_Storage-11179,2040.06.26.00,0.0
Jiangsu-Battery_Storage-11179,2040.06.26.04,0.0
Jiangsu-Battery_Storage-11179,2040.06.26.08,0.0
Jiangsu-Battery_Storage-11179,2040.06.26.12,0.0
Jiangsu-Battery_Storage-11179,2040.06.26.16,0.0
Jiangsu-Battery_Storage-11179,2040.06.26.20,0.0
Jiangsu-Battery_Storage-11179,2040.12.19.00,0.0
Jiangsu-Battery_Storage-11179,2040.12.19.04,0.0
Jiangsu-Battery_Storage-11179,2040.12.19.08,14289.68712486475
Jiangsu-Battery_Storage-11179,2040.12.19.12,44688.83033783669
Jiangsu-Battery_Storage-11179,2040.12.19.16,0.0
Jiangsu-Battery_Storage-11179,2040.12.19.20,0.0
Jiangsu-Battery_Storage-11179,2050.06.12.00,0.0
Jiangsu-Battery_Storage-11179,2050.06.12.04,0.0
Jiangsu-Battery_Storage-11179,2050.06.12.08,56366.04649751756
Jiangsu-Battery_Storage-11179,2050.06.12.12,30766.05355577507
Jiangsu-Battery_Storage-11179,2050.06.12.16,29430.89323267702
Jiangsu-Battery_Storage-11179,2050.06.12.20,0.0
Jiangsu-Battery_Storage-11179,2050.12.12.00,0.0
Jiangsu-Battery_Storage-11179,2050.12.12.04,0.0
Jiangsu-Battery_Storage-11179,2050.12.12.08,27159.17743563092
Jiangsu-Battery_Storage-11179,2050.12.12.12,89403.81585033871
Jiangsu-Battery_Storage-11179,2050.12.12.16,0.0
Jiangsu-Battery_Storage-11179,2050.12.12.20,0.0
Jiangsu-Hydro_Pumped-ep-35005,2040.06.26.00,142.4754491188356
Jiangsu-Hydro_Pumped-ep-35005,2040.06.26.04,0.0
Jiangsu-Hydro_Pumped-ep-35005,2040.06.26.08,585.73240193299
Jiangsu-Hydro_Pumped-ep-35005,2040.06.26.12,585.73240193299
Jiangsu-Hydro_Pumped-ep-35005,2040.06.26.16,585.73240193299
Jiangsu-Hydro_Pumped-ep-35005,2040.06.26.20,0.0
Jiangsu-Hydro_Pumped-ep-35005,2040.12.19.00,0.0
Jiangsu-Hydro_Pumped-ep-35005,2040.12.19.04,0.0
Jiangsu-Hydro_Pumped-ep-35005,2040.12.19.08,0.0
Jiangsu-Hydro_Pumped-ep-35005,2040.12.19.12,888.0822640572646
Jiangsu-Hydro_Pumped-ep-35005,2040.12.19.16,0.0
Jiangsu-Hydro_Pumped-ep-35005,2040.12.19.20,0.0
Jiangsu-Hydro_Pumped-ep-35005,2050.06.12.00,142.4754491188356
Jiangsu-Hydro_Pumped-ep-35005,2050.06.12.04,0.0
Jiangsu-Hydro_Pumped-ep-35005,2050.06.12.08,585.73240193299
Jiangsu-Hydro_Pumped-ep-35005,2050.06.12.12,585.73240193299
Jiangsu-Hydro_Pumped-ep-35005,2050.06.12.16,585.73240193299
Jiangsu-Hydro_Pumped-ep-35005,2050.06.12.20,0.0
Jiangsu-Hydro_Pumped-ep-35005,2050.12.12.00,0.0
Jiangsu-Hydro_Pumped-ep-35005,2050.12.12.04,0.0
Jiangsu-Hydro_Pumped-ep-35005,2050.12.12.08,0.0
Jiangsu-Hydro_Pumped-ep-35005,2050.12.12.12,888.0822640572646
Jiangsu-Hydro_Pumped-ep-35005,2050.12.12.16,0.0
Jiangsu-Hydro_Pumped-ep-35005,2050.12.12.20,0.0
Jiangsu-Hydro_Pumped-ep-35022,2040.06.26.00,13.04242485525772
Jiangsu-Hydro_Pumped-ep-35022,2040.06.26.04,0.0
Jiangsu-Hydro_Pumped-ep-35022,2040.06.26.08,53.61885773828175
Jiangsu-Hydro_Pumped-ep-35022,2040.06.26.12,53.61885773828175
Jiangsu-Hydro_Pumped-ep-35022,2040.06.26.16,53.61885773828175
Jiangsu-Hydro_Pumped-ep-35022,2040.06.26.20,0.0
Jiangsu-Hydro_Pumped-ep-35022,2040.12.19.00,0.0
Jiangsu-Hydro_Pumped-ep-35022,2040.12.19.04,0.0
Jiangsu-Hydro_Pumped-ep-35022,2040.12.19.08,0.0
Jiangsu-Hydro_Pumped-ep-35022,2040.12.19.12,81.29643574306704
Jiangsu-Hydro_Pumped-ep-35022,2040.12.19.16,0.0
Jiangsu-Hydro_Pumped-ep-35022,2040.12.19.20,0.0
Jiangsu-Hydro_Pumped-ep-35022,2050.06.12.00,13.04242485525772
Jiangsu-Hydro_Pumped-ep-35022,2050.06.12.04,0.0
Jiangsu-Hydro_Pumped-ep-35022,2050.06.12.08,53.61885773828175
Jiangsu-Hydro_Pumped-ep-35022,2050.06.12.12,53.61885773828175
Jiangsu-Hydro_Pumped-ep-35022,2050.06.12.16,53.61885773828175
Jiangsu-Hydro_Pumped-ep-35022,2050.06.12.20,0.0
Jiangsu-Hydro_Pumped-ep-35022,2050.12.12.00,0.0
Jiangsu-Hydro_Pumped-ep-35022,2050.12.12.04,0.0
Jiangsu-Hydro_Pumped-ep-35022,2050.12.12.08,0.0
Jiangsu-Hydro_Pumped-ep-35022,2050.12.12.12,81.29643574306704
Jiangsu-Hydro_Pumped-ep-35022,2050.12.12.16,0.0
Jiangsu-Hydro_Pumped-ep-35022,2050.12.12.20,0.0
Jiangsu-Hydro_Pumped-ep-35028,2040.06.26.00,130.4242485525772
Jiangsu-Hydro_Pumped-ep-35028,2040.06.26.04,0.0
Jiangsu-Hydro_Pumped-ep-35028,2040.06.26.08,536.1885773828175
Jiangsu-Hydro_Pumped-ep-35028,2040.06.26.12,536.1885773828175
Jiangsu-Hydro_Pumped-ep-35028,2040.06.26.16,536.1885773828175
Jiangsu-Hydro_Pumped-ep-35028,2040.06.26.20,0.0
Jiangsu-Hydro_Pumped-ep-35028,2040.12.19.00,0.0
Jiangsu-Hydro_Pumped-ep-35028,2040.12.19.04,0.0
Jiangsu-Hydro_Pumped-ep-35028,2040.12.19.08,0.0
Jiangsu-Hydro_Pumped-ep-35028,2040.12.19.12,812.9643574306702
Jiangsu-Hydro_Pumped-ep-35028,2040.12.19.16,0.0
Jiangsu-Hydro_Pumped-ep-35028,2040.12.19.20,0.0
Jiangsu-Hydro_Pumped-ep-35028,2050.06.12.00,130.4242485525772
Jiangsu-Hydro_Pumped-ep-35028,2050.06.12.04,0.0
Jiangsu-Hydro_Pumped-ep-35028,2050.06.12.08,536.1885773828175
Jiangsu-Hydro_Pumped-ep-35028,2050.06.12.12,536.1885773828175
Jiangsu-Hydro_Pumped-ep-35028,2050.06.12.16,536.1885773828175
Jiangsu-Hydro_Pumped-ep-35028,2050.06.12.20,0.0
Jiangsu-Hydro_Pumped-ep-35028,2050.12.12.00,0.0
Jiangsu-Hydro_Pumped-ep-35028,2050.12.12.04,0.0
Jiangsu-Hydro_Pumped-ep-35028,2050.12.12.08,0.0
Jiangsu-Hydro_Pumped-ep-35028,2050.12.12.12,812.9643574306702
Jiangsu-Hydro_Pumped-ep-35028,2050.12.12.16,0.0
Jiangsu-Hydro_Pumped-ep-35028,2050.12.12.20,0.0
Jiangsu-Hydro_Pumped-ep-35037,2040.06.26.00,176.072735545979
Jiangsu-Hydro_Pumped-ep-35037,2040.06.26.04,0.0
Jiangsu-Hydro_Pumped-ep-35037,2040.06.26.08,723.8545794668025
Jiangsu-Hydro_Pumped-ep-35037,2040.06.26.12,723.8545794668025
Jiangsu-Hydro_Pumped-ep-35037,2040.06.26.16,723.8545794668025
Jiangsu-Hydro_Pumped-ep-35037,2040.06.26.20,0.0
Jiangsu-Hydro_Pumped-ep-35037,2040.12.19.00,0.0
Jiangsu-Hydro_Pumped-ep-35037,2040.12.19.04,0.0
Jiangsu-Hydro_Pumped-ep-35037,2040.12.19.08,0.0
Jiangsu-Hydro_Pumped-ep-35037,2040.12.19.12,1097.501882531408
Jiangsu-Hydro_Pumped-ep-35037,2040.12.19.16,0.0
Jiangsu-Hydro_Pumped-ep-35037,2040.12.19.20,0.0
Jiangsu-Hydro_Pumped-ep-35037,2050.06.12.00,176.072735545979
Jiangsu-Hydro_Pumped-ep-35037,2050.06.12.04,0.0
Jiangsu-Hydro_Pumped-ep-35037,2050.06.12.08,723.8545794668025
Jiangsu-Hydro_Pumped-ep-35037,2050.06.12.12,723.8545794668025
Jiangsu-Hydro_Pumped-ep-35037,2050.06.12.16,723.8545794668025
Jiangsu-Hydro_Pumped-ep-35037,2050.06.12.20,0.0
Jiangsu-Hydro_Pumped-ep-35037,2050.12.12.00,0.0
Jiangsu-Hydro_Pumped-ep-35037,2050.12.12.04,0.0
Jiangsu-Hydro_Pumped-ep-35037,2050.12.12.08,0.0
Jiangsu-Hydro_Pumped-ep-35037,2050.12.12.12,1097.501882531408
Jiangsu-Hydro_Pumped-ep-35037,2050.12.12.16,0.0
Jiangsu-Hydro_Pumped-ep-35037,2050.12.12.20,0.0
Shanghai-Battery_Storage-11180,2040.06.26.00,0.0
Shanghai-Battery_Storage-11180,2040.06.26.04,0.0
Shanghai-Battery_Storage-11180,2040.06.26.08,0.0
Shanghai-Battery_Storage-11180,2040.06.26.12,-0.0
Shanghai-Battery_Storage-11180,2040.06.26.16,0.0
Shanghai-Battery_Storage-11180,2040.06.26.20,0.0
Shanghai-Battery_Storage-11180,2040.12.19.00,0.0
Shanghai-Battery_Storage-11180,2040.12.19.04,0.0
Shanghai-Battery_Storage-11180,2040.12.19.08,-0.0
Shanghai-Battery_Storage-11180,2040.12.19.12,-0.0
Shanghai-Battery_Storage-11180,2040.12.19.16,0.0
Shanghai-Battery_Storage-11180,2040.12.19.20,0.0
Shanghai-Battery_Storage-11180,2050.06.12.00,0.0
Shanghai-Battery_Storage-11180,2050.06.12.04,0.0
Shanghai-Battery_Storage-11180,2050.06.12.08,-0.0
Shanghai-Battery_Storage-11180,2050.06.12.12,0.0
Shanghai-Battery_Storage-11180,2050.06.12.16,-0.0
Shanghai-Battery_Storage-11180,2050.06.12.20,0.0
Shanghai-Battery_Storage-11180,2050.12.12.00,0.0
Shanghai-Battery_Storage-11180,2050.12.12.04,0.0
Shanghai-Battery_Storage-11180,2050.12.12.08,0.0
Shanghai-Battery_Storage-11180,2050.12.12.12,-0.0
Shanghai-Battery_Storage-11180,2050.12.12.16,0.0
Shanghai-Battery_Storage-11180,2050.12.12.20,0.0
Zhejiang-Battery_Storage-11181,2040.06.26.00,0.0
Zhejiang-Battery_Storage-11181,2040.06.26.04,0.0
Zhejiang-Battery_Storage-11181,2040.06.26.08,19178.85517592792
Zhejiang-Battery_Storage-11181,2040.06.26.12,13099.22955862841
Zhejiang-Battery_Storage-11181,2040.06.26.16,0.0
Zhejiang-Battery_Storage-11181,2040.06.26.20,0.0
Zhejiang-Battery_Storage-11181,2040.12.19.00,0.0
Zhejiang-Battery_Storage-11181,2040.12.19.04,0.0
Zhejiang-Battery_Storage-11181,2040.12.19.08,11977.20850717242
Zhejiang-Battery_Storage-11181,2040.12.19.12,39427.11984979075
Zhejiang-Battery_Storage-11181,2040.12.19.16,0.0
Zhejiang-Battery_Storage-11181,2040.12.19.20,0.0
Zhejiang-Battery_Storage-11181,2050.06.12.00,0.0
Zhejiang-Battery_Storage-11181,2050.06.12.04,0.0
Zhejiang-Battery_Storage-11181,2050.06.12.08,2976.498160236268
Zhejiang-Battery_Storage-11181,2050.06.12.12,31449.320565926
Zhejiang-Battery_Storage-11181,2050.06.12.16,11083.56431319387
Zhejiang-Battery_Storage-11181,2050.06.12.20,0.0
Zhejiang-Battery_Storage-11181,2050.12.12.00,0.0
Zhejiang-Battery_Storage-11181,2050.12.12.04,0.0
Zhejiang-Battery_Storage-11181,2050.12.12.08,38264.10758343975
Zhejiang-Battery_Storage-11181,2050.12.12.12,69994.25782899669
Zhejiang-Battery_Storage-11181,2050.12.12.16,0.0
Zhejiang-Battery_Storage-11181,2050.12.12.20,0.0
Zhejiang-Hydro_Pumped-ep-35006,2040.06.26.00,83.80079238801645
Zhejiang-Hydro_Pumped-ep-35006,2040.06.26.04,0.0
Zhejiang-Hydro_Pumped-ep-35006,2040.06.26.08,344.51436870629
Zhejiang-Hydro_Pumped-ep-35006,2040.06.26.12,344.51436870629
Zhejiang-Hydro_Pumped-ep-35006,2040.06.26.16,344.51436870629
Zhejiang-Hydro_Pumped-ep-35006,2040.06.26.20,0.0
Zhejiang-Hydro_Pumped-ep-35006,2040.12.19.00,0.0
Zhejiang-Hydro_Pumped-ep-35006,2040.12.19.04,0.0
Zhejiang-Hydro_Pumped-ep-35006,2040.12.19.08,0.0
Zhejiang-Hydro_Pumped-ep-35006,2040.12.19.12,522.1915098185157
Zhejiang-Hydro_Pumped-ep-35006,2040.12.19.16,0.0
Zhejiang-Hydro_Pumped-ep-35006,2040.12.19.20,0.0
Zhejiang-Hydro_Pumped-ep-35006,2050.06.12.00,83.80079238801645
Zhejiang-Hydro_Pumped-ep-35006,2050.06.12.04,0.0
Zhejiang-Hydro_Pumped-ep-35006,2050.06.12.08,344.51436870629
Zhejiang-Hydro_Pumped-ep-35006,2050.06.12.12,344.51436870629
Zhejiang-Hydro_Pumped-ep-35006,2050.06.12.16,344.51436870629
Zhejiang-Hydro_Pumped-ep-35006,2050.06.12.20,0.0
Zhejiang-Hydro_Pumped-ep-35006,2050.12.12.00,0.0
Zhejiang-Hydro_Pumped-ep-35006,2050.12.12.04,0.0
Zhejiang-Hydro_Pumped-ep-35006,2050.12.12.08,0.0
Zhejiang-Hydro_Pumped-ep-35006,2050.12.12.12,522.1915098185156
Zhejiang-Hydro_Pumped-ep-35006,2050.12.12.16,0.0
Zhejiang-Hydro_Pumped-ep-35006,2050.12.12.20,0.0
Zhejiang-Hydro_Pumped-ep-35017,2040.06.26.00,10.43287849334932
Zhejiang-Hydro_Pumped-ep-35017,2040.06.26.04,0.0
Zhejiang-Hydro_Pumped-ep-35017,2040.06.26.08,42.89072269488049
Zhejiang-Hydro_Pumped-ep-35017,2040.06.26.12,42.89072269488049
Zhejiang-Hydro_Pumped-ep-35017,2040.06.26.16,42.89072269488049
Zhejiang-Hydro_Pumped-ep-35017,2040.06.26.20,0.0
Zhejiang-Hydro_Pumped-ep-35017,2040.12.19.00,0.0
Zhejiang-Hydro_Pumped-ep-35017,2040.12.19.04,0.0
Zhejiang-Hydro_Pumped-ep-35017,2040.12.19.08,0.0
Zhejiang-Hydro_Pumped-ep-35017,2040.12.19.12,65.01084795200862
Zhejiang-Hydro_Pumped-ep-35017,2040.12.19.16,0.0
Zhejiang-Hydro_Pumped-ep-35017,2040.12.19.20,0.0
Zhejiang-Hydro_Pumped-ep-35017,2050.06.12.00,10.43287849334932
Zhejiang-Hydro_Pumped-ep-35017,2050.06.12.04,0.0
Zhejiang-Hydro_Pumped-ep-35017,2050.06.12.08,42.89072269488049
Zhejiang-Hydro_Pumped-ep-35017,2050.06.12.12,42.89072269488049
Zhejiang-Hydro_Pumped-ep-35017,2050.06.12.16,42.89072269488049
Zhejiang-Hydro_Pumped-ep-35017,2050.06.12.20,0.0
Zhejiang-Hydro_Pumped-ep-35017,2050.12.12.00,0.0
Zhejiang-Hydro_Pumped-ep-35017,2050.12.12.04,0.0
Zhejiang-Hydro_Pumped-ep-35017,2050.12.12.08,0.0
Zhejiang-Hydro_Pumped-ep-35017,2050.12.12.12,65.01084795200862
Zhejiang-Hydro_Pumped-ep-35017,2050.12.12.16,0.0
Zhejiang-Hydro_Pumped-ep-35017,2050.12.12.20,0.0
Zhejiang-Hydro_Pumped-ep-35018,2040.06.26.00,234.7397661003594
Zhejiang-Hydro_Pumped-ep-35018,2040.06.26.04,0.0
Zhejiang-Hydro_Pumped-ep-35018,2040.06.26.08,965.04126063481
Zhejiang-Hydro_Pumped-ep-35018,2040.06.26.12,965.04126063481
Zhejiang-Hydro_Pumped-ep-35018,2040.06.26.16,965.04126063481
Zhejiang-Hydro_Pumped-ep-35018,2040.06.26.20,0.0
Zhejiang-Hydro_Pumped-ep-35018,2040.12.19.00,0.0
Zhejiang-Hydro_Pumped-ep-35018,2040.12.19.04,0.0
Zhejiang-Hydro_Pumped-ep-35018,2040.12.19.08,0.0
Zhejiang-Hydro_Pumped-ep-35018,2040.12.19.12,1462.744078920194
Zhejiang-Hydro_Pumped-ep-35018,2040.12.19.16,0.0
Zhejiang-Hydro_Pumped-ep-35018,2040.12.19.20,0.0
Zhejiang-Hydro_Pumped-ep-35018,2050.06.12.00,234.7397661003594
