generation_project,timepoint,load_zone,ChargeMW,DischargeMW,StateOfCharge
Anhui-Hydro_Pumped-ep-35039,2050-12-12_00:00,Anhui,0,89.9076,903.936
Anhui-Hydro_Pumped-ep-35039,2050-12-12_04:00,Anhui,0,136.076,359.63
Anhui-Hydro_Pumped-ep-35039,2050-12-12_08:00,Anhui,0,89.9076,0
Anhui-Hydro_Pumped-ep-35039,2050-12-12_12:00,Anhui,1457.96,583.184,1982.83
Anhui-Hydro_Pumped-ep-35039,2050-12-12_16:00,Anhui,0,89.9076,1623.2
Anhui-Hydro_Pumped-ep-35039,2050-12-12_20:00,Anhui,0,89.9076,1263.57
Anhui-Hydro_Pumped-ep-35040,2040-06-26_00:00,Anhui,156.585,257.495,1029.98
Anhui-Hydro_Pumped-ep-35040,2040-06-26_04:00,Anhui,0,257.495,0
Anhui-Hydro_Pumped-ep-35040,2040-06-26_08:00,Anhui,643.737,257.495,875.483
Anhui-Hydro_Pumped-ep-35040,2040-06-26_12:00,Anhui,643.737,257.495,1750.97
Anhui-Hydro_Pumped-ep-35040,2040-06-26_16:00,Anhui,643.737,257.495,2626.45
Anhui-Hydro_Pumped-ep-35040,2040-06-26_20:00,Anhui,0,257.495,1596.47
Anhui-Hydro_Pumped-ep-35040,2040-12-19_00:00,Anhui,0,59.9384,479.507
Anhui-Hydro_Pumped-ep-35040,2040-12-19_04:00,Anhui,0,59.9384,239.754
Anhui-Hydro_Pumped-ep-35040,2040-12-19_08:00,Anhui,0,59.9384,0
Anhui-Hydro_Pumped-ep-35040,2040-12-19_12:00,Anhui,971.974,388.79,1321.88
Anhui-Hydro_Pumped-ep-35040,2040-12-19_16:00,Anhui,0,59.9384,1082.13
Anhui-Hydro_Pumped-ep-35040,2040-12-19_20:00,Anhui,0,90.7176,719.261
Anhui-Hydro_Pumped-ep-35040,2050-06-12_00:00,Anhui,0,257.495,1012.89
Anhui-Hydro_Pumped-ep-35040,2050-06-12_04:00,Anhui,5.77319,257.495,0
Anhui-Hydro_Pumped-ep-35040,2050-06-12_08:00,Anhui,643.737,257.495,875.483
Anhui-Hydro_Pumped-ep-35040,2050-06-12_12:00,Anhui,971.974,388.79,2197.37
Anhui-Hydro_Pumped-ep-35040,2050-06-12_16:00,Anhui,643.737,257.495,3072.85
Anhui-Hydro_Pumped-ep-35040,2050-06-12_20:00,Anhui,0,257.495,2042.87
Anhui-Hydro_Pumped-ep-35040,2050-12-12_00:00,Anhui,0,90.7176,479.507
Anhui-Hydro_Pumped-ep-35040,2050-12-12_04:00,Anhui,0,59.9384,239.754
Anhui-Hydro_Pumped-ep-35040,2050-12-12_08:00,Anhui,0,59.9384,0
Anhui-Hydro_Pumped-ep-35040,2050-12-12_12:00,Anhui,971.974,388.79,1321.88
Anhui-Hydro_Pumped-ep-35040,2050-12-12_16:00,Anhui,0,59.9384,1082.13
Anhui-Hydro_Pumped-ep-35040,2050-12-12_20:00,Anhui,0,59.9384,842.377
Fujian-Battery_Storage-11178,2040-06-26_00:00,Fujian,0,26129.5,77683.9
Fujian-Battery_Storage-11178,2040-06-26_04:00,Fujian,0,19421,0
Fujian-Battery_Storage-11178,2040-06-26_08:00,Fujian,43259.3,0,132719
Fujian-Battery_Storage-11178,2040-06-26_12:00,Fujian,43068.2,0,264853
Fujian-Battery_Storage-11178,2040-06-26_16:00,Fujian,0,0,264853
Fujian-Battery_Storage-11178,2040-06-26_20:00,Fujian,0,20662.6,182202
Fujian-Battery_Storage-11178,2040-12-19_00:00,Fujian,0,0,0
Fujian-Battery_Storage-11178,2040-12-19_04:00,Fujian,0,0,0
Fujian-Battery_Storage-11178,2040-12-19_08:00,Fujian,0,0,0
Fujian-Battery_Storage-11178,2040-12-19_12:00,Fujian,43259.3,0,132719
Fujian-Battery_Storage-11178,2040-12-19_16:00,Fujian,0,0,132719
Fujian-Battery_Storage-11178,2040-12-19_20:00,Fujian,0,33179.8,0
Fujian-Battery_Storage-11178,2050-06-12_00:00,Fujian,0,0,31545.7
Fujian-Battery_Storage-11178,2050-06-12_04:00,Fujian,0,7886.43,0
Fujian-Battery_Storage-11178,2050-06-12_08:00,Fujian,43259.3,0,132719
Fujian-Battery_Storage-11178,2050-06-12_12:00,Fujian,40776.7,0,257822
Fujian-Battery_Storage-11178,2050-06-12_16:00,Fujian,0,14128.2,201309
Fujian-Battery_Storage-11178,2050-06-12_20:00,Fujian,0,42440.9,31545.7
Fujian-Battery_Storage-11178,2050-12-12_00:00,Fujian,0,14170,0
Fujian-Battery_Storage-11178,2050-12-12_04:00,Fujian,0,0,0
Fujian-Battery_Storage-11178,2050-12-12_08:00,Fujian,0,0,0
Fujian-Battery_Storage-11178,2050-12-12_12:00,Fujian,43259.3,0,132719
Fujian-Battery_Storage-11178,2050-12-12_16:00,Fujian,0,0,132719
Fujian-Battery_Storage-11178,2050-12-12_20:00,Fujian,0,19009.9,56679.9
Fujian-Hydro_Pumped-ep-35041,2040-06-26_00:00,Fujian,0,300.211,1200.84
Fujian-Hydro_Pumped-ep-35041,2040-06-26_04:00,Fujian,0,300.211,0
Fujian-Hydro_Pumped-ep-35041,2040-06-26_08:00,Fujian,1328.6,531.44,1806.9
Fujian-Hydro_Pumped-ep-35041,2040-06-26_12:00,Fujian,750.526,300.211,2827.61
Fujian-Hydro_Pumped-ep-35041,2040-06-26_16:00,Fujian,667.485,300.211,3602.53
Fujian-Hydro_Pumped-ep-35041,2040-06-26_20:00,Fujian,0,300.211,2401.68
Fujian-Hydro_Pumped-ep-35041,2040-12-19_00:00,Fujian,0,70.1437,561.149
Fujian-Hydro_Pumped-ep-35041,2040-12-19_04:00,Fujian,0,70.1437,280.575
Fujian-Hydro_Pumped-ep-35041,2040-12-19_08:00,Fujian,0,70.1437,0
Fujian-Hydro_Pumped-ep-35041,2040-12-19_12:00,Fujian,1137.47,454.986,1546.95
Fujian-Hydro_Pumped-ep-35041,2040-12-19_16:00,Fujian,0,70.1437,1266.38
Fujian-Hydro_Pumped-ep-35041,2040-12-19_20:00,Fujian,0,106.163,841.724
Fujian-Hydro_Pumped-ep-35041,2050-06-12_00:00,Fujian,750.526,300.211,1200.84
Fujian-Hydro_Pumped-ep-35041,2050-06-12_04:00,Fujian,0,300.211,0
Fujian-Hydro_Pumped-ep-35041,2050-06-12_08:00,Fujian,750.526,300.211,1020.72
Fujian-Hydro_Pumped-ep-35041,2050-06-12_12:00,Fujian,750.526,300.211,2041.43
Fujian-Hydro_Pumped-ep-35041,2050-06-12_16:00,Fujian,182.56,300.211,1380.97
Fujian-Hydro_Pumped-ep-35041,2050-06-12_20:00,Fujian,0,300.211,180.126
Fujian-Hydro_Pumped-ep-35041,2050-12-12_00:00,Fujian,0,70.1437,561.149
Fujian-Hydro_Pumped-ep-35041,2050-12-12_04:00,Fujian,0,70.1437,280.575
Fujian-Hydro_Pumped-ep-35041,2050-12-12_08:00,Fujian,0,70.1437,0
Fujian-Hydro_Pumped-ep-35041,2050-12-12_12:00,Fujian,1137.47,454.986,1546.95
Fujian-Hydro_Pumped-ep-35041,2050-12-12_16:00,Fujian,0,70.1437,1266.38
Fujian-Hydro_Pumped-ep-35041,2050-12-12_20:00,Fujian,0,106.163,841.724
Jiangsu-Battery_Storage-11179,2040-06-26_00:00,Jiangsu,0,0,0
Jiangsu-Battery_Storage-11179,2040-06-26_04:00,Jiangsu,0,0,0
Jiangsu-Battery_Storage-11179,2040-06-26_08:00,Jiangsu,0,0,0
Jiangsu-Battery_Storage-11179,2040-06-26_12:00,Jiangsu,0,0,0
Jiangsu-Battery_Storage-11179,2040-06-26_16:00,Jiangsu,0,0,0
Jiangsu-Battery_Storage-11179,2040-06-26_20:00,Jiangsu,0,0,0
Jiangsu-Battery_Storage-11179,2040-12-19_00:00,Jiangsu,0,0,0
Jiangsu-Battery_Storage-11179,2040-12-19_04:00,Jiangsu,0,0,0
Jiangsu-Battery_Storage-11179,2040-12-19_08:00,Jiangsu,14289.7,0,43840.8
Jiangsu-Battery_Storage-11179,2040-12-19_12:00,Jiangsu,44688.8,0,180946
Jiangsu-Battery_Storage-11179,2040-12-19_16:00,Jiangsu,0,44688.8,2190.77
Jiangsu-Battery_Storage-11179,2040-12-19_20:00,Jiangsu,0,547.693,0
Jiangsu-Battery_Storage-11179,2050-06-12_00:00,Jiangsu,0,89403.8,0
Jiangsu-Battery_Storage-11179,2050-06-12_04:00,Jiangsu,0,0,0
Jiangsu-Battery_Storage-11179,2050-06-12_08:00,Jiangsu,56366,0,172931
Jiangsu-Battery_Storage-11179,2050-06-12_12:00,Jiangsu,30766.1,0,267321
Jiangsu-Battery_Storage-11179,2050-06-12_16:00,Jiangsu,29430.9,0,357615
Jiangsu-Battery_Storage-11179,2050-06-12_20:00,Jiangsu,0,0,357615
Jiangsu-Battery_Storage-11179,2050-12-12_00:00,Jiangsu,0,0,0
Jiangsu-Battery_Storage-11179,2050-12-12_04:00,Jiangsu,0,0,0
Jiangsu-Battery_Storage-11179,2050-12-12_08:00,Jiangsu,27159.2,0,83324.4
Jiangsu-Battery_Storage-11179,2050-12-12_12:00,Jiangsu,89403.8,0,357615
Jiangsu-Battery_Storage-11179,2050-12-12_16:00,Jiangsu,0,89403.8,0
Jiangsu-Battery_Storage-11179,2050-12-12_20:00,Jiangsu,0,0,0
Jiangsu-Hydro_Pumped-ep-35005,2040-06-26_00:00,Jiangsu,142.475,234.293,937.172
Jiangsu-Hydro_Pumped-ep-35005,2040-06-26_04:00,Jiangsu,0,234.293,0
Jiangsu-Hydro_Pumped-ep-35005,2040-06-26_08:00,Jiangsu,585.732,234.293,796.596
Jiangsu-Hydro_Pumped-ep-35005,2040-06-26_12:00,Jiangsu,585.732,234.293,1593.19
Jiangsu-Hydro_Pumped-ep-35005,2040-06-26_16:00,Jiangsu,585.732,234.293,2389.79
Jiangsu-Hydro_Pumped-ep-35005,2040-06-26_20:00,Jiangsu,0,234.293,1452.62
Jiangsu-Hydro_Pumped-ep-35005,2040-12-19_00:00,Jiangsu,0,54.7651,438.121
Jiangsu-Hydro_Pumped-ep-35005,2040-12-19_04:00,Jiangsu,0,54.7651,219.06
Jiangsu-Hydro_Pumped-ep-35005,2040-12-19_08:00,Jiangsu,0,54.7651,0
Jiangsu-Hydro_Pumped-ep-35005,2040-12-19_12:00,Jiangsu,888.082,355.233,1207.79
Jiangsu-Hydro_Pumped-ep-35005,2040-12-19_16:00,Jiangsu,0,82.8877,876.241
Jiangsu-Hydro_Pumped-ep-35005,2040-12-19_20:00,Jiangsu,0,54.7651,657.181
Jiangsu-Hydro_Pumped-ep-35005,2050-06-12_00:00,Jiangsu,142.475,234.293,937.172
Jiangsu-Hydro_Pumped-ep-35005,2050-06-12_04:00,Jiangsu,0,234.293,0
Jiangsu-Hydro_Pumped-ep-35005,2050-06-12_08:00,Jiangsu,585.732,234.293,796.596
Jiangsu-Hydro_Pumped-ep-35005,2050-06-12_12:00,Jiangsu,585.732,234.293,1593.19
Jiangsu-Hydro_Pumped-ep-35005,2050-06-12_16:00,Jiangsu,585.732,234.293,2389.79
Jiangsu-Hydro_Pumped-ep-35005,2050-06-12_20:00,Jiangsu,0,234.293,1452.62
Jiangsu-Hydro_Pumped-ep-35005,2050-12-12_00:00,Jiangsu,0,54.7651,438.121
Jiangsu-Hydro_Pumped-ep-35005,2050-12-12_04:00,Jiangsu,0,54.7651,219.06
Jiangsu-Hydro_Pumped-ep-35005,2050-12-12_08:00,Jiangsu,0,54.7651,0
Jiangsu-Hydro_Pumped-ep-35005,2050-12-12_12:00,Jiangsu,888.082,355.233,1207.79
Jiangsu-Hydro_Pumped-ep-35005,2050-12-12_16:00,Jiangsu,0,82.8877,876.241
Jiangsu-Hydro_Pumped-ep-35005,2050-12-12_20:00,Jiangsu,0,54.7651,657.181
Jiangsu-Hydro_Pumped-ep-35022,2040-06-26_00:00,Jiangsu,13.0424,21.4475,85.7902
Jiangsu-Hydro_Pumped-ep-35022,2040-06-26_04:00,Jiangsu,0,21.4475,0
Jiangsu-Hydro_Pumped-ep-35022,2040-06-26_08:00,Jiangsu,53.6189,21.4475,72.9216
Jiangsu-Hydro_Pumped-ep-35022,2040-06-26_12:00,Jiangsu,53.6189,21.4475,145.843
Jiangsu-Hydro_Pumped-ep-35022,2040-06-26_16:00,Jiangsu,53.6189,21.4475,218.765
Jiangsu-Hydro_Pumped-ep-35022,2040-06-26_20:00,Jiangsu,0,21.4475,132.975
Jiangsu-Hydro_Pumped-ep-35022,2040-12-19_00:00,Jiangsu,0,5.01328,40.1062
Jiangsu-Hydro_Pumped-ep-35022,2040-12-19_04:00,Jiangsu,0,5.01328,20.0531
Jiangsu-Hydro_Pumped-ep-35022,2040-12-19_08:00,Jiangsu,0,5.01328,0
Jiangsu-Hydro_Pumped-ep-35022,2040-12-19_12:00,Jiangsu,81.2964,32.5186,110.563
Jiangsu-Hydro_Pumped-ep-35022,2040-12-19_16:00,Jiangsu,0,7.58767,80.2125
Jiangsu-Hydro_Pumped-ep-35022,2040-12-19_20:00,Jiangsu,0,5.01328,60.1594
Jiangsu-Hydro_Pumped-ep-35022,2050-06-12_00:00,Jiangsu,13.0424,21.4475,85.7902
Jiangsu-Hydro_Pumped-ep-35022,2050-06-12_04:00,Jiangsu,0,21.4475,0
Jiangsu-Hydro_Pumped-ep-35022,2050-06-12_08:00,Jiangsu,53.6189,21.4475,72.9216
Jiangsu-Hydro_Pumped-ep-35022,2050-06-12_12:00,Jiangsu,53.6189,21.4475,145.843
Jiangsu-Hydro_Pumped-ep-35022,2050-06-12_16:00,Jiangsu,53.6189,21.4475,218.765
Jiangsu-Hydro_Pumped-ep-35022,2050-06-12_20:00,Jiangsu,0,21.4475,132.975
Jiangsu-Hydro_Pumped-ep-35022,2050-12-12_00:00,Jiangsu,0,5.01328,40.1062
Jiangsu-Hydro_Pumped-ep-35022,2050-12-12_04:00,Jiangsu,0,5.01328,20.0531
Jiangsu-Hydro_Pumped-ep-35022,2050-12-12_08:00,Jiangsu,0,5.01328,0
Jiangsu-Hydro_Pumped-ep-35022,2050-12-12_12:00,Jiangsu,81.2964,32.5186,110.563
Jiangsu-Hydro_Pumped-ep-35022,2050-12-12_16:00,Jiangsu,0,7.58767,80.2125
Jiangsu-Hydro_Pumped-ep-35022,2050-12-12_20:00,Jiangsu,0,5.01328,60.1594
Jiangsu-Hydro_Pumped-ep-35028,2040-06-26_00:00,Jiangsu,130.424,214.475,857.902
Jiangsu-Hydro_Pumped-ep-35028,2040-06-26_04:00,Jiangsu,0,214.475,0
Jiangsu-Hydro_Pumped-ep-35028,2040-06-26_08:00,Jiangsu,536.189,214.475,729.216
Jiangsu-Hydro_Pumped-ep-35028,2040-06-26_12:00,Jiangsu,536.189,214.475,1458.43
Jiangsu-Hydro_Pumped-ep-35028,2040-06-26_16:00,Jiangsu,536.189,214.475,2187.65
Jiangsu-Hydro_Pumped-ep-35028,2040-06-26_20:00,Jiangsu,0,214.475,1329.75
Jiangsu-Hydro_Pumped-ep-35028,2040-12-19_00:00,Jiangsu,0,50.1328,401.062
Jiangsu-Hydro_Pumped-ep-35028,2040-12-19_04:00,Jiangsu,0,50.1328,200.531
Jiangsu-Hydro_Pumped-ep-35028,2040-12-19_08:00,Jiangsu,0,50.1328,0
Jiangsu-Hydro_Pumped-ep-35028,2040-12-19_12:00,Jiangsu,812.964,325.186,1105.63
Jiangsu-Hydro_Pumped-ep-35028,2040-12-19_16:00,Jiangsu,0,75.8767,802.125
Jiangsu-Hydro_Pumped-ep-35028,2040-12-19_20:00,Jiangsu,0,50.1328,601.594
Jiangsu-Hydro_Pumped-ep-35028,2050-06-12_00:00,Jiangsu,130.424,214.475,857.902
Jiangsu-Hydro_Pumped-ep-35028,2050-06-12_04:00,Jiangsu,0,214.475,0
Jiangsu-Hydro_Pumped-ep-35028,2050-06-12_08:00,Jiangsu,536.189,214.475,729.216
Jiangsu-Hydro_Pumped-ep-35028,2050-06-12_12:00,Jiangsu,536.189,214.475,1458.43
Jiangsu-Hydro_Pumped-ep-35028,2050-06-12_16:00,Jiangsu,536.189,214.475,2187.65
Jiangsu-Hydro_Pumped-ep-35028,2050-06-12_20:00,Jiangsu,0,214.475,1329.75
Jiangsu-Hydro_Pumped-ep-35028,2050-12-12_00:00,Jiangsu,0,50.1328,401.062
Jiangsu-Hydro_Pumped-ep-35028,2050-12-12_04:00,Jiangsu,0,50.1328,200.531
Jiangsu-Hydro_Pumped-ep-35028,2050-12-12_08:00,Jiangsu,0,50.1328,0
Jiangsu-Hydro_Pumped-ep-35028,2050-12-12_12:00,Jiangsu,812.964,325.186,1105.63
Jiangsu-Hydro_Pumped-ep-35028,2050-12-12_16:00,Jiangsu,0,75.8767,802.125
Jiangsu-Hydro_Pumped-ep-35028,2050-12-12_20:00,Jiangsu,0,50.1328,601.594
Jiangsu-Hydro_Pumped-ep-35037,2040-06-26_00:00,Jiangsu,176.073,289.542,1158.17
Jiangsu-Hydro_Pumped-ep-35037,2040-06-26_04:00,Jiangsu,0,289.542,0
Jiangsu-Hydro_Pumped-ep-35037,2040-06-26_08:00,Jiangsu,723.855,289.542,984.442
Jiangsu-Hydro_Pumped-ep-35037,2040-06-26_12:00,Jiangsu,723.855,289.542,1968.88
Jiangsu-Hydro_Pumped-ep-35037,2040-06-26_16:00,Jiangsu,723.855,289.542,2953.33
Jiangsu-Hydro_Pumped-ep-35037,2040-06-26_20:00,Jiangsu,0,289.542,1795.16
Jiangsu-Hydro_Pumped-ep-35037,2040-12-19_00:00,Jiangsu,0,67.6793,541.434
Jiangsu-Hydro_Pumped-ep-35037,2040-12-19_04:00,Jiangsu,0,67.6793,270.717
Jiangsu-Hydro_Pumped-ep-35037,2040-12-19_08:00,Jiangsu,0,67.6793,0
Jiangsu-Hydro_Pumped-ep-35037,2040-12-19_12:00,Jiangsu,1097.5,439.001,1492.6
Jiangsu-Hydro_Pumped-ep-35037,2040-12-19_16:00,Jiangsu,0,102.434,1082.87
Jiangsu-Hydro_Pumped-ep-35037,2040-12-19_20:00,Jiangsu,0,67.6793,812.151
Jiangsu-Hydro_Pumped-ep-35037,2050-06-12_00:00,Jiangsu,176.073,289.542,1158.17
Jiangsu-Hydro_Pumped-ep-35037,2050-06-12_04:00,Jiangsu,0,289.542,0
Jiangsu-Hydro_Pumped-ep-35037,2050-06-12_08:00,Jiangsu,723.855,289.542,984.442
Jiangsu-Hydro_Pumped-ep-35037,2050-06-12_12:00,Jiangsu,723.855,289.542,1968.88
Jiangsu-Hydro_Pumped-ep-35037,2050-06-12_16:00,Jiangsu,723.855,289.542,2953.33
Jiangsu-Hydro_Pumped-ep-35037,2050-06-12_20:00,Jiangsu,0,289.542,1795.16
Jiangsu-Hydro_Pumped-ep-35037,2050-12-12_00:00,Jiangsu,0,67.6793,541.434
Jiangsu-Hydro_Pumped-ep-35037,2050-12-12_04:00,Jiangsu,0,67.6793,270.717
Jiangsu-Hydro_Pumped-ep-35037,2050-12-12_08:00,Jiangsu,0,67.6793,0
Jiangsu-Hydro_Pumped-ep-35037,2050-12-12_12:00,Jiangsu,1097.5,439.001,1492.6
Jiangsu-Hydro_Pumped-ep-35037,2050-12-12_16:00,Jiangsu,0,102.434,1082.87
Jiangsu-Hydro_Pumped-ep-35037,2050-12-12_20:00,Jiangsu,0,67.6793,812.151
