GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,BuildGen,BuildStorageEnergy,GenCapitalOutlay
Anhui-Hydro_NonPumped-ep-30373,2038,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30373,2048,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30404,2038,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30404,2048,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30435,2038,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30435,2048,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30466,2038,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30466,2048,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30497,2038,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30497,2048,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30528,2038,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30528,2048,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30605,2038,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30605,2048,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30628,2038,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30628,2048,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30651,2038,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30651,2048,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30674,2038,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30674,2048,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30722,2038,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30722,2048,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30745,2038,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30745,2048,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30768,2038,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30768,2048,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30792,2038,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30792,2048,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30812,2038,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30812,2048,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30837,2038,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30837,2048,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30866,2038,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30866,2048,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30903,2038,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30903,2048,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30915,2038,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30915,2048,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30934,2038,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30934,2048,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30947,2038,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30947,2048,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30975,2038,Hydro_NonPumped,Anhui,Water,.,.,.
