GEN_TPS_1,GEN_TPS_2,CommitGen
Anhui-Central_PV_EP-ep-50143,2040.12.19.00,0.0
Anhui-Central_PV_EP-ep-50143,2040.12.19.04,0.0
Anhui-Central_PV_EP-ep-50143,2040.12.19.08,5316.401999999999
Anhui-Central_PV_EP-ep-50143,2040.12.19.12,5316.401999999999
Anhui-Central_PV_EP-ep-50143,2040.12.19.16,5316.401999999999
Anhui-Central_PV_EP-ep-50143,2040.12.19.20,0.0
Anhui-Central_PV_EP-ep-50173,2040.06.26.00,0.0
Anhui-Central_PV_EP-ep-50173,2040.06.26.04,0.0
Anhui-Central_PV_EP-ep-50173,2040.06.26.08,3.92
Anhui-Central_PV_EP-ep-50173,2040.06.26.12,3.92
Anhui-Central_PV_EP-ep-50173,2040.06.26.16,3.92
Anhui-Central_PV_EP-ep-50173,2040.06.26.20,0.0
Anhui-Central_PV_EP-ep-50173,2040.12.19.00,0.0
Anhui-Central_PV_EP-ep-50173,2040.12.19.04,0.0
Anhui-Central_PV_EP-ep-50173,2040.12.19.08,3.92
Anhui-Central_PV_EP-ep-50173,2040.12.19.12,3.92
Anhui-Central_PV_EP-ep-50173,2040.12.19.16,3.92
Anhui-Central_PV_EP-ep-50173,2040.12.19.20,0.0
Anhui-Coal_1000_OT-12107,2040.06.26.00,15397.81304735171
Anhui-Coal_1000_OT-12107,2040.06.26.04,15397.81304735171
Anhui-Coal_1000_OT-12107,2040.06.26.08,0.0
Anhui-Coal_1000_OT-12107,2040.06.26.12,-0.0
Anhui-Coal_1000_OT-12107,2040.06.26.16,15397.81304735171
Anhui-Coal_1000_OT-12107,2040.06.26.20,15397.81304735171
Anhui-Coal_1000_OT-12107,2040.12.19.00,15397.81304735171
Anhui-Coal_1000_OT-12107,2040.12.19.04,15397.81304735171
Anhui-Coal_1000_OT-12107,2040.12.19.08,-0.0
Anhui-Coal_1000_OT-12107,2040.12.19.12,0.0
Anhui-Coal_1000_OT-12107,2040.12.19.16,15397.81304735171
Anhui-Coal_1000_OT-12107,2040.12.19.20,15397.81304735171
Anhui-Coal_1000_OT-12107,2050.06.12.00,0.0
Anhui-Coal_1000_OT-12107,2050.06.12.04,0.0
Anhui-Coal_1000_OT-12107,2050.06.12.08,0.0
Anhui-Coal_1000_OT-12107,2050.06.12.12,0.0
Anhui-Coal_1000_OT-12107,2050.06.12.16,0.0
Anhui-Coal_1000_OT-12107,2050.06.12.20,0.0
Anhui-Coal_1000_OT-12107,2050.12.12.00,0.0
Anhui-Coal_1000_OT-12107,2050.12.12.04,0.0
Anhui-Coal_1000_OT-12107,2050.12.12.08,0.0
Anhui-Coal_1000_OT-12107,2050.12.12.12,0.0
Anhui-Coal_1000_OT-12107,2050.12.12.16,0.0
Anhui-Coal_1000_OT-12107,2050.12.12.20,0.0
Anhui-Coal_1000_RC-12115,2040.06.26.00,-0.0
Anhui-Coal_1000_RC-12115,2040.06.26.04,-0.0
Anhui-Coal_1000_RC-12115,2040.06.26.08,-0.0
Anhui-Coal_1000_RC-12115,2040.06.26.12,0.0
Anhui-Coal_1000_RC-12115,2040.06.26.16,-0.0
Anhui-Coal_1000_RC-12115,2040.06.26.20,-0.0
Anhui-Coal_1000_RC-12115,2040.12.19.00,-0.0
Anhui-Coal_1000_RC-12115,2040.12.19.04,-0.0
Anhui-Coal_1000_RC-12115,2040.12.19.08,-0.0
Anhui-Coal_1000_RC-12115,2040.12.19.12,0.0
Anhui-Coal_1000_RC-12115,2040.12.19.16,-0.0
Anhui-Coal_1000_RC-12115,2040.12.19.20,-0.0
Anhui-Coal_1000_RC-12115,2050.06.12.00,0.0
Anhui-Coal_1000_RC-12115,2050.06.12.04,0.0
Anhui-Coal_1000_RC-12115,2050.06.12.08,0.0
Anhui-Coal_1000_RC-12115,2050.06.12.12,0.0
Anhui-Coal_1000_RC-12115,2050.06.12.16,0.0
Anhui-Coal_1000_RC-12115,2050.06.12.20,0.0
Anhui-Coal_1000_RC-12115,2050.12.12.00,0.0
Anhui-Coal_1000_RC-12115,2050.12.12.04,0.0
Anhui-Coal_1000_RC-12115,2050.12.12.08,0.0
Anhui-Coal_1000_RC-12115,2050.12.12.12,0.0
Anhui-Coal_1000_RC-12115,2050.12.12.16,0.0
Anhui-Coal_1000_RC-12115,2050.12.12.20,0.0
Anhui-Coal_1000_RC-12125,2040.06.26.00,-0.0
Anhui-Coal_1000_RC-12125,2040.06.26.04,-0.0
Anhui-Coal_1000_RC-12125,2040.06.26.08,-0.0
Anhui-Coal_1000_RC-12125,2040.06.26.12,0.0
Anhui-Coal_1000_RC-12125,2040.06.26.16,-0.0
Anhui-Coal_1000_RC-12125,2040.06.26.20,-0.0
