load_zone,period,timepoint_label,Coal,Gas,Uranium,Hydrogen,Solar,Storage,Water,Wind,Battery_Storage,Central_PV,Central_PV_EP,Commercial_PV,Hydro_NonPumped,Hydro_Pumped,Offshore_Wind,Residential_PV,Wind,Wind_EP,curtail_Solar,curtail_Storage,curtail_Water,curtail_Wind,ZoneTotalCentralDispatch,TXPowerNet,WithdrawFromCentralGrid,StorageNetCharge,zone_demand_mw,spinning_reserve_provision,spinning_reserve_requirement,marginal_cost,peak_day
Anhui,2038,2040-12-19_16:00,50329.31304735171,0.0,2031.867904,0,42800.86077353671,0.0,331.18162666633566,2174.04611984,0.0,41789.64568570052,828.2676294899999,182.94745834619192,147.37053929775746,183.81108736857817,0,0.0,1752.1988988,421.84722103999997,7.247535904753022e-12,0.0,0.0,0.0,97667.26947139476,-56487.34594357986,41179.92352781489,0.0,38997.3875808407,43259.25060601609,43259.25060601609,195.87042363406934,typical
Anhui,2038,2040-12-19_20:00,55497.31304735171,0.0,2031.867904,0,0.0,-0.0,1309.7943397502568,733.4224222640001,-0.0,0.0,0.0,0.0,1031.5937750843027,278.2005646659541,0,0.0,591.11071698,142.311705284,0.0,0.0,0.0,1.4210854715202004e-14,59572.39771336599,-16378.65647170492,43193.74124166104,0.0,40904.472955853,39427.11984979075,39427.11984979075,227.89289085950938,typical
Anhui,2048,2050-06-12_00:00,0.0,0.0,2031.867904,0,0.0,173510.9382387078,1422.7535477234653,312.57319716,173510.9382387078,0.0,0.0,0.0,633.1026262729503,789.6509214505149,0,0.0,312.57319716,0.0,0.0,0.0,0.0,3.552713678800501e-14,177278.13288759114,-135867.54016925453,41410.59271833675,0.0,39215.8313042649,89126.88582210109,89126.88582210109,-0.0,peak
Anhui,2048,2050-06-12_04:00,0.0,0.0,2031.867904,0,0.0,250274.0407398633,1422.7535477234653,211.85463599999997,250274.0407398633,0.0,0.0,0.0,633.1026262729501,789.6509214505149,0,0.0,211.85463599999997,0.0,0.0,276565.15027337347,0.0,3.552713678800501e-14,253940.51682758675,-218417.96407844123,35513.50809086061,9.044658284869593,33631.292162045,470118.6851408405,470118.6851408404,-0.0,peak
Anhui,2048,2050-06-12_08:00,0.0,0.0,2031.867904,0,322137.9371549336,0.0,1422.7535477234653,80.945815776,0.0,321517.8008644493,0.0,620.1362904842737,633.1026262729503,789.6509214505149,0,0.0,80.945815776,0.0,-5.834976946061943e-11,0.0,1184.4763821757722,0.0,325673.5044224331,-286331.73925722676,37367.63786158004,1974.1273036262874,35387.1530549163,318939.0199106779,318939.0199106779,-0.0,peak
Anhui,2048,2050-06-12_12:00,0.0,0.0,2031.867904,0,846961.1446796875,0.0,1825.390760555617,0.0,0.0,846961.1446796875,0.0,0.0,633.1026262729501,1192.2881342826668,0,0.0,0.0,0.0,4.656612873077393e-10,526839.1910132368,1788.4322014240004,0.0,850818.403344243,-276838.16797215794,44160.3240231415,529819.9113489434,41819.826849915,1374618.1865385184,1374618.186538518,-0.0,peak
Anhui,2048,2050-06-12_16:00,0.0,0.0,2031.867904,0,722307.5625881079,0.0,1422.7535477234653,115.4758206,0.0,722307.5625881079,0.0,0.0,633.1026262729503,789.6509214505149,0,0.0,115.4758206,0.0,-2.3283064365386963e-10,392482.4314047301,1184.4763821757722,0.0,725877.6598604312,-286331.73925722676,45089.36189484826,394456.5587083564,42699.6257144213,937566.0901606352,937566.0901606354,-0.0,peak
Anhui,2048,2050-06-12_20:00,0.0,0.0,2031.867904,0,0.0,281334.7054160095,1422.7535477234653,472.5968973599999,281334.7054160095,0.0,0.0,0.0,633.1026262729504,789.6509214505149,0,0.0,472.5968973599999,0.0,0.0,0.0,0.0,7.105427357601002e-14,285261.9237650931,-237958.90150067443,47294.36248520962,8.659779208918478,44787.7612734935,63068.046490765555,63068.04649076556,-0.0,peak
Anhui,2048,2050-12-12_00:00,0.0,0.0,2031.867904,0,0.0,195967.4375941678,511.7705293139087,4141.07673,195967.4375941678,0.0,0.0,0.0,297.1802645657514,214.59026474815727,0,0.0,4141.07673,0.0,0.0,0.0,0.0,0.0,202652.15275748176,-157887.78834894273,44764.36440853886,0.0,42391.8530948863,29089.26784547903,29089.26784547903,239.92568581507098,typical
Anhui,2048,2050-12-12_04:00,0.0,0.0,2031.867904,0,0.0,167851.0310702269,823.3750232871956,4398.912848399999,167851.0310702269,0.0,0.0,0.0,578.0055811594593,245.36944212773625,0,0.0,4398.912848399999,0.0,0.0,0.0,0.0,5.684341886080801e-13,175105.18684591414,-136715.50166517205,38389.68518074203,0.0,36355.0318661627,113253.50843501277,113253.5084350128,239.92568581507098,typical
