generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Anhui-EP_Coal_600_RC-ep-1158,existing.1158,EP_Coal_600_RC,Anhui,Coal,2038,3661.6799999999994,14532371.036376115,2773625.9316479997,660.0,25276452.299623393,9180085.861358956,13.378806776495615,0.6333333333333332,,
Anhui-EP_Coal_600_RC-ep-1158,existing.1158,EP_Coal_600_RC,Anhui,Coal,2048,0.0,0.0,0.0,0.0,25276452.299623393,0.0,0.0,0.0,,
Anhui-EP_Coal_600_RC-ep-1159,existing.1159,EP_Coal_600_RC,Anhui,Coal,2038,3661.6799999999994,14532371.036376115,2773625.9316479997,660.0,25276452.299623393,9180085.861358956,13.378806776495615,0.6333333333333332,,
Anhui-EP_Coal_600_RC-ep-1159,existing.1159,EP_Coal_600_RC,Anhui,Coal,2048,0.0,0.0,0.0,0.0,25276452.299623393,0.0,0.0,0.0,,
Anhui-EP_Coal_600_RC-ep-1160,existing.1160,EP_Coal_600_RC,Anhui,Coal,2038,3661.6799999999994,14532371.036376115,2773625.9316479997,660.0,25276452.299623393,9180085.861358956,13.378806776495615,0.6333333333333332,,
Anhui-EP_Coal_600_RC-ep-1160,existing.1160,EP_Coal_600_RC,Anhui,Coal,2048,0.0,0.0,0.0,0.0,25276452.299623393,0.0,0.0,0.0,,
Anhui-EP_Coal_600_RC-ep-1161,existing.1161,EP_Coal_600_RC,Anhui,Coal,2038,3661.6799999999994,14532371.036376115,2773625.9316479997,660.0,25276452.299623393,9180085.861358956,13.378806776495615,0.6333333333333332,,
Anhui-EP_Coal_600_RC-ep-1161,existing.1161,EP_Coal_600_RC,Anhui,Coal,2048,0.0,0.0,0.0,0.0,25276452.299623393,0.0,0.0,0.0,,
Anhui-EP_Coal_600_RC-ep-1162,existing.1162,EP_Coal_600_RC,Anhui,Coal,2038,3661.6799999999994,14532371.036376115,2773625.9316479997,660.0,25276452.299623393,9180085.861358956,13.378806776495615,0.6333333333333332,,
Anhui-EP_Coal_600_RC-ep-1162,existing.1162,EP_Coal_600_RC,Anhui,Coal,2048,0.0,0.0,0.0,0.0,25276452.299623393,0.0,0.0,0.0,,
Anhui-EP_Coal_600_RC-ep-1163,existing.1163,EP_Coal_600_RC,Anhui,Coal,2038,3661.6799999999994,14532371.036376115,2773625.9316479997,660.0,25276452.299623393,9180085.861358956,13.378806776495615,0.6333333333333332,,
Anhui-EP_Coal_600_RC-ep-1163,existing.1163,EP_Coal_600_RC,Anhui,Coal,2048,0.0,0.0,0.0,0.0,25276452.299623393,0.0,0.0,0.0,,
Anhui-EP_Coal_600_RC-ep-1164,existing.1164,EP_Coal_600_RC,Anhui,Coal,2038,3661.6799999999994,14532371.036376115,2773625.9316479997,660.0,25276452.299623393,9180085.861358956,13.378806776495615,0.6333333333333332,,
Anhui-EP_Coal_600_RC-ep-1164,existing.1164,EP_Coal_600_RC,Anhui,Coal,2048,0.0,0.0,0.0,0.0,25276452.299623393,0.0,0.0,0.0,,
Anhui-EP_Coal_600_RC-ep-1165,existing.1165,EP_Coal_600_RC,Anhui,Coal,2038,3661.6799999999994,14532371.036376115,2773625.9316479997,660.0,25276452.299623393,9180085.861358956,13.378806776495615,0.6333333333333332,,
Anhui-EP_Coal_600_RC-ep-1165,existing.1165,EP_Coal_600_RC,Anhui,Coal,2048,0.0,0.0,0.0,0.0,25276452.299623393,0.0,0.0,0.0,,
Anhui-EP_Coal_600_RC-ep-1166,existing.1166,EP_Coal_600_RC,Anhui,Coal,2038,3661.6799999999994,14532371.036376115,2773625.9316479997,660.0,25276452.299623393,9180085.861358956,13.378806776495615,0.6333333333333332,,
Anhui-EP_Coal_600_RC-ep-1166,existing.1166,EP_Coal_600_RC,Anhui,Coal,2048,0.0,0.0,0.0,0.0,25276452.299623393,0.0,0.0,0.0,,
