GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,SuspendGen_total,GenStorageCapacity,GenCapitalRecovery,GenFixedOMCosts
Anhui-EP_Coal_300_OT-ep-1220,2048,EP_Coal_300_OT,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_OT-ep-1221,2038,EP_Coal_300_OT,Anhui,Coal,320,0,.,1.42542e+07,5.11643e+06
Anhui-EP_Coal_300_OT-ep-1221,2048,EP_Coal_300_OT,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_RC-ep-1200,2038,EP_Coal_300_RC,Anhui,Coal,350,0,.,1.55905e+07,5.5961e+06
Anhui-EP_Coal_300_RC-ep-1200,2048,EP_Coal_300_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_RC-ep-1201,2038,EP_Coal_300_RC,Anhui,Coal,350,0,.,1.55905e+07,5.5961e+06
Anhui-EP_Coal_300_RC-ep-1201,2048,EP_Coal_300_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_RC-ep-1202,2038,EP_Coal_300_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_RC-ep-1202,2048,EP_Coal_300_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_RC-ep-1203,2038,EP_Coal_300_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_RC-ep-1203,2048,EP_Coal_300_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_RC-ep-1204,2038,EP_Coal_300_RC,Anhui,Coal,330,0,.,1.46996e+07,5.27632e+06
Anhui-EP_Coal_300_RC-ep-1204,2048,EP_Coal_300_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_RC-ep-1205,2038,EP_Coal_300_RC,Anhui,Coal,330,0,.,1.46996e+07,5.27632e+06
Anhui-EP_Coal_300_RC-ep-1205,2048,EP_Coal_300_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_RC-ep-1210,2038,EP_Coal_300_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_RC-ep-1210,2048,EP_Coal_300_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_RC-ep-1211,2038,EP_Coal_300_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_RC-ep-1211,2048,EP_Coal_300_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_RC-ep-1212,2038,EP_Coal_300_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_RC-ep-1212,2048,EP_Coal_300_RC,Anhui,Coal,0,0,.,0,0
