load_zone,technology,period,capacity
Shanghai,Commercial_PV,2048,2200.0
Shanghai,EP_Coal_1000_OT,2038,3800.0
Shanghai,EP_Coal_1000_OT,2048,0
Shanghai,EP_Coal_1000_RC,2038,0.0
Shanghai,EP_Coal_1000_RC,2048,0.0
Shanghai,EP_Coal_1000_SEA,2038,2000.0
Shanghai,EP_Coal_1000_SEA,2048,2000.0
Shanghai,EP_Coal_300_OT,2038,950.0
Shanghai,EP_Coal_300_OT,2048,0
Shanghai,EP_Coal_300_RC,2038,0.0
Shanghai,EP_Coal_300_RC,2048,0.0
Shanghai,EP_Coal_300_SEA,2038,0.0
Shanghai,EP_Coal_300_SEA,2048,0.0
Shanghai,EP_Coal_600_OT,2038,1320.0
Shanghai,EP_Coal_600_OT,2048,1320.0
Shanghai,EP_Coal_600_RC,2038,1200.0
Shanghai,EP_Coal_600_RC,2048,0
Shanghai,EP_Coal_600_SEA,2038,0.0
Shanghai,EP_Coal_600_SEA,2048,0.0
Shanghai,EP_Gas_CCGT_OT,2038,0
Shanghai,EP_Gas_CCGT_OT,2048,0
Shanghai,EP_Gas_CCGT_RC,2038,0
Shanghai,EP_Gas_CCGT_RC,2048,0
Shanghai,EP_Gas_CCGT_SEA,2038,0
Shanghai,EP_Gas_CCGT_SEA,2048,0
Shanghai,Gas_CCGT_OT,2038,420.7051071512516
Shanghai,Gas_CCGT_OT,2048,420.7051071512516
Shanghai,Gas_CCGT_RC,2038,0.0
Shanghai,Gas_CCGT_RC,2048,0.0
Shanghai,Gas_CCGT_SEA,2038,0.0
Shanghai,Gas_CCGT_SEA,2048,0.0
Shanghai,Gas_Combustion_Turbine_RC,2038,0.0
Shanghai,Gas_Combustion_Turbine_RC,2048,0.0
Shanghai,Hydro_NonPumped,2038,0.0
Shanghai,Hydro_NonPumped,2048,0.0
Shanghai,Hydro_Pumped,2038,0.0
Shanghai,Hydro_Pumped,2048,0.0
Shanghai,Hydro_Pumped_MWh,2038,0.0
Shanghai,Hydro_Pumped_MWh,2048,0.0
Shanghai,Nuclear_EP_SEA,2038,0.0
Shanghai,Nuclear_EP_SEA,2048,0.0
Shanghai,Nuclear_SEA,2038,0.0
Shanghai,Nuclear_SEA,2048,0.0
Shanghai,Nuclear_SMR,2038,0.0
Shanghai,Nuclear_SMR,2048,0.0
Shanghai,Offshore_Wind,2038,0.0
Shanghai,Offshore_Wind,2048,0.0
Shanghai,Residential_PV,2038,3000.0
Shanghai,Residential_PV,2048,3000.0
Shanghai,Wind,2038,0.0
Shanghai,Wind,2048,0.0
Shanghai,Wind_EP,2038,671.9
Shanghai,Wind_EP,2048,0
Shanghai,hydro,2038,0.0
Shanghai,hydro,2048,0.0
Shanghai,fuel cells,2038,0.0
Shanghai,fuel cells,2048,0.0
Zhejiang,Battery_Storage,2038,40231.75494876607
Zhejiang,Battery_Storage,2048,71422.71207040478
Zhejiang,Battery_Storage_MWh,2038,241390.5296925964
Zhejiang,Battery_Storage_MWh,2048,428536.2724224287
Zhejiang,Central_PV,2038,120000.0
Zhejiang,Central_PV,2048,120000.0
Zhejiang,Central_PV_EP,2038,8137.0
Zhejiang,Central_PV_EP,2048,0
Zhejiang,Coal_1000_OT,2038,6837.424384227522
Zhejiang,Coal_1000_OT,2048,6837.424384227522
Zhejiang,Coal_1000_RC,2038,0.0
Zhejiang,Coal_1000_RC,2048,0.0
Zhejiang,Coal_1000_SEA,2038,0.0
Zhejiang,Coal_1000_SEA,2048,0.0
Zhejiang,Coal_100_OT,2038,0
Zhejiang,Coal_100_OT,2048,0
Zhejiang,Coal_100_RC,2038,0
Zhejiang,Coal_100_RC,2048,0
Zhejiang,Coal_100_SEA,2038,0
Zhejiang,Coal_100_SEA,2048,0
Zhejiang,Coal_300_OT,2038,0.0
Zhejiang,Coal_300_OT,2048,0.0
Zhejiang,Coal_300_RC,2038,0.0
Zhejiang,Coal_300_RC,2048,0.0
Zhejiang,Coal_300_SEA,2038,0.0
Zhejiang,Coal_300_SEA,2048,0.0
Zhejiang,Coal_600_OT,2038,0.0
Zhejiang,Coal_600_OT,2048,0.0
Zhejiang,Coal_600_RC,2038,0.0
Zhejiang,Coal_600_RC,2048,0.0
Zhejiang,Coal_600_SEA,2038,0.0
Zhejiang,Coal_600_SEA,2048,0.0
