STORAGE_GEN_TPS_1,STORAGE_GEN_TPS_2,StateOfCharge
Fujian-Battery_Storage-11178,2050.12.12.00,0.0
Fujian-Battery_Storage-11178,2050.12.12.04,-0.0
Fujian-Battery_Storage-11178,2050.12.12.08,-0.0
Fujian-Battery_Storage-11178,2050.12.12.12,132719.3808592574
Fujian-Battery_Storage-11178,2050.12.12.16,132719.3808592574
Fujian-Battery_Storage-11178,2050.12.12.20,56679.93104214825
Fujian-Hydro_Pumped-ep-35041,2040.06.26.00,1200.842067354892
Fujian-Hydro_Pumped-ep-35041,2040.06.26.04,0.0
Fujian-Hydro_Pumped-ep-35041,2040.06.26.08,1806.896
Fujian-Hydro_Pumped-ep-35041,2040.06.26.12,2827.611757251658
Fujian-Hydro_Pumped-ep-35041,2040.06.26.16,3602.526202064676
Fujian-Hydro_Pumped-ep-35041,2040.06.26.20,2401.684134709784
Fujian-Hydro_Pumped-ep-35041,2040.12.19.00,561.149404487044
Fujian-Hydro_Pumped-ep-35041,2040.12.19.04,280.574702243522
Fujian-Hydro_Pumped-ep-35041,2040.12.19.08,0.0
Fujian-Hydro_Pumped-ep-35041,2040.12.19.12,1546.952412369689
Fujian-Hydro_Pumped-ep-35041,2040.12.19.16,1266.377710126167
Fujian-Hydro_Pumped-ep-35041,2040.12.19.20,841.724106730566
Fujian-Hydro_Pumped-ep-35041,2050.06.12.00,1200.842067354892
Fujian-Hydro_Pumped-ep-35041,2050.06.12.04,0.0
Fujian-Hydro_Pumped-ep-35041,2050.06.12.08,1020.715757251658
Fujian-Hydro_Pumped-ep-35041,2050.06.12.12,2041.431514503316
Fujian-Hydro_Pumped-ep-35041,2050.06.12.16,1380.968377458126
Fujian-Hydro_Pumped-ep-35041,2050.06.12.20,180.1263101032341
Fujian-Hydro_Pumped-ep-35041,2050.12.12.00,561.149404487044
Fujian-Hydro_Pumped-ep-35041,2050.12.12.04,280.574702243522
Fujian-Hydro_Pumped-ep-35041,2050.12.12.08,0.0
Fujian-Hydro_Pumped-ep-35041,2050.12.12.12,1546.952412369689
Fujian-Hydro_Pumped-ep-35041,2050.12.12.16,1266.377710126167
Fujian-Hydro_Pumped-ep-35041,2050.12.12.20,841.724106730566
Jiangsu-Battery_Storage-11179,2040.06.26.00,0.0
Jiangsu-Battery_Storage-11179,2040.06.26.04,-0.0
Jiangsu-Battery_Storage-11179,2040.06.26.08,-0.0
Jiangsu-Battery_Storage-11179,2040.06.26.12,-0.0
Jiangsu-Battery_Storage-11179,2040.06.26.16,-0.0
Jiangsu-Battery_Storage-11179,2040.06.26.20,-0.0
Jiangsu-Battery_Storage-11179,2040.12.19.00,-0.0
Jiangsu-Battery_Storage-11179,2040.12.19.04,0.0
Jiangsu-Battery_Storage-11179,2040.12.19.08,43840.76009908507
Jiangsu-Battery_Storage-11179,2040.12.19.12,180946.091575568
Jiangsu-Battery_Storage-11179,2040.12.19.16,2190.770224221279
Jiangsu-Battery_Storage-11179,2040.12.19.20,-0.0
Jiangsu-Battery_Storage-11179,2050.06.12.00,-0.0
Jiangsu-Battery_Storage-11179,2050.06.12.04,0.0
Jiangsu-Battery_Storage-11179,2050.06.12.08,172931.0306543839
Jiangsu-Battery_Storage-11179,2050.06.12.12,267321.2829635018
Jiangsu-Battery_Storage-11179,2050.06.12.16,357615.2634013548
Jiangsu-Battery_Storage-11179,2050.06.12.20,357615.2634013548
Jiangsu-Battery_Storage-11179,2050.12.12.00,-0.0
Jiangsu-Battery_Storage-11179,2050.12.12.04,-0.0
Jiangsu-Battery_Storage-11179,2050.12.12.08,83324.35637251567
Jiangsu-Battery_Storage-11179,2050.12.12.12,357615.2634013548
Jiangsu-Battery_Storage-11179,2050.12.12.16,0.0
Jiangsu-Battery_Storage-11179,2050.12.12.20,-0.0
Jiangsu-Hydro_Pumped-ep-35005,2040.06.26.00,937.171843092784
Jiangsu-Hydro_Pumped-ep-35005,2040.06.26.04,0.0
Jiangsu-Hydro_Pumped-ep-35005,2040.06.26.08,796.5960666288663
Jiangsu-Hydro_Pumped-ep-35005,2040.06.26.12,1593.192133257733
Jiangsu-Hydro_Pumped-ep-35005,2040.06.26.16,2389.788199886599
Jiangsu-Hydro_Pumped-ep-35005,2040.06.26.20,1452.616356793815
Jiangsu-Hydro_Pumped-ep-35005,2040.12.19.00,438.1205836015832
Jiangsu-Hydro_Pumped-ep-35005,2040.12.19.04,219.0602918007916
Jiangsu-Hydro_Pumped-ep-35005,2040.12.19.08,0.0
Jiangsu-Hydro_Pumped-ep-35005,2040.12.19.12,1207.79187911788
Jiangsu-Hydro_Pumped-ep-35005,2040.12.19.16,876.2411672031664
Jiangsu-Hydro_Pumped-ep-35005,2040.12.19.20,657.1808754023748
Jiangsu-Hydro_Pumped-ep-35005,2050.06.12.00,937.171843092784
Jiangsu-Hydro_Pumped-ep-35005,2050.06.12.04,0.0
Jiangsu-Hydro_Pumped-ep-35005,2050.06.12.08,796.5960666288663
Jiangsu-Hydro_Pumped-ep-35005,2050.06.12.12,1593.192133257733
Jiangsu-Hydro_Pumped-ep-35005,2050.06.12.16,2389.788199886599
Jiangsu-Hydro_Pumped-ep-35005,2050.06.12.20,1452.616356793815
Jiangsu-Hydro_Pumped-ep-35005,2050.12.12.00,438.1205836015832
Jiangsu-Hydro_Pumped-ep-35005,2050.12.12.04,219.0602918007916
Jiangsu-Hydro_Pumped-ep-35005,2050.12.12.08,0.0
Jiangsu-Hydro_Pumped-ep-35005,2050.12.12.12,1207.79187911788
Jiangsu-Hydro_Pumped-ep-35005,2050.12.12.16,876.2411672031664
Jiangsu-Hydro_Pumped-ep-35005,2050.12.12.20,657.1808754023748
Jiangsu-Hydro_Pumped-ep-35022,2040.06.26.00,85.7901723812508
Jiangsu-Hydro_Pumped-ep-35022,2040.06.26.04,0.0
Jiangsu-Hydro_Pumped-ep-35022,2040.06.26.08,72.92164652406318
Jiangsu-Hydro_Pumped-ep-35022,2040.06.26.12,145.8432930481264
Jiangsu-Hydro_Pumped-ep-35022,2040.06.26.16,218.7649395721895
Jiangsu-Hydro_Pumped-ep-35022,2040.06.26.20,132.9747671909387
Jiangsu-Hydro_Pumped-ep-35022,2040.12.19.00,40.1062416332464
Jiangsu-Hydro_Pumped-ep-35022,2040.12.19.04,20.0531208166232
Jiangsu-Hydro_Pumped-ep-35022,2040.12.19.08,0.0
Jiangsu-Hydro_Pumped-ep-35022,2040.12.19.12,110.5631526105712
Jiangsu-Hydro_Pumped-ep-35022,2040.12.19.16,80.2124832664928
Jiangsu-Hydro_Pumped-ep-35022,2040.12.19.20,60.1593624498696
Jiangsu-Hydro_Pumped-ep-35022,2050.06.12.00,85.7901723812508
Jiangsu-Hydro_Pumped-ep-35022,2050.06.12.04,0.0
Jiangsu-Hydro_Pumped-ep-35022,2050.06.12.08,72.92164652406318
Jiangsu-Hydro_Pumped-ep-35022,2050.06.12.12,145.8432930481264
Jiangsu-Hydro_Pumped-ep-35022,2050.06.12.16,218.7649395721895
Jiangsu-Hydro_Pumped-ep-35022,2050.06.12.20,132.9747671909387
Jiangsu-Hydro_Pumped-ep-35022,2050.12.12.00,40.1062416332464
Jiangsu-Hydro_Pumped-ep-35022,2050.12.12.04,20.0531208166232
Jiangsu-Hydro_Pumped-ep-35022,2050.12.12.08,0.0
Jiangsu-Hydro_Pumped-ep-35022,2050.12.12.12,110.5631526105712
Jiangsu-Hydro_Pumped-ep-35022,2050.12.12.16,80.2124832664928
Jiangsu-Hydro_Pumped-ep-35022,2050.12.12.20,60.1593624498696
Jiangsu-Hydro_Pumped-ep-35028,2040.06.26.00,857.901723812508
Jiangsu-Hydro_Pumped-ep-35028,2040.06.26.04,0.0
Jiangsu-Hydro_Pumped-ep-35028,2040.06.26.08,729.2164652406318
Jiangsu-Hydro_Pumped-ep-35028,2040.06.26.12,1458.432930481264
Jiangsu-Hydro_Pumped-ep-35028,2040.06.26.16,2187.649395721895
Jiangsu-Hydro_Pumped-ep-35028,2040.06.26.20,1329.747671909387
Jiangsu-Hydro_Pumped-ep-35028,2040.12.19.00,401.062416332464
Jiangsu-Hydro_Pumped-ep-35028,2040.12.19.04,200.531208166232
Jiangsu-Hydro_Pumped-ep-35028,2040.12.19.08,0.0
Jiangsu-Hydro_Pumped-ep-35028,2040.12.19.12,1105.631526105712
Jiangsu-Hydro_Pumped-ep-35028,2040.12.19.16,802.124832664928
Jiangsu-Hydro_Pumped-ep-35028,2040.12.19.20,601.593624498696
Jiangsu-Hydro_Pumped-ep-35028,2050.06.12.00,857.901723812508
Jiangsu-Hydro_Pumped-ep-35028,2050.06.12.04,0.0
