generation_project,timestamp,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,tp_weight_in_year_hrs,period,DispatchGen_MW,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,ChargeStorage_MW,Store_GWh_typical_yr,Discharge_GWh_typical_yr,is_storage
Anhui-Central_PV-401,2050-06-12_20:00,new.401,Central_PV,Anhui,Solar,724.0,2048,-0.0,-0.0,-0.0,0.0,537517.2815521394,22037063242.114513,7919270972.140021,,,,False
Anhui-Central_PV-401,2050-12-12_00:00,new.401,Central_PV,Anhui,Solar,736.0,2048,-0.0,-0.0,-0.0,0.0,537517.2815521394,22037063242.114513,7919270972.140021,,,,False
Anhui-Central_PV-401,2050-12-12_04:00,new.401,Central_PV,Anhui,Solar,736.0,2048,-0.0,-0.0,-0.0,0.0,537517.2815521394,22037063242.114513,7919270972.140021,,,,False
Anhui-Central_PV-401,2050-12-12_08:00,new.401,Central_PV,Anhui,Solar,736.0,2048,130045.5873055207,95713.55225686324,0.0,0.0,537517.2815521394,22037063242.114513,7919270972.140021,,,,False
Anhui-Central_PV-401,2050-12-12_12:00,new.401,Central_PV,Anhui,Solar,736.0,2048,227037.0761489286,167099.28804561147,0.0,0.0,537517.2815521394,22037063242.114513,7919270972.140021,,,,False
Anhui-Central_PV-401,2050-12-12_16:00,new.401,Central_PV,Anhui,Solar,736.0,2048,23326.34613315159,17168.19075399957,0.0,0.0,537517.2815521394,22037063242.114513,7919270972.140021,,,,False
Anhui-Central_PV-401,2050-12-12_20:00,new.401,Central_PV,Anhui,Solar,736.0,2048,-0.0,-0.0,-0.0,0.0,537517.2815521394,22037063242.114513,7919270972.140021,,,,False
Anhui-Central_PV-402,2040-06-26_00:00,new.402,Central_PV,Anhui,Solar,724.0,2038,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-402,2040-06-26_04:00,new.402,Central_PV,Anhui,Solar,724.0,2038,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-402,2040-06-26_08:00,new.402,Central_PV,Anhui,Solar,724.0,2038,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-402,2040-06-26_12:00,new.402,Central_PV,Anhui,Solar,724.0,2038,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-402,2040-06-26_16:00,new.402,Central_PV,Anhui,Solar,724.0,2038,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-402,2040-06-26_20:00,new.402,Central_PV,Anhui,Solar,724.0,2038,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-402,2040-12-19_00:00,new.402,Central_PV,Anhui,Solar,736.0,2038,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-402,2040-12-19_04:00,new.402,Central_PV,Anhui,Solar,736.0,2038,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-402,2040-12-19_08:00,new.402,Central_PV,Anhui,Solar,736.0,2038,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-402,2040-12-19_12:00,new.402,Central_PV,Anhui,Solar,736.0,2038,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
