generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Anhui-EP_Coal_1000_OT-ep-3093,existing.3093,EP_Coal_1000_OT,Anhui,Coal,2038,8322.0,33028115.991763905,6089067.590399999,1000.0,38922129.22857227,14136763.898421414,10.344509627344099,0.95,,
Anhui-EP_Coal_1000_OT-ep-3093,existing.3093,EP_Coal_1000_OT,Anhui,Coal,2048,6258.599999999999,24838952.985586822,4579312.475519999,1000.0,38922129.22857227,14136763.898421414,12.446528954171942,0.7144520547945205,,
Anhui-EP_Coal_1000_RC-ep-1152,existing.1152,EP_Coal_1000_RC,Anhui,Coal,2038,8738.099999999999,34679521.79135209,6393520.969919998,1050.0,40868235.690000884,14843602.093342485,10.3445096273441,0.9499999999999997,,
Anhui-EP_Coal_1000_RC-ep-1152,existing.1152,EP_Coal_1000_RC,Anhui,Coal,2048,6571.529999999999,26080900.634866163,4808278.099296,1050.0,40868235.690000884,14843602.093342485,12.44652895417194,0.7144520547945205,,
Anhui-EP_Coal_1000_RC-ep-1153,existing.1153,EP_Coal_1000_RC,Anhui,Coal,2038,8322.0,33028115.991763905,6089067.590399999,1000.0,38922129.22857227,14136763.898421414,10.344509627344099,0.95,,
Anhui-EP_Coal_1000_RC-ep-1153,existing.1153,EP_Coal_1000_RC,Anhui,Coal,2048,6258.599999999999,24838952.985586822,4579312.475519999,1000.0,38922129.22857227,14136763.898421414,12.446528954171942,0.7144520547945205,,
Anhui-EP_Coal_1000_RC-ep-1154,existing.1154,EP_Coal_1000_RC,Anhui,Coal,2038,8322.0,33028115.991763905,6089067.590399999,1000.0,38922129.22857227,14136763.898421414,10.344509627344099,0.95,,
Anhui-EP_Coal_1000_RC-ep-1154,existing.1154,EP_Coal_1000_RC,Anhui,Coal,2048,6258.599999999999,24838952.985586822,4579312.475519999,1000.0,38922129.22857227,14136763.898421414,12.446528954171942,0.7144520547945205,,
Anhui-EP_Coal_1000_RC-ep-1155,existing.1155,EP_Coal_1000_RC,Anhui,Coal,2038,8322.0,33028115.991763905,6089067.590399999,1000.0,38922129.22857227,14136763.898421414,10.344509627344099,0.95,,
Anhui-EP_Coal_1000_RC-ep-1155,existing.1155,EP_Coal_1000_RC,Anhui,Coal,2048,6258.599999999999,24838952.985586822,4579312.475519999,1000.0,38922129.22857227,14136763.898421414,12.446528954171942,0.7144520547945205,,
Anhui-EP_Coal_1000_RC-ep-1156,existing.1156,EP_Coal_1000_RC,Anhui,Coal,2038,8322.0,33028115.991763905,6089067.590399999,1000.0,38922129.22857227,14136763.898421414,10.344509627344099,0.95,,
Anhui-EP_Coal_1000_RC-ep-1156,existing.1156,EP_Coal_1000_RC,Anhui,Coal,2048,6258.599999999999,24838952.985586822,4579312.475519999,1000.0,38922129.22857227,14136763.898421414,12.446528954171942,0.7144520547945205,,
Anhui-EP_Coal_1000_RC-ep-3094,existing.3094,EP_Coal_1000_RC,Anhui,Coal,2038,8322.0,33028115.991763905,6089067.590399999,1000.0,38922129.22857227,14136763.898421414,10.344509627344099,0.95,,
Anhui-EP_Coal_1000_RC-ep-3094,existing.3094,EP_Coal_1000_RC,Anhui,Coal,2048,6258.599999999999,24838952.985586822,4579312.475519999,1000.0,38922129.22857227,14136763.898421414,12.446528954171942,0.7144520547945205,,
Anhui-EP_Coal_1000_RC-ep-3095,existing.3095,EP_Coal_1000_RC,Anhui,Coal,2038,8322.0,33028115.991763905,6089067.590399999,1000.0,38922129.22857227,14136763.898421414,10.344509627344099,0.95,,
Anhui-EP_Coal_1000_RC-ep-3095,existing.3095,EP_Coal_1000_RC,Anhui,Coal,2048,6258.599999999999,24838952.985586822,4579312.475519999,1000.0,38922129.22857227,14136763.898421414,12.446528954171942,0.7144520547945205,,
Anhui-EP_Coal_1000_RC-ep-3096,existing.3096,EP_Coal_1000_RC,Anhui,Coal,2038,8322.0,33028115.991763905,6089067.590399999,1000.0,38922129.22857227,14136763.898421414,10.344509627344099,0.95,,
Anhui-EP_Coal_1000_RC-ep-3096,existing.3096,EP_Coal_1000_RC,Anhui,Coal,2048,6258.599999999999,24838952.985586822,4579312.475519999,1000.0,38922129.22857227,14136763.898421414,12.446528954171942,0.7144520547945205,,
Anhui-EP_Coal_300_OT-ep-1206,existing.1206,EP_Coal_300_OT,Anhui,Coal,2038,2292.3119999999994,9097662.41592313,1867742.8083072002,330.0,14699594.273582332,5276322.8894989705,12.683081351493357,0.7929680365296802,,
Anhui-EP_Coal_300_OT-ep-1207,existing.1207,EP_Coal_300_OT,Anhui,Coal,2038,2292.3119999999994,9097662.41592313,1867742.8083072002,330.0,14699594.273582332,5276322.8894989705,12.683081351493357,0.7929680365296802,,
Anhui-EP_Coal_300_OT-ep-1218,existing.1218,EP_Coal_300_OT,Anhui,Coal,2038,2222.848,8821975.676046671,1811144.5413888001,320.0,14254152.022867715,5116434.317089911,12.683081351493351,0.7929680365296804,,
Anhui-EP_Coal_300_OT-ep-1219,existing.1219,EP_Coal_300_OT,Anhui,Coal,2038,2222.848,8821975.676046671,1811144.5413888001,320.0,14254152.022867715,5116434.317089911,12.683081351493351,0.7929680365296804,,
Anhui-EP_Coal_300_OT-ep-1220,existing.1220,EP_Coal_300_OT,Anhui,Coal,2038,2222.848,8821975.676046671,1811144.5413888001,320.0,14254152.022867715,5116434.317089911,12.683081351493351,0.7929680365296804,,
Anhui-EP_Coal_300_OT-ep-1221,existing.1221,EP_Coal_300_OT,Anhui,Coal,2038,2222.848,8821975.676046671,1811144.5413888001,320.0,14254152.022867715,5116434.317089911,12.683081351493351,0.7929680365296804,,
Anhui-EP_Coal_300_RC-ep-1200,existing.1200,EP_Coal_300_RC,Anhui,Coal,2038,2431.24,9649035.895676045,1980939.3421439999,350.0,15590478.775011564,5596100.03431709,12.683081351493353,0.7929680365296804,,
Anhui-EP_Coal_300_RC-ep-1201,existing.1201,EP_Coal_300_RC,Anhui,Coal,2038,2431.24,9649035.895676045,1980939.3421439999,350.0,15590478.775011564,5596100.03431709,12.683081351493353,0.7929680365296804,,
Anhui-EP_Coal_300_RC-ep-1204,existing.1204,EP_Coal_300_RC,Anhui,Coal,2038,2292.3119999999994,9097662.41592313,1867742.8083072002,330.0,14699594.273582332,5276322.8894989705,12.683081351493357,0.7929680365296802,,
Anhui-EP_Coal_300_RC-ep-1205,existing.1205,EP_Coal_300_RC,Anhui,Coal,2038,2292.3119999999994,9097662.41592313,1867742.8083072002,330.0,14699594.273582332,5276322.8894989705,12.683081351493357,0.7929680365296802,,
Anhui-EP_Coal_300_RC-ep-1214,existing.1214,EP_Coal_300_RC,Anhui,Coal,2038,2222.848,8821975.676046671,1811144.5413888001,320.0,14254152.022867715,5116434.317089911,12.683081351493351,0.7929680365296804,,
Anhui-EP_Coal_300_RC-ep-1215,existing.1215,EP_Coal_300_RC,Anhui,Coal,2038,2222.848,8821975.676046671,1811144.5413888001,320.0,14254152.022867715,5116434.317089911,12.683081351493351,0.7929680365296804,,
Anhui-EP_Coal_300_RC-ep-1222,existing.1222,EP_Coal_300_RC,Anhui,Coal,2038,2083.92,8270602.196293753,1697948.0075519998,300.0,13363267.521438483,4796657.172271791,12.683081351493353,0.7929680365296804,,
Anhui-EP_Coal_300_RC-ep-1224,existing.1224,EP_Coal_300_RC,Anhui,Coal,2038,2083.92,8270602.196293753,1697948.0075519998,300.0,13363267.521438483,4796657.172271791,12.683081351493353,0.7929680365296804,,
Anhui-EP_Coal_300_RC-ep-1225,existing.1225,EP_Coal_300_RC,Anhui,Coal,2038,2083.92,8270602.196293753,1697948.0075519998,300.0,13363267.521438483,4796657.172271791,12.683081351493353,0.7929680365296804,,
Anhui-EP_Coal_300_RC-ep-1228,existing.1228,EP_Coal_300_RC,Anhui,Coal,2038,2083.92,8270602.196293753,1697948.0075519998,300.0,13363267.521438483,4796657.172271791,12.683081351493353,0.7929680365296804,,
Anhui-EP_Coal_300_RC-ep-1229,existing.1229,EP_Coal_300_RC,Anhui,Coal,2038,2083.92,8270602.196293753,1697948.0075519998,300.0,13363267.521438483,4796657.172271791,12.683081351493353,0.7929680365296804,,
Anhui-EP_Coal_600_OT-ep-1168,existing.1168,EP_Coal_600_OT,Anhui,Coal,2038,5492.519999999999,21798556.554564167,4160438.8974719997,660.0,22597700.48118048,8207419.354838708,9.577329967043061,0.9499999999999998,,
Anhui-EP_Coal_600_OT-ep-1169,existing.1169,EP_Coal_600_OT,Anhui,Coal,2038,5492.519999999999,21798556.554564167,4160438.8974719997,660.0,22597700.48118048,8207419.354838708,9.577329967043061,0.9499999999999998,,
Anhui-EP_Coal_600_OT-ep-1170,existing.1170,EP_Coal_600_OT,Anhui,Coal,2038,5492.519999999999,21798556.554564167,4160438.8974719997,660.0,22597700.48118048,8207419.354838708,9.577329967043061,0.9499999999999998,,
Anhui-EP_Coal_600_OT-ep-1171,existing.1171,EP_Coal_600_OT,Anhui,Coal,2038,5492.519999999999,21798556.554564167,4160438.8974719997,660.0,22597700.48118048,8207419.354838708,9.577329967043061,0.9499999999999998,,
Anhui-EP_Coal_600_OT-ep-1172,existing.1172,EP_Coal_600_OT,Anhui,Coal,2038,5492.519999999999,21798556.554564167,4160438.8974719997,660.0,22597700.48118048,8207419.354838708,9.577329967043061,0.9499999999999998,,
Anhui-EP_Coal_600_OT-ep-1172,existing.1172,EP_Coal_600_OT,Anhui,Coal,2048,4130.675999999999,16393708.970487302,3128878.0201536,660.0,22597700.48118048,8207419.354838708,11.426417566157816,0.7144520547945203,,
Anhui-EP_Coal_600_OT-ep-1173,existing.1173,EP_Coal_600_OT,Anhui,Coal,2038,5492.519999999999,21798556.554564167,4160438.8974719997,660.0,22597700.48118048,8207419.354838708,9.577329967043061,0.9499999999999998,,
Anhui-EP_Coal_600_OT-ep-1173,existing.1173,EP_Coal_600_OT,Anhui,Coal,2048,4130.675999999999,16393708.970487302,3128878.0201536,660.0,22597700.48118048,8207419.354838708,11.426417566157816,0.7144520547945203,,
Anhui-EP_Coal_600_OT-ep-1174,existing.1174,EP_Coal_600_OT,Anhui,Coal,2038,5492.519999999999,21798556.554564167,4160438.8974719997,660.0,22597700.48118048,8207419.354838708,9.577329967043061,0.9499999999999998,,
Anhui-EP_Coal_600_OT-ep-1174,existing.1174,EP_Coal_600_OT,Anhui,Coal,2048,4130.675999999999,16393708.970487302,3128878.0201536,660.0,22597700.48118048,8207419.354838708,11.426417566157816,0.7144520547945203,,
Anhui-EP_Coal_600_OT-ep-1175,existing.1175,EP_Coal_600_OT,Anhui,Coal,2038,5492.519999999999,21798556.554564167,4160438.8974719997,660.0,22597700.48118048,8207419.354838708,9.577329967043061,0.9499999999999998,,
Anhui-EP_Coal_600_OT-ep-1175,existing.1175,EP_Coal_600_OT,Anhui,Coal,2048,4130.675999999999,16393708.970487302,3128878.0201536,660.0,22597700.48118048,8207419.354838708,11.426417566157816,0.7144520547945203,,
