gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Coal_1000_OT,Anhui,Coal,2038,1207718.2391295854,7988596108.17528,909046620.0690655,152287.6192350261,5599176406.90734,1016189048.2943627,12.092192607691512,0.9053091747616077,0.0,0.0
Coal_1000_OT,Anhui,Coal,2048,841254.3433509408,5564577030.916056,633210125.229829,159904.766333342,5879236930.113837,1067016958.6618491,14.871639021627823,0.6005674692582592,0.0,0.0
Coal_1000_OT,Fujian,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_OT,Fujian,Coal,2048,22115.20310978609,146283644.45474494,16646060.30424852,10717.84584171081,394064270.43265885,71518338.91923365,27.66722289499948,0.2355479452054795,0.0,0.0
Coal_1000_OT,Jiangsu,Coal,2038,0.0,0.0,0.0,79611.50154861918,2927085231.410403,531233835.0179518,0.0,0.0,0.0,0.0
Coal_1000_OT,Jiangsu,Coal,2048,0.0,0.0,0.0,79611.50154861918,2927085231.410403,531233835.0179518,0.0,0.0,0.0,0.0
Coal_1000_OT,Shanghai,Coal,2038,9728.676304062632,64351487.90693453,7322751.305244812,39353.09569111731,1446899794.2138143,262596428.11853585,182.33186661771623,0.02822089259462803,0.0,0.0
Coal_1000_OT,Shanghai,Coal,2048,38254.076444574755,253036143.94961512,28793751.53004795,39353.09569111731,1446899794.2138143,262596428.11853585,51.302568214538454,0.1109672219434637,0.0,0.0
Coal_1000_OT,Zhejiang,Coal,2038,33082.20223595241,218826166.12834,24900894.22571601,53138.34768594486,1953743739.3777947,354583039.86996466,76.3901062979928,0.07106933634595618,0.0,0.0
Coal_1000_OT,Zhejiang,Coal,2048,21459.14894058385,141944096.02942818,16152249.905620003,53138.34768594486,1953743739.3777947,354583039.86996466,114.18304062577243,0.046099938053668,0.0,0.0
Coal_1000_OT_CCS,Anhui,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_OT_CCS,Anhui,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_OT_CCS,Fujian,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_OT_CCS,Fujian,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_OT_CCS,Jiangsu,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_OT_CCS,Jiangsu,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_OT_CCS,Shanghai,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_OT_CCS,Shanghai,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_OT_CCS,Zhejiang,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
