GEN_TPS_1,GEN_TPS_2,ShutdownGenCapacity
Anhui-Central_PV_EP-ep-50173,2040.12.19.04,-0.0
Anhui-Central_PV_EP-ep-50173,2040.12.19.08,0.0
Anhui-Central_PV_EP-ep-50173,2040.12.19.12,-0.0
Anhui-Central_PV_EP-ep-50173,2040.12.19.16,-0.0
Anhui-Central_PV_EP-ep-50173,2040.12.19.20,3.92
Anhui-Coal_1000_OT-12107,2040.06.26.00,-0.0
Anhui-Coal_1000_OT-12107,2040.06.26.04,-0.0
Anhui-Coal_1000_OT-12107,2040.06.26.08,64375.94980940153
Anhui-Coal_1000_OT-12107,2040.06.26.12,0.0
Anhui-Coal_1000_OT-12107,2040.06.26.16,0.0
Anhui-Coal_1000_OT-12107,2040.06.26.20,-0.0
Anhui-Coal_1000_OT-12107,2040.12.19.00,-0.0
Anhui-Coal_1000_OT-12107,2040.12.19.04,-0.0
Anhui-Coal_1000_OT-12107,2040.12.19.08,-0.0
Anhui-Coal_1000_OT-12107,2040.12.19.12,-0.0
Anhui-Coal_1000_OT-12107,2040.12.19.16,-0.0
Anhui-Coal_1000_OT-12107,2040.12.19.20,-0.0
Anhui-Coal_1000_OT-12107,2050.06.12.00,-0.0
Anhui-Coal_1000_OT-12107,2050.06.12.04,-0.0
Anhui-Coal_1000_OT-12107,2050.06.12.08,151909.5280166749
Anhui-Coal_1000_OT-12107,2050.06.12.12,-0.0
Anhui-Coal_1000_OT-12107,2050.06.12.16,-0.0
Anhui-Coal_1000_OT-12107,2050.06.12.20,0.0
Anhui-Coal_1000_OT-12107,2050.12.12.00,-0.0
Anhui-Coal_1000_OT-12107,2050.12.12.04,-0.0
Anhui-Coal_1000_OT-12107,2050.12.12.08,64837.24810141404
Anhui-Coal_1000_OT-12107,2050.12.12.12,87072.27991526088
Anhui-Coal_1000_OT-12107,2050.12.12.16,0.0
Anhui-Coal_1000_OT-12107,2050.12.12.20,-0.0
Anhui-Coal_1000_RC-12115,2040.06.26.00,-0.0
Anhui-Coal_1000_RC-12115,2040.06.26.04,-0.0
Anhui-Coal_1000_RC-12115,2040.06.26.08,-0.0
Anhui-Coal_1000_RC-12115,2040.06.26.12,-0.0
Anhui-Coal_1000_RC-12115,2040.06.26.16,-0.0
Anhui-Coal_1000_RC-12115,2040.06.26.20,-0.0
Anhui-Coal_1000_RC-12115,2040.12.19.00,-0.0
Anhui-Coal_1000_RC-12115,2040.12.19.04,-0.0
Anhui-Coal_1000_RC-12115,2040.12.19.08,-0.0
Anhui-Coal_1000_RC-12115,2040.12.19.12,-0.0
Anhui-Coal_1000_RC-12115,2040.12.19.16,-0.0
Anhui-Coal_1000_RC-12115,2040.12.19.20,-0.0
Anhui-Coal_1000_RC-12115,2050.06.12.00,-0.0
Anhui-Coal_1000_RC-12115,2050.06.12.04,-0.0
Anhui-Coal_1000_RC-12115,2050.06.12.08,-0.0
Anhui-Coal_1000_RC-12115,2050.06.12.12,-0.0
Anhui-Coal_1000_RC-12115,2050.06.12.16,-0.0
Anhui-Coal_1000_RC-12115,2050.06.12.20,-0.0
Anhui-Coal_1000_RC-12115,2050.12.12.00,-0.0
Anhui-Coal_1000_RC-12115,2050.12.12.04,-0.0
Anhui-Coal_1000_RC-12115,2050.12.12.08,-0.0
Anhui-Coal_1000_RC-12115,2050.12.12.12,-0.0
Anhui-Coal_1000_RC-12115,2050.12.12.16,-0.0
Anhui-Coal_1000_RC-12115,2050.12.12.20,-0.0
Anhui-Coal_1000_RC-12125,2040.06.26.00,-0.0
Anhui-Coal_1000_RC-12125,2040.06.26.04,-0.0
Anhui-Coal_1000_RC-12125,2040.06.26.08,-0.0
Anhui-Coal_1000_RC-12125,2040.06.26.12,-0.0
Anhui-Coal_1000_RC-12125,2040.06.26.16,-0.0
Anhui-Coal_1000_RC-12125,2040.06.26.20,-0.0
Anhui-Coal_1000_RC-12125,2040.12.19.00,-0.0
Anhui-Coal_1000_RC-12125,2040.12.19.04,-0.0
Anhui-Coal_1000_RC-12125,2040.12.19.08,-0.0
Anhui-Coal_1000_RC-12125,2040.12.19.12,-0.0
Anhui-Coal_1000_RC-12125,2040.12.19.16,-0.0
Anhui-Coal_1000_RC-12125,2040.12.19.20,-0.0
Anhui-Coal_1000_RC-12125,2050.06.12.00,-0.0
Anhui-Coal_1000_RC-12125,2050.06.12.04,-0.0
Anhui-Coal_1000_RC-12125,2050.06.12.08,-0.0
Anhui-Coal_1000_RC-12125,2050.06.12.12,-0.0
Anhui-Coal_1000_RC-12125,2050.06.12.16,-0.0
Anhui-Coal_1000_RC-12125,2050.06.12.20,-0.0
Anhui-Coal_1000_RC-12125,2050.12.12.00,-0.0
Anhui-Coal_1000_RC-12125,2050.12.12.04,-0.0
Anhui-Coal_1000_RC-12125,2050.12.12.08,-0.0
Anhui-Coal_1000_RC-12125,2050.12.12.12,-0.0
Anhui-Coal_1000_RC-12125,2050.12.12.16,-0.0
Anhui-Coal_1000_RC-12125,2050.12.12.20,-0.0
Anhui-Coal_100_RC-ep-1233,2040.06.26.00,-0.0
Anhui-Coal_100_RC-ep-1233,2040.06.26.04,-0.0
Anhui-Coal_100_RC-ep-1233,2040.06.26.08,-0.0
Anhui-Coal_100_RC-ep-1233,2040.06.26.12,-0.0
Anhui-Coal_100_RC-ep-1233,2040.06.26.16,-0.0
Anhui-Coal_100_RC-ep-1233,2040.06.26.20,-0.0
Anhui-Coal_100_RC-ep-1233,2040.12.19.00,-0.0
Anhui-Coal_100_RC-ep-1233,2040.12.19.04,-0.0
Anhui-Coal_100_RC-ep-1233,2040.12.19.08,-0.0
Anhui-Coal_100_RC-ep-1233,2040.12.19.12,-0.0
Anhui-Coal_100_RC-ep-1233,2040.12.19.16,-0.0
