BASE_BLD_RETRO_BLD_1,BASE_BLD_RETRO_BLD_2,BASE_BLD_RETRO_BLD_3,BASE_BLD_RETRO_BLD_4,BuildRetrofitGen
Fujian-Coal_1000_RC-12171,2048,Fujian-Coal_1000_RC-12171_H2,2048,-0.0
Fujian-Coal_1000_SEA-12145,2038,Fujian-Coal_1000_SEA-12145_CCS,2038,-0.0
Fujian-Coal_1000_SEA-12145,2038,Fujian-Coal_1000_SEA-12145_CCS,2048,0.0
Fujian-Coal_1000_SEA-12145,2038,Fujian-Coal_1000_SEA-12145_H2,2038,-0.0
Fujian-Coal_1000_SEA-12145,2038,Fujian-Coal_1000_SEA-12145_H2,2048,-0.0
Fujian-Coal_1000_SEA-12145,2048,Fujian-Coal_1000_SEA-12145_CCS,2048,0.0
Fujian-Coal_1000_SEA-12145,2048,Fujian-Coal_1000_SEA-12145_H2,2048,-0.0
Fujian-Coal_1000_SEA-12181,2038,Fujian-Coal_1000_SEA-12181_CCS,2038,-0.0
Fujian-Coal_1000_SEA-12181,2038,Fujian-Coal_1000_SEA-12181_CCS,2048,0.0
Fujian-Coal_1000_SEA-12181,2038,Fujian-Coal_1000_SEA-12181_H2,2038,-0.0
Fujian-Coal_1000_SEA-12181,2038,Fujian-Coal_1000_SEA-12181_H2,2048,-0.0
Fujian-Coal_1000_SEA-12181,2048,Fujian-Coal_1000_SEA-12181_CCS,2048,0.0
Fujian-Coal_1000_SEA-12181,2048,Fujian-Coal_1000_SEA-12181_H2,2048,-0.0
Fujian-Coal_300_OT-12157,2038,Fujian-Coal_300_OT-12157_CCS,2038,-0.0
Fujian-Coal_300_OT-12157,2038,Fujian-Coal_300_OT-12157_CCS,2048,0.0
Fujian-Coal_300_OT-12157,2038,Fujian-Coal_300_OT-12157_H2,2038,-0.0
Fujian-Coal_300_OT-12157,2038,Fujian-Coal_300_OT-12157_H2,2048,-0.0
Fujian-Coal_300_OT-12157,2048,Fujian-Coal_300_OT-12157_CCS,2048,0.0
Fujian-Coal_300_OT-12157,2048,Fujian-Coal_300_OT-12157_H2,2048,-0.0
Fujian-Coal_300_RC-12139,2038,Fujian-Coal_300_RC-12139_CCS,2038,-0.0
Fujian-Coal_300_RC-12139,2038,Fujian-Coal_300_RC-12139_CCS,2048,0.0
Fujian-Coal_300_RC-12139,2038,Fujian-Coal_300_RC-12139_H2,2038,-0.0
Fujian-Coal_300_RC-12139,2038,Fujian-Coal_300_RC-12139_H2,2048,-0.0
Fujian-Coal_300_RC-12139,2048,Fujian-Coal_300_RC-12139_CCS,2048,0.0
Fujian-Coal_300_RC-12139,2048,Fujian-Coal_300_RC-12139_H2,2048,-0.0
Fujian-Coal_300_RC-12165,2038,Fujian-Coal_300_RC-12165_CCS,2038,-0.0
Fujian-Coal_300_RC-12165,2038,Fujian-Coal_300_RC-12165_CCS,2048,0.0
Fujian-Coal_300_RC-12165,2038,Fujian-Coal_300_RC-12165_H2,2038,-0.0
Fujian-Coal_300_RC-12165,2038,Fujian-Coal_300_RC-12165_H2,2048,-0.0
Fujian-Coal_300_RC-12165,2048,Fujian-Coal_300_RC-12165_CCS,2048,0.0
Fujian-Coal_300_RC-12165,2048,Fujian-Coal_300_RC-12165_H2,2048,-0.0
Fujian-Coal_300_RC-12175,2038,Fujian-Coal_300_RC-12175_CCS,2038,-0.0
Fujian-Coal_300_RC-12175,2038,Fujian-Coal_300_RC-12175_CCS,2048,0.0
Fujian-Coal_300_RC-12175,2038,Fujian-Coal_300_RC-12175_H2,2038,-0.0
Fujian-Coal_300_RC-12175,2038,Fujian-Coal_300_RC-12175_H2,2048,-0.0
Fujian-Coal_300_RC-12175,2048,Fujian-Coal_300_RC-12175_CCS,2048,0.0
Fujian-Coal_300_RC-12175,2048,Fujian-Coal_300_RC-12175_H2,2048,-0.0
Fujian-Coal_300_SEA-12149,2038,Fujian-Coal_300_SEA-12149_CCS,2038,-0.0
Fujian-Coal_300_SEA-12149,2038,Fujian-Coal_300_SEA-12149_CCS,2048,0.0
Fujian-Coal_300_SEA-12149,2038,Fujian-Coal_300_SEA-12149_H2,2038,-0.0
Fujian-Coal_300_SEA-12149,2038,Fujian-Coal_300_SEA-12149_H2,2048,-0.0
Fujian-Coal_300_SEA-12149,2048,Fujian-Coal_300_SEA-12149_CCS,2048,0.0
Fujian-Coal_300_SEA-12149,2048,Fujian-Coal_300_SEA-12149_H2,2048,-0.0
Fujian-Coal_300_SEA-12185,2038,Fujian-Coal_300_SEA-12185_CCS,2038,-0.0
Fujian-Coal_300_SEA-12185,2038,Fujian-Coal_300_SEA-12185_CCS,2048,0.0
Fujian-Coal_300_SEA-12185,2038,Fujian-Coal_300_SEA-12185_H2,2038,-0.0
Fujian-Coal_300_SEA-12185,2038,Fujian-Coal_300_SEA-12185_H2,2048,-0.0
Fujian-Coal_300_SEA-12185,2048,Fujian-Coal_300_SEA-12185_CCS,2048,0.0
Fujian-Coal_300_SEA-12185,2048,Fujian-Coal_300_SEA-12185_H2,2048,-0.0
Fujian-Coal_600_OT-12155,2038,Fujian-Coal_600_OT-12155_CCS,2038,-0.0
Fujian-Coal_600_OT-12155,2038,Fujian-Coal_600_OT-12155_CCS,2048,0.0
Fujian-Coal_600_OT-12155,2038,Fujian-Coal_600_OT-12155_H2,2038,-0.0
Fujian-Coal_600_OT-12155,2038,Fujian-Coal_600_OT-12155_H2,2048,0.0
Fujian-Coal_600_OT-12155,2048,Fujian-Coal_600_OT-12155_CCS,2048,0.0
Fujian-Coal_600_OT-12155,2048,Fujian-Coal_600_OT-12155_H2,2048,-0.0
Fujian-Coal_600_RC-12137,2038,Fujian-Coal_600_RC-12137_CCS,2038,-0.0
Fujian-Coal_600_RC-12137,2038,Fujian-Coal_600_RC-12137_CCS,2048,0.0
Fujian-Coal_600_RC-12137,2038,Fujian-Coal_600_RC-12137_H2,2038,-0.0
Fujian-Coal_600_RC-12137,2038,Fujian-Coal_600_RC-12137_H2,2048,0.0
Fujian-Coal_600_RC-12137,2048,Fujian-Coal_600_RC-12137_CCS,2048,0.0
Fujian-Coal_600_RC-12137,2048,Fujian-Coal_600_RC-12137_H2,2048,-0.0
Fujian-Coal_600_RC-12163,2038,Fujian-Coal_600_RC-12163_CCS,2038,-0.0
Fujian-Coal_600_RC-12163,2038,Fujian-Coal_600_RC-12163_CCS,2048,0.0
Fujian-Coal_600_RC-12163,2038,Fujian-Coal_600_RC-12163_H2,2038,-0.0
Fujian-Coal_600_RC-12163,2038,Fujian-Coal_600_RC-12163_H2,2048,0.0
Fujian-Coal_600_RC-12163,2048,Fujian-Coal_600_RC-12163_CCS,2048,0.0
Fujian-Coal_600_RC-12163,2048,Fujian-Coal_600_RC-12163_H2,2048,-0.0
Fujian-Coal_600_RC-12173,2038,Fujian-Coal_600_RC-12173_CCS,2038,-0.0
Fujian-Coal_600_RC-12173,2038,Fujian-Coal_600_RC-12173_CCS,2048,0.0
Fujian-Coal_600_RC-12173,2038,Fujian-Coal_600_RC-12173_H2,2038,-0.0
Fujian-Coal_600_RC-12173,2038,Fujian-Coal_600_RC-12173_H2,2048,0.0
Fujian-Coal_600_RC-12173,2048,Fujian-Coal_600_RC-12173_CCS,2048,0.0
Fujian-Coal_600_RC-12173,2048,Fujian-Coal_600_RC-12173_H2,2048,-0.0
Fujian-Coal_600_SEA-12147,2038,Fujian-Coal_600_SEA-12147_CCS,2038,-0.0
Fujian-Coal_600_SEA-12147,2038,Fujian-Coal_600_SEA-12147_CCS,2048,0.0
Fujian-Coal_600_SEA-12147,2038,Fujian-Coal_600_SEA-12147_H2,2038,-0.0
Fujian-Coal_600_SEA-12147,2038,Fujian-Coal_600_SEA-12147_H2,2048,0.0
Fujian-Coal_600_SEA-12147,2048,Fujian-Coal_600_SEA-12147_CCS,2048,0.0
Fujian-Coal_600_SEA-12147,2048,Fujian-Coal_600_SEA-12147_H2,2048,-0.0
Fujian-Coal_600_SEA-12183,2038,Fujian-Coal_600_SEA-12183_CCS,2038,-0.0
Fujian-Coal_600_SEA-12183,2038,Fujian-Coal_600_SEA-12183_CCS,2048,0.0
Fujian-Coal_600_SEA-12183,2038,Fujian-Coal_600_SEA-12183_H2,2038,-0.0
Fujian-Coal_600_SEA-12183,2038,Fujian-Coal_600_SEA-12183_H2,2048,0.0
Fujian-Coal_600_SEA-12183,2048,Fujian-Coal_600_SEA-12183_CCS,2048,0.0
Fujian-Coal_600_SEA-12183,2048,Fujian-Coal_600_SEA-12183_H2,2048,-0.0
Fujian-Coal_IGCC_RC-12141,2038,Fujian-Coal_IGCC_RC-12141_CCS,2038,-0.0
Fujian-Coal_IGCC_RC-12141,2038,Fujian-Coal_IGCC_RC-12141_CCS,2048,0.0
Fujian-Coal_IGCC_RC-12141,2038,Fujian-Coal_IGCC_RC-12141_H2,2038,-0.0
Fujian-Coal_IGCC_RC-12141,2038,Fujian-Coal_IGCC_RC-12141_H2,2048,-0.0
Fujian-Coal_IGCC_RC-12141,2048,Fujian-Coal_IGCC_RC-12141_CCS,2048,0.0
Fujian-Coal_IGCC_RC-12141,2048,Fujian-Coal_IGCC_RC-12141_H2,2048,-0.0
Fujian-Coal_IGCC_RC-12167,2038,Fujian-Coal_IGCC_RC-12167_CCS,2038,-0.0
Fujian-Coal_IGCC_RC-12167,2038,Fujian-Coal_IGCC_RC-12167_CCS,2048,0.0
Fujian-Coal_IGCC_RC-12167,2038,Fujian-Coal_IGCC_RC-12167_H2,2038,-0.0
Fujian-Coal_IGCC_RC-12167,2038,Fujian-Coal_IGCC_RC-12167_H2,2048,-0.0
Fujian-Coal_IGCC_RC-12167,2048,Fujian-Coal_IGCC_RC-12167_CCS,2048,0.0
Fujian-Coal_IGCC_RC-12167,2048,Fujian-Coal_IGCC_RC-12167_H2,2048,-0.0
Fujian-Coal_IGCC_RC-12177,2038,Fujian-Coal_IGCC_RC-12177_CCS,2038,-0.0
Fujian-Coal_IGCC_RC-12177,2038,Fujian-Coal_IGCC_RC-12177_CCS,2048,0.0
Fujian-Coal_IGCC_RC-12177,2038,Fujian-Coal_IGCC_RC-12177_H2,2038,-0.0
Fujian-Coal_IGCC_RC-12177,2038,Fujian-Coal_IGCC_RC-12177_H2,2048,-0.0
Fujian-Coal_IGCC_RC-12177,2048,Fujian-Coal_IGCC_RC-12177_CCS,2048,0.0
Fujian-Coal_IGCC_RC-12177,2048,Fujian-Coal_IGCC_RC-12177_H2,2048,-0.0
Jiangsu-Coal_1000_OT-11937,2038,Jiangsu-Coal_1000_OT-11937_CCS,2038,-0.0
Jiangsu-Coal_1000_OT-11937,2038,Jiangsu-Coal_1000_OT-11937_CCS,2048,0.0
Jiangsu-Coal_1000_OT-11937,2038,Jiangsu-Coal_1000_OT-11937_H2,2038,-0.0
Jiangsu-Coal_1000_OT-11937,2038,Jiangsu-Coal_1000_OT-11937_H2,2048,0.0
Jiangsu-Coal_1000_OT-11937,2048,Jiangsu-Coal_1000_OT-11937_CCS,2048,0.0
Jiangsu-Coal_1000_OT-11937,2048,Jiangsu-Coal_1000_OT-11937_H2,2048,-0.0
Jiangsu-Coal_1000_OT-11955,2038,Jiangsu-Coal_1000_OT-11955_CCS,2038,-0.0
Jiangsu-Coal_1000_OT-11955,2038,Jiangsu-Coal_1000_OT-11955_CCS,2048,0.0
Jiangsu-Coal_1000_OT-11955,2038,Jiangsu-Coal_1000_OT-11955_H2,2038,-0.0
Jiangsu-Coal_1000_OT-11955,2038,Jiangsu-Coal_1000_OT-11955_H2,2048,0.0
Jiangsu-Coal_1000_OT-11955,2048,Jiangsu-Coal_1000_OT-11955_CCS,2048,0.0
Jiangsu-Coal_1000_OT-11955,2048,Jiangsu-Coal_1000_OT-11955_H2,2048,0.0
Jiangsu-Coal_1000_OT-11973,2038,Jiangsu-Coal_1000_OT-11973_CCS,2038,-0.0
Jiangsu-Coal_1000_OT-11973,2038,Jiangsu-Coal_1000_OT-11973_CCS,2048,0.0
Jiangsu-Coal_1000_OT-11973,2038,Jiangsu-Coal_1000_OT-11973_H2,2038,-0.0
Jiangsu-Coal_1000_OT-11973,2038,Jiangsu-Coal_1000_OT-11973_H2,2048,0.0
Jiangsu-Coal_1000_OT-11973,2048,Jiangsu-Coal_1000_OT-11973_CCS,2048,0.0
Jiangsu-Coal_1000_OT-11973,2048,Jiangsu-Coal_1000_OT-11973_H2,2048,-0.0
Jiangsu-Coal_1000_OT-11999,2038,Jiangsu-Coal_1000_OT-11999_CCS,2038,-0.0
Jiangsu-Coal_1000_OT-11999,2038,Jiangsu-Coal_1000_OT-11999_CCS,2048,0.0
Jiangsu-Coal_1000_OT-11999,2038,Jiangsu-Coal_1000_OT-11999_H2,2038,-0.0
Jiangsu-Coal_1000_OT-11999,2038,Jiangsu-Coal_1000_OT-11999_H2,2048,-0.0
Jiangsu-Coal_1000_OT-11999,2048,Jiangsu-Coal_1000_OT-11999_CCS,2048,0.0
Jiangsu-Coal_1000_OT-11999,2048,Jiangsu-Coal_1000_OT-11999_H2,2048,-0.0
Jiangsu-Coal_1000_OT-12017,2038,Jiangsu-Coal_1000_OT-12017_CCS,2038,-0.0
