base_gen_project,retrofit_gen_project
Fujian-Coal_100_RC-ep-1307,Fujian-Coal_100_RC-ep-1307_H2
Fujian-Coal_300_OT-12157,Fujian-Coal_300_OT-12157_H2
Fujian-Coal_300_RC-12139,Fujian-Coal_300_RC-12139_H2
Fujian-Coal_300_RC-12165,Fujian-Coal_300_RC-12165_H2
Fujian-Coal_300_RC-12175,Fujian-Coal_300_RC-12175_H2
Fujian-Coal_300_SEA-12149,Fujian-Coal_300_SEA-12149_H2
Fujian-Coal_300_SEA-12185,Fujian-Coal_300_SEA-12185_H2
Fujian-Coal_600_OT-12155,Fujian-Coal_600_OT-12155_H2
Fujian-Coal_600_RC-12137,Fujian-Coal_600_RC-12137_H2
Fujian-Coal_600_RC-12163,Fujian-Coal_600_RC-12163_H2
Fujian-Coal_600_RC-12173,Fujian-Coal_600_RC-12173_H2
Fujian-Coal_600_SEA-12147,Fujian-Coal_600_SEA-12147_H2
Fujian-Coal_600_SEA-12183,Fujian-Coal_600_SEA-12183_H2
Fujian-Coal_IGCC_RC-12141,Fujian-Coal_IGCC_RC-12141_H2
Fujian-Coal_IGCC_RC-12167,Fujian-Coal_IGCC_RC-12167_H2
Fujian-Coal_IGCC_RC-12177,Fujian-Coal_IGCC_RC-12177_H2
Fujian-Coal_Small_RC-ep-1248,Fujian-Coal_Small_RC-ep-1248_H2
Fujian-Coal_Small_RC-ep-1289,Fujian-Coal_Small_RC-ep-1289_H2
Fujian-Coal_Small_SEA-ep-1309,Fujian-Coal_Small_SEA-ep-1309_H2
Fujian-EP_Coal_1000_SEA-ep-1246,Fujian-EP_Coal_1000_SEA-ep-1246_H2
Fujian-EP_Coal_1000_SEA-ep-1247,Fujian-EP_Coal_1000_SEA-ep-1247_H2
Fujian-EP_Coal_1000_SEA-ep-3101,Fujian-EP_Coal_1000_SEA-ep-3101_H2
Fujian-EP_Coal_1000_SEA-ep-3102,Fujian-EP_Coal_1000_SEA-ep-3102_H2
Fujian-EP_Coal_300_OT-ep-1285,Fujian-EP_Coal_300_OT-ep-1285_H2
Fujian-EP_Coal_300_OT-ep-1286,Fujian-EP_Coal_300_OT-ep-1286_H2
Fujian-EP_Coal_300_OT-ep-1287,Fujian-EP_Coal_300_OT-ep-1287_H2
Fujian-EP_Coal_300_OT-ep-1288,Fujian-EP_Coal_300_OT-ep-1288_H2
Fujian-EP_Coal_300_RC-ep-1290,Fujian-EP_Coal_300_RC-ep-1290_H2
Fujian-EP_Coal_300_RC-ep-1291,Fujian-EP_Coal_300_RC-ep-1291_H2
Fujian-EP_Coal_300_RC-ep-1298,Fujian-EP_Coal_300_RC-ep-1298_H2
Fujian-EP_Coal_300_RC-ep-1299,Fujian-EP_Coal_300_RC-ep-1299_H2
Fujian-EP_Coal_300_RC-ep-1300,Fujian-EP_Coal_300_RC-ep-1300_H2
Fujian-EP_Coal_300_RC-ep-1301,Fujian-EP_Coal_300_RC-ep-1301_H2
Fujian-EP_Coal_300_SEA-ep-1272,Fujian-EP_Coal_300_SEA-ep-1272_H2
Fujian-EP_Coal_300_SEA-ep-1273,Fujian-EP_Coal_300_SEA-ep-1273_H2
Fujian-EP_Coal_300_SEA-ep-1292,Fujian-EP_Coal_300_SEA-ep-1292_H2
Fujian-EP_Coal_300_SEA-ep-1293,Fujian-EP_Coal_300_SEA-ep-1293_H2
Fujian-EP_Coal_300_SEA-ep-1294,Fujian-EP_Coal_300_SEA-ep-1294_H2
Fujian-EP_Coal_300_SEA-ep-1295,Fujian-EP_Coal_300_SEA-ep-1295_H2
Fujian-EP_Coal_300_SEA-ep-1296,Fujian-EP_Coal_300_SEA-ep-1296_H2
Fujian-EP_Coal_300_SEA-ep-1297,Fujian-EP_Coal_300_SEA-ep-1297_H2
Fujian-EP_Coal_600_OT-ep-1253,Fujian-EP_Coal_600_OT-ep-1253_H2
Fujian-EP_Coal_600_OT-ep-1254,Fujian-EP_Coal_600_OT-ep-1254_H2
Fujian-EP_Coal_600_SEA-ep-1249,Fujian-EP_Coal_600_SEA-ep-1249_H2
Fujian-EP_Coal_600_SEA-ep-1250,Fujian-EP_Coal_600_SEA-ep-1250_H2
Fujian-EP_Coal_600_SEA-ep-1251,Fujian-EP_Coal_600_SEA-ep-1251_H2
Fujian-EP_Coal_600_SEA-ep-1252,Fujian-EP_Coal_600_SEA-ep-1252_H2
Fujian-EP_Coal_600_SEA-ep-1255,Fujian-EP_Coal_600_SEA-ep-1255_H2
Fujian-EP_Coal_600_SEA-ep-1256,Fujian-EP_Coal_600_SEA-ep-1256_H2
Fujian-EP_Coal_600_SEA-ep-1257,Fujian-EP_Coal_600_SEA-ep-1257_H2
Fujian-EP_Coal_600_SEA-ep-1258,Fujian-EP_Coal_600_SEA-ep-1258_H2
Fujian-EP_Coal_600_SEA-ep-1259,Fujian-EP_Coal_600_SEA-ep-1259_H2
Fujian-EP_Coal_600_SEA-ep-1260,Fujian-EP_Coal_600_SEA-ep-1260_H2
