STORAGE_GEN_TPS_1,STORAGE_GEN_TPS_2,StateOfCharge
Jiangsu-Hydro_Pumped-ep-35022,2050.06.12.08,129.064
Jiangsu-Hydro_Pumped-ep-35022,2050.06.12.12,258.128
Jiangsu-Hydro_Pumped-ep-35022,2050.06.12.16,387.192
Jiangsu-Hydro_Pumped-ep-35022,2050.06.12.20,301.4018276187492
Jiangsu-Hydro_Pumped-ep-35022,2050.12.12.00,40.1062416332464
Jiangsu-Hydro_Pumped-ep-35022,2050.12.12.04,20.0531208166232
Jiangsu-Hydro_Pumped-ep-35022,2050.12.12.08,0.0
Jiangsu-Hydro_Pumped-ep-35022,2050.12.12.12,110.5631526105712
Jiangsu-Hydro_Pumped-ep-35022,2050.12.12.16,80.2124832664928
Jiangsu-Hydro_Pumped-ep-35022,2050.12.12.20,60.1593624498696
Jiangsu-Hydro_Pumped-ep-35028,2040.06.26.00,471.8459480968795
Jiangsu-Hydro_Pumped-ep-35028,2040.06.26.04,0.0
Jiangsu-Hydro_Pumped-ep-35028,2040.06.26.08,729.2164652406318
Jiangsu-Hydro_Pumped-ep-35028,2040.06.26.12,1458.432930481264
Jiangsu-Hydro_Pumped-ep-35028,2040.06.26.16,2187.649395721895
Jiangsu-Hydro_Pumped-ep-35028,2040.06.26.20,1329.747671909387
Jiangsu-Hydro_Pumped-ep-35028,2040.12.19.00,401.062416332464
Jiangsu-Hydro_Pumped-ep-35028,2040.12.19.04,200.531208166232
Jiangsu-Hydro_Pumped-ep-35028,2040.12.19.08,0.0
Jiangsu-Hydro_Pumped-ep-35028,2040.12.19.12,1105.631526105712
Jiangsu-Hydro_Pumped-ep-35028,2040.12.19.16,802.124832664928
Jiangsu-Hydro_Pumped-ep-35028,2040.12.19.20,601.593624498696
Jiangsu-Hydro_Pumped-ep-35028,2050.06.12.00,857.901723812508
Jiangsu-Hydro_Pumped-ep-35028,2050.06.12.04,0.0
Jiangsu-Hydro_Pumped-ep-35028,2050.06.12.08,1290.64
Jiangsu-Hydro_Pumped-ep-35028,2050.06.12.12,2581.28
Jiangsu-Hydro_Pumped-ep-35028,2050.06.12.16,3871.92
Jiangsu-Hydro_Pumped-ep-35028,2050.06.12.20,1715.803447625016
Jiangsu-Hydro_Pumped-ep-35028,2050.12.12.00,401.062416332464
Jiangsu-Hydro_Pumped-ep-35028,2050.12.12.04,200.531208166232
Jiangsu-Hydro_Pumped-ep-35028,2050.12.12.08,0.0
Jiangsu-Hydro_Pumped-ep-35028,2050.12.12.12,1105.631526105712
Jiangsu-Hydro_Pumped-ep-35028,2050.12.12.16,802.124832664928
Jiangsu-Hydro_Pumped-ep-35028,2050.12.12.20,601.593624498696
Jiangsu-Hydro_Pumped-ep-35037,2040.06.26.00,636.992029930786
Jiangsu-Hydro_Pumped-ep-35037,2040.06.26.04,0.0
Jiangsu-Hydro_Pumped-ep-35037,2040.06.26.08,984.4422280748513
Jiangsu-Hydro_Pumped-ep-35037,2040.06.26.12,1968.884456149703
Jiangsu-Hydro_Pumped-ep-35037,2040.06.26.16,2953.326684224554
Jiangsu-Hydro_Pumped-ep-35037,2040.06.26.20,1795.15935707767
Jiangsu-Hydro_Pumped-ep-35037,2040.12.19.00,541.4342620488264
Jiangsu-Hydro_Pumped-ep-35037,2040.12.19.04,270.7171310244132
Jiangsu-Hydro_Pumped-ep-35037,2040.12.19.08,0.0
Jiangsu-Hydro_Pumped-ep-35037,2040.12.19.12,1492.602560242715
Jiangsu-Hydro_Pumped-ep-35037,2040.12.19.16,1082.868524097653
Jiangsu-Hydro_Pumped-ep-35037,2040.12.19.20,812.1513930732397
Jiangsu-Hydro_Pumped-ep-35037,2050.06.12.00,2910.757345706233
Jiangsu-Hydro_Pumped-ep-35037,2050.06.12.04,0.0
Jiangsu-Hydro_Pumped-ep-35037,2050.06.12.08,1742.364
Jiangsu-Hydro_Pumped-ep-35037,2050.06.12.12,3484.728
Jiangsu-Hydro_Pumped-ep-35037,2050.06.12.16,5227.092000000001
Jiangsu-Hydro_Pumped-ep-35037,2050.06.12.20,4068.924672853117
