TRANS_TIMEPOINTS_1,TRANS_TIMEPOINTS_2,TRANS_TIMEPOINTS_3,DispatchTx
Zhejiang,Jiangsu,2040.06.26.04,0.0
Zhejiang,Jiangsu,2040.06.26.08,79815.54019620825
Zhejiang,Jiangsu,2040.06.26.12,79815.54019620825
Zhejiang,Jiangsu,2040.06.26.16,46683.68768040262
Zhejiang,Jiangsu,2040.06.26.20,0.0
Zhejiang,Jiangsu,2040.12.19.00,0.0
Zhejiang,Jiangsu,2040.12.19.04,0.0
Zhejiang,Jiangsu,2040.12.19.08,0.0
Zhejiang,Jiangsu,2040.12.19.12,0.0
Zhejiang,Jiangsu,2040.12.19.16,0.0
Zhejiang,Jiangsu,2040.12.19.20,13661.62091724393
Zhejiang,Jiangsu,2050.06.12.00,0.0
Zhejiang,Jiangsu,2050.06.12.04,0.0
Zhejiang,Jiangsu,2050.06.12.08,0.0
Zhejiang,Jiangsu,2050.06.12.12,0.0
Zhejiang,Jiangsu,2050.06.12.16,0.0
Zhejiang,Jiangsu,2050.06.12.20,0.0
Zhejiang,Jiangsu,2050.12.12.00,0.0
Zhejiang,Jiangsu,2050.12.12.04,0.0
Zhejiang,Jiangsu,2050.12.12.08,0.0
Zhejiang,Jiangsu,2050.12.12.12,0.0
Zhejiang,Jiangsu,2050.12.12.16,0.0
Zhejiang,Jiangsu,2050.12.12.20,0.0
Zhejiang,Shanghai,2040.06.26.00,21763.35361936209
Zhejiang,Shanghai,2040.06.26.04,12194.10581871507
Zhejiang,Shanghai,2040.06.26.08,35387.15751617737
Zhejiang,Shanghai,2040.06.26.12,35387.15751617736
Zhejiang,Shanghai,2040.06.26.16,35387.15751617737
Zhejiang,Shanghai,2040.06.26.20,0.0
Zhejiang,Shanghai,2040.12.19.00,0.0
Zhejiang,Shanghai,2040.12.19.04,0.0
Zhejiang,Shanghai,2040.12.19.08,26926.3410876753
Zhejiang,Shanghai,2040.12.19.12,32840.85307545851
Zhejiang,Shanghai,2040.12.19.16,1758.880077858764
Zhejiang,Shanghai,2040.12.19.20,0.0
Zhejiang,Shanghai,2050.06.12.00,0.0
Zhejiang,Shanghai,2050.06.12.04,0.0
Zhejiang,Shanghai,2050.06.12.08,25073.32014561643
Zhejiang,Shanghai,2050.06.12.12,32491.83763519201
Zhejiang,Shanghai,2050.06.12.16,35387.15751617737
Zhejiang,Shanghai,2050.06.12.20,0.0
Zhejiang,Shanghai,2050.12.12.00,0.0
Zhejiang,Shanghai,2050.12.12.04,0.0
Zhejiang,Shanghai,2050.12.12.08,0.0
Zhejiang,Shanghai,2050.12.12.12,0.0
Zhejiang,Shanghai,2050.12.12.16,4561.240205905517
Zhejiang,Shanghai,2050.12.12.20,0.0
Shanghai,Zhejiang,2040.06.26.00,0.0
Shanghai,Zhejiang,2040.06.26.04,0.0
Shanghai,Zhejiang,2040.06.26.08,0.0
Shanghai,Zhejiang,2040.06.26.12,0.0
Shanghai,Zhejiang,2040.06.26.16,0.0
Shanghai,Zhejiang,2040.06.26.20,0.0
