generation_project,timepoint,load_zone,ChargeMW,DischargeMW,StateOfCharge
Anhui-Hydro_Pumped-ep-35040,2050-06-12_08:00,Anhui,1138.8,455.52,1548.77
Anhui-Hydro_Pumped-ep-35040,2050-06-12_12:00,Anhui,1138.8,455.52,3097.54
Anhui-Hydro_Pumped-ep-35040,2050-06-12_16:00,Anhui,1138.8,455.52,4646.3
Anhui-Hydro_Pumped-ep-35040,2050-06-12_20:00,Anhui,0,257.495,3616.32
Anhui-Hydro_Pumped-ep-35040,2050-12-12_00:00,Anhui,0,59.9384,479.507
Anhui-Hydro_Pumped-ep-35040,2050-12-12_04:00,Anhui,0,59.9384,239.754
Anhui-Hydro_Pumped-ep-35040,2050-12-12_08:00,Anhui,0,59.9384,0
Anhui-Hydro_Pumped-ep-35040,2050-12-12_12:00,Anhui,971.974,388.79,1321.88
Anhui-Hydro_Pumped-ep-35040,2050-12-12_16:00,Anhui,0,59.9384,1082.13
Anhui-Hydro_Pumped-ep-35040,2050-12-12_20:00,Anhui,0,90.7176,719.261
Fujian-Battery_Storage-11178,2040-06-26_00:00,Fujian,0,30947.6,34158.8
Fujian-Battery_Storage-11178,2040-06-26_04:00,Fujian,0,8539.7,0
Fujian-Battery_Storage-11178,2040-06-26_08:00,Fujian,43820.3,0,134441
Fujian-Battery_Storage-11178,2040-06-26_12:00,Fujian,43626.7,0,268287
Fujian-Battery_Storage-11178,2040-06-26_16:00,Fujian,0,0,268287
Fujian-Battery_Storage-11178,2040-06-26_20:00,Fujian,0,27584.6,157949
Fujian-Battery_Storage-11178,2040-12-19_00:00,Fujian,0,0,0
Fujian-Battery_Storage-11178,2040-12-19_04:00,Fujian,0,0,0
Fujian-Battery_Storage-11178,2040-12-19_08:00,Fujian,0,0,0
Fujian-Battery_Storage-11178,2040-12-19_12:00,Fujian,43820.3,0,134441
Fujian-Battery_Storage-11178,2040-12-19_16:00,Fujian,0,0,134441
Fujian-Battery_Storage-11178,2040-12-19_20:00,Fujian,0,33610.2,0
Fujian-Battery_Storage-11178,2050-06-12_00:00,Fujian,0,34399.3,0
Fujian-Battery_Storage-11178,2050-06-12_04:00,Fujian,0,0,0
Fujian-Battery_Storage-11178,2050-06-12_08:00,Fujian,43626.7,0,133847
Fujian-Battery_Storage-11178,2050-06-12_12:00,Fujian,43820.3,0,268287
Fujian-Battery_Storage-11178,2050-06-12_16:00,Fujian,0,0,268287
Fujian-Battery_Storage-11178,2050-06-12_20:00,Fujian,0,32672.5,137597
Fujian-Battery_Storage-11178,2050-12-12_00:00,Fujian,0,2797.71,0
Fujian-Battery_Storage-11178,2050-12-12_04:00,Fujian,0,0,0
Fujian-Battery_Storage-11178,2050-12-12_08:00,Fujian,16959.4,0,52031.3
Fujian-Battery_Storage-11178,2050-12-12_12:00,Fujian,43820.3,0,186472
Fujian-Battery_Storage-11178,2050-12-12_16:00,Fujian,0,0,186472
Fujian-Battery_Storage-11178,2050-12-12_20:00,Fujian,0,43820.3,11190.8
Fujian-Hydro_Pumped-ep-35041,2040-06-26_00:00,Fujian,0,300.211,1200.84
Fujian-Hydro_Pumped-ep-35041,2040-06-26_04:00,Fujian,0,300.211,0
Fujian-Hydro_Pumped-ep-35041,2040-06-26_08:00,Fujian,1328.6,531.44,1806.9
Fujian-Hydro_Pumped-ep-35041,2040-06-26_12:00,Fujian,750.526,300.211,2827.61
Fujian-Hydro_Pumped-ep-35041,2040-06-26_16:00,Fujian,667.485,300.211,3602.53
Fujian-Hydro_Pumped-ep-35041,2040-06-26_20:00,Fujian,0,300.211,2401.68
Fujian-Hydro_Pumped-ep-35041,2040-12-19_00:00,Fujian,0,70.1437,561.149
Fujian-Hydro_Pumped-ep-35041,2040-12-19_04:00,Fujian,0,70.1437,280.575
Fujian-Hydro_Pumped-ep-35041,2040-12-19_08:00,Fujian,0,70.1437,0
Fujian-Hydro_Pumped-ep-35041,2040-12-19_12:00,Fujian,1137.47,454.986,1546.95
Fujian-Hydro_Pumped-ep-35041,2040-12-19_16:00,Fujian,0,70.1437,1266.38
Fujian-Hydro_Pumped-ep-35041,2040-12-19_20:00,Fujian,0,106.163,841.724
Fujian-Hydro_Pumped-ep-35041,2050-06-12_00:00,Fujian,0,300.211,2232.82
