load_zone,technology,period,capacity
Fujian,Coal_600_OT_H2,2048,0.0
Fujian,Coal_600_RC,2038,0.0
Fujian,Coal_600_RC,2048,0.0
Fujian,Coal_600_RC_H2,2038,0.0
Fujian,Coal_600_RC_H2,2048,0.0
Fujian,Coal_600_SEA,2038,0.0
Fujian,Coal_600_SEA,2048,0.0
Fujian,Coal_600_SEA_H2,2038,0.0
Fujian,Coal_600_SEA_H2,2048,0.0
Fujian,Coal_IGCC_RC,2038,0.0
Fujian,Coal_IGCC_RC,2048,0.0
Fujian,Coal_IGCC_RC_H2,2038,0.0
Fujian,Coal_IGCC_RC_H2,2048,0.0
Fujian,Coal_Small_OT,2038,0.0
Fujian,Coal_Small_OT,2048,0.0
Fujian,Coal_Small_OT_H2,2038,0.0
Fujian,Coal_Small_OT_H2,2048,0.0
Fujian,Coal_Small_RC,2038,0
Fujian,Coal_Small_RC,2048,0
Fujian,Coal_Small_RC_H2,2038,0
Fujian,Coal_Small_RC_H2,2048,0
Fujian,Coal_Small_SEA,2038,0
Fujian,Coal_Small_SEA,2048,0
Fujian,Coal_Small_SEA_H2,2038,0
Fujian,Coal_Small_SEA_H2,2048,0
Fujian,Commercial_PV,2038,2400.0
Fujian,Commercial_PV,2048,2400.0
Fujian,EP_Coal_1000_OT,2038,0.0
Fujian,EP_Coal_1000_OT,2048,0.0
Fujian,EP_Coal_1000_OT_H2,2038,0.0
Fujian,EP_Coal_1000_OT_H2,2048,0.0
Fujian,EP_Coal_1000_RC,2038,0.0
Fujian,EP_Coal_1000_RC,2048,0.0
Fujian,EP_Coal_1000_RC_H2,2038,0.0
Fujian,EP_Coal_1000_RC_H2,2048,0.0
Fujian,EP_Coal_1000_SEA,2038,4000.0
Fujian,EP_Coal_1000_SEA,2048,445.42045799587277
Fujian,EP_Coal_1000_SEA_H2,2038,0
Fujian,EP_Coal_1000_SEA_H2,2048,0
Fujian,EP_Coal_300_OT,2038,0
Fujian,EP_Coal_300_OT,2048,0
Fujian,EP_Coal_300_OT_H2,2038,0
Fujian,EP_Coal_300_OT_H2,2048,0
Fujian,EP_Coal_300_RC,2038,0.0
Fujian,EP_Coal_300_RC,2048,0
Fujian,EP_Coal_300_RC_H2,2038,0
Fujian,EP_Coal_300_RC_H2,2048,0
Fujian,EP_Coal_300_SEA,2038,0.0
Fujian,EP_Coal_300_SEA,2048,0
Fujian,EP_Coal_300_SEA_H2,2038,0
Fujian,EP_Coal_300_SEA_H2,2048,0
Fujian,EP_Coal_600_OT,2038,1320.0
Fujian,EP_Coal_600_OT,2048,1320.0
Fujian,EP_Coal_600_OT_H2,2038,0
Fujian,EP_Coal_600_OT_H2,2048,0
Fujian,EP_Coal_600_RC,2038,0.0
Fujian,EP_Coal_600_RC,2048,0.0
Fujian,EP_Coal_600_RC_H2,2038,0.0
Fujian,EP_Coal_600_RC_H2,2048,0.0
Fujian,EP_Coal_600_SEA,2038,12860.0
Fujian,EP_Coal_600_SEA,2048,3860.0
Fujian,EP_Coal_600_SEA_H2,2038,0
Fujian,EP_Coal_600_SEA_H2,2048,0
Fujian,EP_Gas_CCGT_OT,2038,0.0
Fujian,EP_Gas_CCGT_OT,2048,0.0
Fujian,EP_Gas_CCGT_RC,2038,0
Fujian,EP_Gas_CCGT_RC,2048,0
Fujian,EP_Gas_CCGT_SEA,2038,0
Fujian,EP_Gas_CCGT_SEA,2048,0
Fujian,Fuel_Cell,2038,0.0
Fujian,Fuel_Cell,2048,0.0
Fujian,Gas_CCGT_OT,2038,0.0
Fujian,Gas_CCGT_OT,2048,0.0
Fujian,Gas_CCGT_RC,2038,0.0
Fujian,Gas_CCGT_RC,2048,0.0
Fujian,Gas_CCGT_SEA,2038,0.0
Fujian,Gas_CCGT_SEA,2048,0.0
Fujian,Gas_Combustion_Turbine_RC,2038,0.0
Fujian,Gas_Combustion_Turbine_RC,2048,0.0
Fujian,Hydro_NonPumped,2038,7854.075184056108
Fujian,Hydro_NonPumped,2048,11586.23
Fujian,Hydro_Pumped,2038,1400.0
Fujian,Hydro_Pumped,2048,1400.0
Fujian,Hydro_Pumped_MWh,2038,33600.0
Fujian,Hydro_Pumped_MWh,2048,33600.0
